model,rho_label,eta,realizations,va_mean,va_stdev_between_realizations,va_stderr,S_mean,S_stdev_between_realizations,S_stderr,t_eq_heuristic_estimate
vicsek,rho_2,0.59999999999999998,20,0.9741076404792126,0.0037116959175388493,0.000829960438342532,0.9909048967355096,0.011436431922323576,0.0025572639198364108,200
vicsek,rho_2,0.80000000000000004,20,0.9536291623962464,0.005381588773153988,0.0012033598323722013,0.9830214856762158,0.01557767364708811,0.003483273720619608,150
vicsek,rho_2,1.2,20,0.8956708827335887,0.01359654824010234,0.0030402806124223965,0.9868867421718853,0.007471953788978617,0.0016707796596893306,200
vicsek,rho_2,1.3999999999999999,20,0.8711213311909078,0.012304185818050413,0.002751299589694958,0.9791345769487009,0.017198739041403423,0.0038457549623857625,150
vicsek,rho_2,1.6000000000000001,20,0.8310246441902149,0.01666844641035464,0.0037271779252865326,0.9697649900066623,0.019076444828498237,0.004265622740554637,250
vicsek,rho_2,1.8,20,0.7703305726708477,0.03571856402605573,0.007986913722093918,0.9607493337774816,0.029254907394611753,0.006541596160981314,2650
vicsek,rho_2,2.2000000000000002,20,0.7068919759681012,0.03329839360206404,0.007445747163575927,0.9612949700199866,0.020831431678328325,0.004658049730138466,2850
vicsek,rho_2,2.3999999999999999,20,0.6335795057307438,0.045197025623744363,0.010106362167549222,0.9441512325116589,0.020875836597436043,0.004667978971904491,2950
vicsek,rho_2,2.6000000000000001,20,0.5828167721510246,0.04537997550715272,0.010147271005126897,0.9449925049966689,0.02063977765514885,0.004615194587739404,3000
vicsek,rho_2,2.7999999999999998,20,0.5451627418326199,0.03213161261088645,0.007184847002463159,0.940655562958028,0.021475211571045726,0.0048020032904048295,2850
vicsek,rho_2,3.2000000000000002,20,0.4093232255230842,0.044171465762220447,0.009877040011012948,0.929208361092605,0.017654620925006387,0.003947693250530449,sin_evidencia
vicsek,rho_2,3.3999999999999999,20,0.36405383119655,0.03466830052389761,0.007752067663582663,0.9010161558960693,0.032685826539801614,0.007308773004376314,2750
vicsek,rho_2,3.6000000000000001,20,0.29113076202813404,0.03236255110753647,0.007236486420176265,0.9169826782145236,0.03005828596462087,0.00672123707040201,sin_evidencia
vicsek,rho_2,3.7999999999999998,20,0.25185815974119113,0.042979713448906075,0.009610556092521592,0.8968036309127247,0.04655488837692708,0.01040998950957238,2950
vicsek,rho_2,4.2000000000000002,20,0.14201998337867178,0.014263068279093556,0.0031893190239774133,0.9308984010659561,0.024675527110800077,0.005517615600038796,2000
vicsek,rho_2,4.4000000000000004,20,0.115958462292549,0.008233965084640329,0.0018411705653615584,0.9475846102598269,0.027258831960548558,0.006095260125103044,1700
vicsek,rho_2,4.5999999999999996,20,0.09799719017108964,0.004627428087038783,0.001034724376361053,0.9609160559626915,0.019058718787051218,0.004261659077189886,2950
vicsek,rho_2,4.7999999999999998,20,0.08365489059333345,0.0018620547451223223,0.00041636809879195576,0.9749293804130579,0.008762890842446315,0.0019594419603120358,0
vicsek,rho_2,5.2000000000000002,20,0.07134998089325645,0.0010853677345318273,0.00024269560349981118,0.9885403064623585,0.0049068989410675804,0.0010972159590948844,0
vicsek,rho_2,5.4000000000000004,20,0.06776579341071828,0.0011449627027364765,0.00025602144350206455,0.9876049300466356,0.006945319427153888,0.0015530206364565992,0
vicsek,rho_2,5.5999999999999996,20,0.06553320945145309,0.0010478127513231124,0.0002342980539649562,0.9917988007994671,0.002708609950729447,0.0006056635974363399,0
vicsek,rho_2,5.7999999999999998,20,0.06384968574179758,0.0006120872120858355,0.0001368668614382259,0.9923009660226516,0.0031266837517954288,0.0006991477413158658,0
vicsek,rho_2,6.2000000000000002,20,0.06285001996358827,0.0009783170693862524,0.00021875834706960387,0.9930742838107929,0.004805298185867857,0.0010744973395756948,0
vicsek,rho_4,0.59999999999999998,20,0.980498046657129,0.0010630645838461707,0.00023770846739525623,0.9987827281812125,0.002061108482982591,0.00046087786769505415,200
vicsek,rho_4,0.80000000000000004,20,0.9648622676123899,0.00178594000269816,0.00039934832497692433,0.9976654730179881,0.004182635471231561,0.0009352657238775637,150
vicsek,rho_4,1.2,20,0.9207717942914388,0.003693292254526794,0.0008258452541895367,0.9983541805463025,0.001520757048178077,0.00034005161369881026,150
vicsek,rho_4,1.3999999999999999,20,0.8943862461098189,0.005003771789625663,0.001118877386549876,0.9979752664890074,0.0013971031701360132,0.00031240176600045796,150
vicsek,rho_4,1.6000000000000001,20,0.865037459829991,0.005198112142664885,0.0011623332105665765,0.9967900566289141,0.0026009029908110382,0.0005815795890335992,150
vicsek,rho_4,1.8,20,0.8312346593244474,0.0077139253319531325,0.0017248861415604833,0.9965438041305796,0.0022924400181260035,0.0005126051714870593,200
vicsek,rho_4,2.2000000000000002,20,0.745676774191383,0.011130135668875399,0.002488773995440048,0.9951828780812791,0.0023576035587933386,0.0005271761821457327,150
vicsek,rho_4,2.3999999999999999,20,0.7099192500893774,0.011237575896499664,0.002512798360688639,0.9951902898067955,0.0025192035375900734,0.0005633110359209351,1050
vicsek,rho_4,2.6000000000000001,20,0.6515125835722162,0.026633480197443563,0.005955427219887832,0.9939551965356429,0.0025233569372344476,0.0005642397643151895,sin_evidencia
vicsek,rho_4,2.7999999999999998,20,0.6113837525404006,0.018994265039625355,0.004247246781125003,0.9919316289140573,0.004669623723897136,0.0010441596075979704,sin_evidencia
vicsek,rho_4,3.2000000000000002,20,0.5037513936115143,0.019912560954723726,0.004452583990087036,0.9908341938707528,0.004657150768664039,0.001041370570019819,2900
vicsek,rho_4,3.3999999999999999,20,0.4394472572116933,0.03802804066521975,0.008503328397855768,0.9892744836775483,0.005842567158338095,0.0013064377329151757,2550
vicsek,rho_4,3.6000000000000001,20,0.3823516928568166,0.03292225805462751,0.0073616406982937085,0.9878951532311792,0.00798369845226294,0.0017852092451119792,2250
vicsek,rho_4,3.7999999999999998,20,0.3299918682487036,0.03252279916206233,0.0072723189744944555,0.9886052631578947,0.004182964148877244,0.0009353392184334068,2350
vicsek,rho_4,4.2000000000000002,20,0.20638065996857963,0.02495979259766058,0.005581179295266511,0.9941215856095937,0.003622537380494176,0.0008100239833818998,2800
vicsek,rho_4,4.4000000000000004,20,0.15148106854541057,0.021272745379340267,0.0047567304736249386,0.9965126582278481,0.0025111588402460974,0.0005615121869089808,750
vicsek,rho_4,4.5999999999999996,20,0.11305320101469954,0.012989011151497361,0.0029044311895250917,0.9981066788807462,0.002205389386062817,0.0004931400584092985,1000
vicsek,rho_4,4.7999999999999998,20,0.08222883177804266,0.00452162320478976,0.0010110656854550354,0.9992950532978014,0.0008886648976778946,0.00019871151204256673,250
vicsek,rho_4,5.2000000000000002,20,0.056593470121899934,0.0011296256225077346,0.0002525919681052811,0.9999581945369753,6.686266625637555e-05,1.495094669061371e-05,0
vicsek,rho_4,5.4000000000000004,20,0.05135330324269335,0.0008180789902568616,0.00018292802331787306,0.9999502831445704,8.118495603399996e-05,1.8153508044235564e-05,0
vicsek,rho_4,5.5999999999999996,20,0.0480936708518741,0.0007112892169910793,0.00015904910408546518,0.9999890906062625,2.3944744194778237e-05,5.35420757233676e-06,0
vicsek,rho_4,5.7999999999999998,20,0.04617799839829974,0.0005659940806724472,0.0001265601239246092,0.9999865089940039,2.6488987750249937e-05,5.923117726471808e-06,0
vicsek,rho_4,6.2000000000000002,20,0.044126120002857865,0.0005104982467486044,0.00011415087821243403,0.9999982511658894,5.38957460109109e-06,1.2051455177845987e-06,0
vicsek,rho_8,0.59999999999999998,20,0.983122699479047,0.0004890497316107146,0.00010935484442595854,0.9997842688207861,0.0004067073224813703,9.094252200152723e-05,200
vicsek,rho_8,0.80000000000000004,20,0.9699771240393996,0.000571802976691432,0.00012785903256187697,0.9999213441039307,8.99219682518046e-05,2.01071633681613e-05,150
vicsek,rho_8,1.2,20,0.9327785570765613,0.0013024521361844844,0.00029123715139483207,0.9998183294470353,0.0002597321185684279,5.8077867305904016e-05,150
vicsek,rho_8,1.3999999999999999,20,0.9087796854297195,0.001735260846459077,0.00038801612113763213,0.9997842271818789,0.00020176236268797324,4.511543582712753e-05,200
vicsek,rho_8,1.6000000000000001,20,0.8819805380073242,0.002250437290384021,0.0005032130760399104,0.9998260742838108,0.00015100207066466286,3.37650894749413e-05,150
vicsek,rho_8,1.8,20,0.8512311459340121,0.0035243430587553514,0.0007880670655406501,0.9997798134576948,0.0003371604028802928,7.539135801615505e-05,150
vicsek,rho_8,2.2000000000000002,20,0.7827332258180361,0.0037153315024796994,0.0008307733798491036,0.9997409227181878,0.000215729373242041,4.8238554331262785e-05,150
vicsek,rho_8,2.3999999999999999,20,0.7434307173416238,0.005384320738616313,0.0012039707184207952,0.9996478597601598,0.0002715435201694703,6.0718976994852076e-05,150
vicsek,rho_8,2.6000000000000001,20,0.7050348588935813,0.004515545544171664,0.0010097066792264118,0.9996849600266489,0.00016879458254154405,3.774361607965917e-05,150
vicsek,rho_8,2.7999999999999998,20,0.659918673308219,0.005665070119868884,0.0012667481885329708,0.9995209027315124,0.00039779287414269687,8.894919075480886e-05,150
vicsek,rho_8,3.2000000000000002,20,0.5682040394249767,0.009112278892823608,0.002037567503429011,0.9990432211858762,0.0010750916823760077,0.00024039780838373657,100
vicsek,rho_8,3.3999999999999999,20,0.5197544597631173,0.010025305771337081,0.0022417265199930676,0.9991835443037974,0.0007268741232103021,0.0001625339950583793,100
vicsek,rho_8,3.6000000000000001,20,0.4650453600854808,0.014759858557219684,0.0033004047072225182,0.9991651399067288,0.0006129557129985847,0.0001370610641461687,100
vicsek,rho_8,3.7999999999999998,20,0.4172179564628136,0.009445826915603353,0.0021121511086986265,0.9990606678880747,0.0008575838319777917,0.00019176157447071,100
vicsek,rho_8,4.2000000000000002,20,0.2979910316100706,0.015676503267487697,0.0035053726955600055,0.9994977098600932,0.00035886694710641695,8.024508886077697e-05,2200
vicsek,rho_8,4.4000000000000004,20,0.24029692030242306,0.01861112337170085,0.004161573699675819,0.9994734760159893,0.00037832630983440055,8.459633464663668e-05,550
vicsek,rho_8,4.5999999999999996,20,0.18168738437363868,0.016330787504960666,0.0036516750987196232,0.9998747918054629,0.00013914604881404104,3.1114002394869975e-05,1500
vicsek,rho_8,4.7999999999999998,20,0.11792395913934443,0.013323110075449335,0.0029791379800417064,0.9999270069953365,0.00014418705886516328,3.2241206509826876e-05,550
vicsek,rho_8,5.2000000000000002,20,0.052899527550928624,0.0022714501870766514,0.0005079117025808007,1.0,0.0,0.0,0
vicsek,rho_8,5.4000000000000004,20,0.04233281936056265,0.0007909177914007724,0.00017685459461861257,1.0,0.0,0.0,0
vicsek,rho_8,5.5999999999999996,20,0.03702104863679869,0.0007196840207948568,0.00016092623928176718,1.0,0.0,0.0,0
vicsek,rho_8,5.7999999999999998,20,0.03379372073094829,0.0004384554127597241,9.804161080334717e-05,1.0,0.0,0.0,0
vicsek,rho_8,6.2000000000000002,20,0.031467719849997786,0.00040590285557004925,9.076263773159092e-05,1.0,0.0,0.0,0
voter,rho_2,0.59999999999999998,20,0.3318748955966694,0.03334652114731852,0.0074565088098538495,0.9529132245169887,0.02304640020759099,0.0051533317500838715,sin_evidencia
voter,rho_2,0.80000000000000004,20,0.2496533805430438,0.022220336191959348,0.004968618220811991,0.9477876415722852,0.027549262338313382,0.006160202331844353,sin_evidencia
voter,rho_2,1.2,20,0.17743317380814275,0.010337897397875958,0.0023116241326068833,0.9494596935376416,0.0325307611326094,0.0072740993252322665,2850
voter,rho_2,1.3999999999999999,20,0.15066217773860818,0.006108004943822521,0.001365791426129194,0.949942871419054,0.030082998742617027,0.006726763015553237,2650
voter,rho_2,1.6000000000000001,20,0.1345335824642821,0.004410451664988846,0.0009862069734392189,0.9551362425049966,0.028600455583770768,0.006395256287277487,2400
voter,rho_2,1.8,20,0.12088136963003444,0.0041245753893717945,0.0009222830948957995,0.9686117588274483,0.012628939084500685,0.002823916627664749,400
voter,rho_2,2.2000000000000002,20,0.1026380314769358,0.003167682170193893,0.0007083152663667603,0.9717536642238509,0.016541389254244872,0.0036987670814776085,50
voter,rho_2,2.3999999999999999,20,0.09597604373459898,0.0028806165553474012,0.0006441254434868074,0.9722430046635576,0.021758310288119316,0.004865306087976782,700
voter,rho_2,2.6000000000000001,20,0.09061236169008162,0.0018699849934601023,0.00041814135622812883,0.9810942704863426,0.01299837203239019,0.002906524346125656,50
voter,rho_2,2.7999999999999998,20,0.08610226723398214,0.002189976870883765,0.0004896937152448378,0.9861497335109928,0.006492858428111646,0.001451847281354007,0
voter,rho_2,3.2000000000000002,20,0.07874299441061634,0.0016638197167690935,0.00037204139890001397,0.9816605596269155,0.010079581712396223,0.0022538629893681687,0
voter,rho_2,3.3999999999999999,20,0.07531814142282012,0.0016654900115537891,0.00037241488816811826,0.9874575283144571,0.007843562638999789,0.001753873924658117,0
voter,rho_2,3.6000000000000001,20,0.07268517351159684,0.0011942559443085575,0.00026704374740071376,0.9904673550966022,0.006350872435462839,0.0014200982482124554,0
voter,rho_2,3.7999999999999998,20,0.07085774565982808,0.0014529499529814332,0.00032488948627716076,0.9867338441039306,0.009009532764257295,0.00201459277063909,0
voter,rho_2,4.2000000000000002,20,0.06787492225097594,0.001181329512275367,0.00026415330932743925,0.9903247834776815,0.005333752387796025,0.001192663291426373,0
voter,rho_2,4.4000000000000004,20,0.06700353689192703,0.0010987299824448428,0.0002456834929663819,0.9916680546302465,0.005009335940210316,0.0011201215684443087,0
voter,rho_2,4.5999999999999996,20,0.06593452576173725,0.0008496412420532149,0.00018998555737183414,0.9909546968687541,0.00643088177728169,0.001437988880926652,0
voter,rho_2,4.7999999999999998,20,0.0646113021542524,0.0012541595224807467,0.0002804385946895625,0.9933147901399068,0.0032211306501753975,0.0007202667098200283,0
voter,rho_2,5.2000000000000002,20,0.06364267986717362,0.0008824135724221388,0.00019731367322043362,0.9915886075949366,0.004005027093789977,0.0008955512833442814,0
voter,rho_2,5.4000000000000004,20,0.06335498191885024,0.0009842888593566011,0.000220093679901709,0.9928552631578947,0.002803128933213602,0.0006267986844362081,0
voter,rho_2,5.5999999999999996,20,0.06341383859373435,0.000982273806590844,0.00021964310040546077,0.9941870419720187,0.002426853201376113,0.0005426608729689975,0
voter,rho_2,5.7999999999999998,20,0.06288850332395365,0.0007752862313861628,0.0001733592715399091,0.9932766489007328,0.004020934212762774,0.0008991082232792164,0
voter,rho_2,6.2000000000000002,20,0.06281093294892863,0.0006877620889523974,0.00015378827832448176,0.9929885076615589,0.002671757184203126,0.0005974230683251617,0
