model,rho_nominal,rho_label,N,eta,eta_index,steps,base_seed,realization,returncode,elapsed_s
vicsek,2.0,rho_2,200,0.6,0,3000,1600000,0,0,1.6718
vicsek,2.0,rho_2,200,0.6,0,3000,1600001,1,0,1.8036
vicsek,2.0,rho_2,200,0.6,0,3000,1600002,2,0,1.8509
vicsek,2.0,rho_2,200,0.6,0,3000,1600003,3,0,1.9413
vicsek,2.0,rho_2,200,0.6,0,3000,1600004,4,0,1.8076
vicsek,2.0,rho_2,200,0.6,0,3000,1600005,5,0,1.7275
vicsek,2.0,rho_2,200,0.6,0,3000,1600006,6,0,1.7344
vicsek,2.0,rho_2,200,0.6,0,3000,1600007,7,0,1.6726
vicsek,2.0,rho_2,200,0.6,0,3000,1600008,8,0,1.8858
vicsek,2.0,rho_2,200,0.6,0,3000,1600009,9,0,1.8182
vicsek,2.0,rho_2,200,0.6,0,3000,1600010,10,0,1.8523
vicsek,2.0,rho_2,200,0.6,0,3000,1600011,11,0,1.799
vicsek,2.0,rho_2,200,0.6,0,3000,1600012,12,0,1.8171
vicsek,2.0,rho_2,200,0.6,0,3000,1600013,13,0,1.6732
vicsek,2.0,rho_2,200,0.6,0,3000,1600014,14,0,1.7954
vicsek,2.0,rho_2,200,0.6,0,3000,1600015,15,0,1.6715
vicsek,2.0,rho_2,200,0.6,0,3000,1600016,16,0,1.7617
vicsek,2.0,rho_2,200,0.6,0,3000,1600017,17,0,1.7382
vicsek,2.0,rho_2,200,0.6,0,3000,1600018,18,0,1.6074
vicsek,2.0,rho_2,200,0.6,0,3000,1600019,19,0,1.6339
vicsek,2.0,rho_2,200,0.8,1,3000,1600100,0,0,2.0531
vicsek,2.0,rho_2,200,0.8,1,3000,1600101,1,0,1.9748
vicsek,2.0,rho_2,200,0.8,1,3000,1600102,2,0,2.1317
vicsek,2.0,rho_2,200,0.8,1,3000,1600103,3,0,1.9071
vicsek,2.0,rho_2,200,0.8,1,3000,1600104,4,0,1.9383
vicsek,2.0,rho_2,200,0.8,1,3000,1600105,5,0,2.0977
vicsek,2.0,rho_2,200,0.8,1,3000,1600106,6,0,1.9857
vicsek,2.0,rho_2,200,0.8,1,3000,1600107,7,0,2.0038
vicsek,2.0,rho_2,200,0.8,1,3000,1600108,8,0,2.0424
vicsek,2.0,rho_2,200,0.8,1,3000,1600109,9,0,1.8662
vicsek,2.0,rho_2,200,0.8,1,3000,1600110,10,0,2.0514
vicsek,2.0,rho_2,200,0.8,1,3000,1600111,11,0,2.1724
vicsek,2.0,rho_2,200,0.8,1,3000,1600112,12,0,1.9892
vicsek,2.0,rho_2,200,0.8,1,3000,1600113,13,0,2.5166
vicsek,2.0,rho_2,200,0.8,1,3000,1600114,14,0,2.1201
vicsek,2.0,rho_2,200,0.8,1,3000,1600115,15,0,2.1733
vicsek,2.0,rho_2,200,0.8,1,3000,1600116,16,0,2.23
vicsek,2.0,rho_2,200,0.8,1,3000,1600117,17,0,2.4817
vicsek,2.0,rho_2,200,0.8,1,3000,1600118,18,0,2.1927
vicsek,2.0,rho_2,200,0.8,1,3000,1600119,19,0,2.0451
vicsek,2.0,rho_2,200,1.2,2,3000,1600200,0,0,1.8356
vicsek,2.0,rho_2,200,1.2,2,3000,1600201,1,0,1.8995
vicsek,2.0,rho_2,200,1.2,2,3000,1600202,2,0,1.838
vicsek,2.0,rho_2,200,1.2,2,3000,1600203,3,0,1.8515
vicsek,2.0,rho_2,200,1.2,2,3000,1600204,4,0,1.6749
vicsek,2.0,rho_2,200,1.2,2,3000,1600205,5,0,1.7549
vicsek,2.0,rho_2,200,1.2,2,3000,1600206,6,0,1.8715
vicsek,2.0,rho_2,200,1.2,2,3000,1600207,7,0,1.9737
vicsek,2.0,rho_2,200,1.2,2,3000,1600208,8,0,2.0258
vicsek,2.0,rho_2,200,1.2,2,3000,1600209,9,0,1.9173
vicsek,2.0,rho_2,200,1.2,2,3000,1600210,10,0,1.7612
vicsek,2.0,rho_2,200,1.2,2,3000,1600211,11,0,1.915
vicsek,2.0,rho_2,200,1.2,2,3000,1600212,12,0,1.6937
vicsek,2.0,rho_2,200,1.2,2,3000,1600213,13,0,1.9007
vicsek,2.0,rho_2,200,1.2,2,3000,1600214,14,0,1.7823
vicsek,2.0,rho_2,200,1.2,2,3000,1600215,15,0,1.9563
vicsek,2.0,rho_2,200,1.2,2,3000,1600216,16,0,1.8872
vicsek,2.0,rho_2,200,1.2,2,3000,1600217,17,0,1.9267
vicsek,2.0,rho_2,200,1.2,2,3000,1600218,18,0,1.9845
