model,rho_label,rho_nominal,N,eta,base_seed,realization,steps,va_t0,S_t0,t_window_start,va_window_mean,va_window_stdev,S_window_mean,S_window_stdev
vicsek,rho_2,2,200,0.050000000000000003,1100000,0,3000,0.04225265296119713,1.0,1500,0.9998379661436569,3.155509881293366e-05,1.0,0.0
vicsek,rho_2,2,200,0.050000000000000003,1100001,1,3000,0.044652022431856266,1.0,1500,0.9998260320354682,3.7274650899143214e-05,1.0,0.0
vicsek,rho_2,2,200,0.050000000000000003,1100002,2,3000,0.08030831155390537,0.995,1500,0.9998289516268037,3.272984890562635e-05,1.0,0.0
vicsek,rho_2,2,200,0.050000000000000003,1100003,3,3000,0.03383324908792895,1.0,1500,0.9998281479607348,3.4488062125045375e-05,1.0,0.0
vicsek,rho_2,2,200,0.050000000000000003,1100004,4,3000,0.07908155950841303,1.0,1500,0.9998263243543689,4.188071341140627e-05,1.0,0.0
vicsek,rho_2,2,200,0.050000000000000003,1100005,5,3000,0.07140407077317977,1.0,1500,0.9998495487119602,2.2872263070150293e-05,1.0,0.0
vicsek,rho_2,2,200,0.050000000000000003,1100006,6,3000,0.09369461858413758,0.995,1500,0.9998389996466641,3.052098896393426e-05,1.0,0.0
vicsek,rho_2,2,200,0.050000000000000003,1100007,7,3000,0.08322593843203457,0.99,1500,0.9998161991863277,5.454271627276506e-05,0.9986009327115257,0.006325711768374497
vicsek,rho_2,2,200,0.050000000000000003,1100008,8,3000,0.058134147676466325,0.995,1500,0.9998374184699663,3.114549502760193e-05,1.0,0.0
vicsek,rho_2,2,200,0.050000000000000003,1100009,9,3000,0.12010352091879611,1.0,1500,0.9998510358771766,2.66573436863638e-05,1.0,0.0
vicsek,rho_2,2,200,0.050000000000000003,1100010,10,3000,0.0725861895104874,0.99,1500,0.9997818859499568,7.560528138282983e-05,1.0,0.0
vicsek,rho_2,2,200,0.050000000000000003,1100011,11,3000,0.022676169271729756,0.92,1500,0.9998069271616599,5.659596506963896e-05,1.0,0.0
vicsek,rho_2,2,200,0.050000000000000003,1100012,12,3000,0.08552060784948781,1.0,1500,0.9998212136734486,4.4783680327742866e-05,1.0,0.0
vicsek,rho_2,2,200,0.050000000000000003,1100013,13,3000,0.04979829863924603,0.965,1500,0.9998047971096783,5.7004061283691736e-05,1.0,0.0
vicsek,rho_2,2,200,0.050000000000000003,1100014,14,3000,0.08694022022683408,0.98,1500,0.9998319266669119,3.0835916115113476e-05,1.0,0.0
vicsek,rho_2,2,200,0.050000000000000003,1100015,15,3000,0.06229494679160715,1.0,1500,0.999845691001194,2.970127861089393e-05,1.0,0.0
vicsek,rho_2,2,200,0.050000000000000003,1100016,16,3000,0.038794569583951,1.0,1500,0.9998367088012429,3.5031143405551496e-05,1.0,0.0
vicsek,rho_2,2,200,0.050000000000000003,1100017,17,3000,0.09005638329408465,1.0,1500,0.9998403883065222,2.6710957925398407e-05,1.0,0.0
vicsek,rho_2,2,200,0.050000000000000003,1100018,18,3000,0.06090109610860139,0.99,1500,0.9998309373886388,3.5645298105923175e-05,1.0,0.0
vicsek,rho_2,2,200,0.050000000000000003,1100019,19,3000,0.05961189686198219,1.0,1500,0.9998159013139025,5.077466281359269e-05,1.0,0.0
vicsek,rho_2,2,200,0.10000000000000001,1100100,0,3000,0.016216500388510385,0.985,1500,0.9993956833527208,0.00011560090654877336,1.0,0.0
vicsek,rho_2,2,200,0.10000000000000001,1100101,1,3000,0.060889523387873935,1.0,1500,0.9993345876040509,0.00011843570415704795,1.0,0.0
vicsek,rho_2,2,200,0.10000000000000001,1100102,2,3000,0.036021668063520015,0.99,1500,0.999288567541709,0.00014794037754200606,0.9999933377748168,0.00018239172314462137
vicsek,rho_2,2,200,0.10000000000000001,1100103,3,3000,0.055814634394399654,1.0,1500,0.9993312516377538,0.00014777691989779372,1.0,0.0
vicsek,rho_2,2,200,0.10000000000000001,1100104,4,3000,0.05393193118186799,1.0,1500,0.9993797434071341,0.00011141189930027935,1.0,0.0
vicsek,rho_2,2,200,0.10000000000000001,1100105,5,3000,0.06273086301841009,1.0,1500,0.9993359986103018,0.0001554328956013996,1.0,0.0
vicsek,rho_2,2,200,0.10000000000000001,1100106,6,3000,0.030017615053188167,0.995,1500,0.9993327255379824,0.0001606792661193529,1.0,0.0
vicsek,rho_2,2,200,0.10000000000000001,1100107,7,3000,0.07628448889645026,0.975,1500,0.9993809757700205,0.00011362868612242646,1.0,0.0
vicsek,rho_2,2,200,0.10000000000000001,1100108,8,3000,0.0634655175025237,1.0,1500,0.9993388185473144,0.00015192246833529006,1.0,0.0
