model,rho_nominal,rho_label,N,eta,eta_index,steps,base_seed,realization,returncode,elapsed_s
vicsek,2.0,rho_2,200,0.05,0,3000,1100000,0,0,1.6751
vicsek,2.0,rho_2,200,0.05,0,3000,1100001,1,0,1.6962
vicsek,2.0,rho_2,200,0.05,0,3000,1100002,2,0,1.6302
vicsek,2.0,rho_2,200,0.05,0,3000,1100003,3,0,1.5902
vicsek,2.0,rho_2,200,0.05,0,3000,1100004,4,0,1.6801
vicsek,2.0,rho_2,200,0.05,0,3000,1100005,5,0,1.7587
vicsek,2.0,rho_2,200,0.05,0,3000,1100006,6,0,1.6406
vicsek,2.0,rho_2,200,0.05,0,3000,1100007,7,0,1.6857
vicsek,2.0,rho_2,200,0.05,0,3000,1100008,8,0,1.5906
vicsek,2.0,rho_2,200,0.05,0,3000,1100009,9,0,1.7341
vicsek,2.0,rho_2,200,0.05,0,3000,1100010,10,0,1.6036
vicsek,2.0,rho_2,200,0.05,0,3000,1100011,11,0,1.715
vicsek,2.0,rho_2,200,0.05,0,3000,1100012,12,0,1.7245
vicsek,2.0,rho_2,200,0.05,0,3000,1100013,13,0,1.7271
vicsek,2.0,rho_2,200,0.05,0,3000,1100014,14,0,1.6686
vicsek,2.0,rho_2,200,0.05,0,3000,1100015,15,0,1.7614
vicsek,2.0,rho_2,200,0.05,0,3000,1100016,16,0,1.7501
vicsek,2.0,rho_2,200,0.05,0,3000,1100017,17,0,1.6568
vicsek,2.0,rho_2,200,0.05,0,3000,1100018,18,0,1.7131
vicsek,2.0,rho_2,200,0.05,0,3000,1100019,19,0,1.7122
vicsek,2.0,rho_2,200,0.1,1,3000,1100100,0,0,1.7794
vicsek,2.0,rho_2,200,0.1,1,3000,1100101,1,0,1.6831
vicsek,2.0,rho_2,200,0.1,1,3000,1100102,2,0,1.6934
vicsek,2.0,rho_2,200,0.1,1,3000,1100103,3,0,1.744
vicsek,2.0,rho_2,200,0.1,1,3000,1100104,4,0,1.7278
vicsek,2.0,rho_2,200,0.1,1,3000,1100105,5,0,1.6878
vicsek,2.0,rho_2,200,0.1,1,3000,1100106,6,0,1.6894
vicsek,2.0,rho_2,200,0.1,1,3000,1100107,7,0,1.7971
vicsek,2.0,rho_2,200,0.1,1,3000,1100108,8,0,1.653
vicsek,2.0,rho_2,200,0.1,1,3000,1100109,9,0,1.6781
vicsek,2.0,rho_2,200,0.1,1,3000,1100110,10,0,1.7396
vicsek,2.0,rho_2,200,0.1,1,3000,1100111,11,0,1.8051
vicsek,2.0,rho_2,200,0.1,1,3000,1100112,12,0,1.8252
vicsek,2.0,rho_2,200,0.1,1,3000,1100113,13,0,1.6747
vicsek,2.0,rho_2,200,0.1,1,3000,1100114,14,0,1.8475
vicsek,2.0,rho_2,200,0.1,1,3000,1100115,15,0,1.6278
vicsek,2.0,rho_2,200,0.1,1,3000,1100116,16,0,1.5905
vicsek,2.0,rho_2,200,0.1,1,3000,1100117,17,0,1.7319
vicsek,2.0,rho_2,200,0.1,1,3000,1100118,18,0,1.8981
vicsek,2.0,rho_2,200,0.1,1,3000,1100119,19,0,1.9858
vicsek,2.0,rho_2,200,0.15,2,3000,1100200,0,0,2.1517
vicsek,2.0,rho_2,200,0.15,2,3000,1100201,1,0,2.0487
vicsek,2.0,rho_2,200,0.15,2,3000,1100202,2,0,2.1181
vicsek,2.0,rho_2,200,0.15,2,3000,1100203,3,0,1.993
vicsek,2.0,rho_2,200,0.15,2,3000,1100204,4,0,2.1821
vicsek,2.0,rho_2,200,0.15,2,3000,1100205,5,0,2.1287
vicsek,2.0,rho_2,200,0.15,2,3000,1100206,6,0,2.197
vicsek,2.0,rho_2,200,0.15,2,3000,1100207,7,0,2.1421
vicsek,2.0,rho_2,200,0.15,2,3000,1100208,8,0,2.1015
vicsek,2.0,rho_2,200,0.15,2,3000,1100209,9,0,1.888
vicsek,2.0,rho_2,200,0.15,2,3000,1100210,10,0,1.9366
vicsek,2.0,rho_2,200,0.15,2,3000,1100211,11,0,1.8581
vicsek,2.0,rho_2,200,0.15,2,3000,1100212,12,0,1.7544
vicsek,2.0,rho_2,200,0.15,2,3000,1100213,13,0,1.7362
vicsek,2.0,rho_2,200,0.15,2,3000,1100214,14,0,1.8085
vicsek,2.0,rho_2,200,0.15,2,3000,1100215,15,0,1.7885
