model,rho_label,eta,t,realizations,va_mean,va_stdev,va_stderr,S_mean,S_stdev,S_stderr
vicsek,rho_2,0.050000000000000003,0,20,0.06679352350329633,0.023346711479162684,0.005220483391848243,0.991,0.018411952639521965,0.0041170377700477795
vicsek,rho_2,0.050000000000000003,50,20,0.6748145053491309,0.18049571561157052,0.04036006897549417,0.9712500000000001,0.09596711676402497,0.021458899668901948
vicsek,rho_2,0.050000000000000003,100,20,0.8866168868108322,0.13336975139969073,0.029822383027195618,0.99275,0.023689396362085714,0.005297110061155987
vicsek,rho_2,0.050000000000000003,150,20,0.9611912377917792,0.07027063677650272,0.01571299206544568,0.9977499999999999,0.007822243923581015,0.001749106914971182
vicsek,rho_2,0.050000000000000003,200,20,0.9835092614612281,0.04225368848939831,0.009448211976239502,0.9984999999999999,0.0047696960070847325,0.001066536450385078
vicsek,rho_2,0.050000000000000003,250,20,0.9893961850454375,0.03373740257790228,0.007543912554846614,0.999,0.004358898943540678,0.0009746794344808973
vicsek,rho_2,0.050000000000000003,300,20,0.9917123445919487,0.027761135965403652,0.006207578715125681,0.9872500000000001,0.046783410521252074,0.01046108861447985
vicsek,rho_2,0.050000000000000003,350,20,0.9929903766926966,0.023573002401462193,0.005271083580343525,0.998,0.006000000000000005,0.0013416407864998748
vicsek,rho_2,0.050000000000000003,400,20,0.9945339119491869,0.01912633430680519,0.0042767783670402725,0.99875,0.004437059837324716,0.0009921567416492222
vicsek,rho_2,0.050000000000000003,450,20,0.9954575225057137,0.01721021956394764,0.0038483220852683713,0.99875,0.004437059837324716,0.0009921567416492222
vicsek,rho_2,0.050000000000000003,500,20,0.9964404963650745,0.014129771330487038,0.0031595129201496663,0.999,0.004358898943540678,0.0009746794344808973
vicsek,rho_2,0.050000000000000003,550,20,0.997202988081823,0.0112989845331278,0.0025265297492792485,0.999,0.004358898943540678,0.0009746794344808973
vicsek,rho_2,0.050000000000000003,600,20,0.9977990649725467,0.008780973043142093,0.0019634852633058915,0.999,0.004358898943540678,0.0009746794344808973
vicsek,rho_2,0.050000000000000003,650,20,0.9984470636113574,0.006032631075029166,0.0013489373166942849,0.999,0.004358898943540678,0.0009746794344808973
vicsek,rho_2,0.050000000000000003,700,20,0.9988787639562868,0.004096880696027176,0.0009160903732023417,0.999,0.004358898943540678,0.0009746794344808973
vicsek,rho_2,0.050000000000000003,750,20,0.9992531715988602,0.0023973924203903956,0.0005360732420735678,0.999,0.004358898943540678,0.0009746794344808973
vicsek,rho_2,0.050000000000000003,800,20,0.9995271928728059,0.001350959432492885,0.00030208371258986285,1.0,0.0,0.0
vicsek,rho_2,0.050000000000000003,850,20,0.9996540913359956,0.0006496026730261239,0.0001452555735251982,0.9994999999999999,0.002179449471770339,0.00048733971724044866
vicsek,rho_2,0.050000000000000003,900,20,0.9997555966147031,0.0003345297727239921,7.480313123084013e-05,0.999,0.004358898943540678,0.0009746794344808973
vicsek,rho_2,0.050000000000000003,950,20,0.9997516202278378,0.00022943082874499798,5.1302292920792823e-05,0.999,0.004358898943540678,0.0009746794344808973
vicsek,rho_2,0.050000000000000003,1000,20,0.9997569783814665,0.0001723894244479738,3.854744716677335e-05,0.999,0.004358898943540678,0.0009746794344808973
