model,rho_nominal,rho_label,rho_effective,N,eta,eta_index,steps,base_seed,realization,returncode,elapsed_s,output_path,source_run
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.0,0,3000,1250000,0,0,0.334,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.0,0,3000,1250001,1,0,0.3366,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.0,0,3000,1250002,2,0,0.3432,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.0,0,3000,1250003,3,0,0.3241,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.0,0,3000,1250004,4,0,0.3184,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.0,0,3000,1250005,5,0,0.3308,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.0,0,3000,1250006,6,0,0.3325,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.0,0,3000,1250007,7,0,0.3467,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.0,0,3000,1250008,8,0,0.3638,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.0,0,3000,1250009,9,0,0.3818,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.0,0,3000,1250010,10,0,0.4043,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.0,0,3000,1250011,11,0,0.3759,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.0,0,3000,1250012,12,0,0.3506,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.0,0,3000,1250013,13,0,0.4312,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.0,0,3000,1250014,14,0,0.4048,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.0,0,3000,1250015,15,0,0.3566,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.0,0,3000,1250016,16,0,0.3324,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.0,0,3000,1250017,17,0,0.3461,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.0,0,3000,1250018,18,0,0.3175,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.0,0,3000,1250019,19,0,0.3496,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.05,1,3000,1250100,0,0,0.3512,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.05,1,3000,1250101,1,0,0.3162,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.05,1,3000,1250102,2,0,0.34,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.05,1,3000,1250103,3,0,0.3628,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.05,1,3000,1250104,4,0,0.3787,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.05,1,3000,1250105,5,0,0.3993,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.05,1,3000,1250106,6,0,0.3813,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.05,1,3000,1250107,7,0,0.4524,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.05,1,3000,1250108,8,0,0.3826,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.05,1,3000,1250109,9,0,0.4739,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.05,1,3000,1250110,10,0,0.4386,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.05,1,3000,1250111,11,0,0.4166,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.05,1,3000,1250112,12,0,0.5092,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.05,1,3000,1250113,13,0,0.5376,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.05,1,3000,1250114,14,0,0.5026,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.05,1,3000,1250115,15,0,0.5316,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.05,1,3000,1250116,16,0,0.3876,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.05,1,3000,1250117,17,0,0.4639,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.05,1,3000,1250118,18,0,0.4656,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.05,1,3000,1250119,19,0,0.4821,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.1,2,3000,1250200,0,0,0.3743,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.1,2,3000,1250201,1,0,0.3533,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.1,2,3000,1250202,2,0,0.3546,,vicsek_lowrho_cluster_study_1
