model,rho_label,eta,t,realizations,va_mean,va_stdev,va_stderr,S_mean,S_stdev,S_stderr,source_run
vicsek,rho_1_over_pi,0,0,20,0.16070272115814793,0.09093717817591779,0.02033417120833625,0.153125,0.04408354993645589,0.00985738143474219,vicsek_lowrho_cluster_study_1
vicsek,rho_1_over_pi,0,50,20,0.4048578380404463,0.19463307349548994,0.04352127830056281,0.309375,0.100243843327159,0.022415204800536617,vicsek_lowrho_cluster_study_1
vicsek,rho_1_over_pi,0,100,20,0.5787248840968128,0.20175020945426497,0.04511271828145572,0.421875,0.12713028504254995,0.02842719593540664,vicsek_lowrho_cluster_study_1
vicsek,rho_1_over_pi,0,150,20,0.7066831387406483,0.17788038965025335,0.03977526431221165,0.5109375,0.16276270831720022,0.036394847999923007,vicsek_lowrho_cluster_study_1
vicsek,rho_1_over_pi,0,200,20,0.7786292187819785,0.17539136285345117,0.039218701000664824,0.6109375,0.17663162363730342,0.03949603174291691,vicsek_lowrho_cluster_study_1
vicsek,rho_1_over_pi,0,250,20,0.8504856676103978,0.15606682579894535,0.03489760315190597,0.6953125,0.20176830578351496,0.04511676474369034,vicsek_lowrho_cluster_study_1
vicsek,rho_1_over_pi,0,300,20,0.9136669146483216,0.12320379684459411,0.027549206483058652,0.7234375,0.17629958300787327,0.039421785201047145,vicsek_lowrho_cluster_study_1
vicsek,rho_1_over_pi,0,350,20,0.9324472177227066,0.11928246339034258,0.026672369666443603,0.775,0.19754350786598884,0.04417207121021154,vicsek_lowrho_cluster_study_1
vicsek,rho_1_over_pi,0,400,20,0.9418580309271196,0.12010556908118637,0.026856421694182966,0.8078125,0.18626546705911431,0.04165022462049274,vicsek_lowrho_cluster_study_1
vicsek,rho_1_over_pi,0,450,20,0.9637463450201216,0.07693120794630642,0.017202341055911313,0.834375,0.17147681147898686,0.03834338070319308,vicsek_lowrho_cluster_study_1
