model,rho_label,eta,realizations,va_mean,va_stdev_between_realizations,va_stderr,S_mean,S_stdev_between_realizations,S_stderr,t_eq_heuristic_estimate,source_run
vicsek,rho_2,0,20,0.9999999999956767,1.8931077929132543e-11,4.233117713688631e-12,1.0,0.0,0.0,200,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,rho_2,0.050000000000000003,20,0.9998278500693141,1.6730288874132305e-05,3.7410063205768255e-06,0.9999300466355763,0.00031284095621247893,6.99533644237138e-05,200,final_fine_grid_steps3000_R20_v1
vicsek,rho_2,0.10000000000000001,20,0.9993255971762401,9.091405271741377e-05,2.0329000198613666e-05,0.999364257161892,0.002181458410004414,0.0004877889294858477,150,final_fine_grid_steps3000_R20_v1
vicsek,rho_2,0.14999999999999999,20,0.9984760735476342,0.00024009321802569226,5.3686475644212575e-05,0.9979350433044637,0.0046738289232762945,0.0010450999187650444,150,final_fine_grid_steps3000_R20_v1
vicsek,rho_2,0.20000000000000001,20,0.9970096572136937,0.0006591243258778351,0.00014738467982865628,0.9949343770819453,0.008597702511918076,0.0019225047266969513,200,final_fine_grid_steps3000_R20_v1
vicsek,rho_2,0.29999999999999999,20,0.9936168946302603,0.0008185708201134465,0.00018303799981714183,0.9985664556962025,0.0022380310266477974,0.0005004389511338118,200,final_fine_grid_steps3000_R20_v1
vicsek,rho_2,0.40000000000000002,20,0.9880247931565467,0.0015315467992207952,0.00034246427537799195,0.9937215189873418,0.006994595343270218,0.0015640390662655683,250,final_fine_grid_steps3000_R20_v1
vicsek,rho_2,0.5,20,0.9818053964690089,0.0035189686236050404,0.0007868653053069741,0.996070286475683,0.005857980201721513,0.0013098841941897234,200,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,rho_2,1,20,0.9283845757859528,0.007977244807110054,0.0017837661661855278,0.9853209526982012,0.009276687165734985,0.0020743303108583283,150,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,rho_2,2,20,0.7335708631312439,0.04067510503108932,0.009095229984145942,0.9617290139906729,0.015901681327566468,0.003555724040497772,2750,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,rho_2,3,20,0.46268860195813677,0.046570716339877645,0.010413528749682661,0.9271962025316455,0.03249223217011696,0.007265483987308702,3000,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,rho_2,4,20,0.18971117844574198,0.024050932049282155,0.005377951898442322,0.912405562958028,0.032758367483603404,0.007324993652525594,2300,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,rho_2,5,20,0.07613395902881145,0.001598655921162622,0.0003574703312352167,0.9794913391072619,0.012776317774524733,0.0028568715045976132,0,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,rho_2,6,20,0.06296866547121284,0.0005864622366208345,0.00013113694273207525,0.9935066622251831,0.0043461274908700494,0.0009718236508466027,0,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,rho_4,0,20,0.9999999999999998,4.134491381123685e-15,9.245003780579549e-16,1.0,0.0,0.0,200,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,rho_4,0.050000000000000003,20,0.9998663378381021,6.904268818225696e-06,1.5438414412484793e-06,0.999838524317122,0.0005235467652899171,0.0001170686156588382,150,final_fine_grid_steps3000_R20_v1
vicsek,rho_4,0.10000000000000001,20,0.9994773289428501,1.958177793625127e-05,4.378618658576338e-06,0.9999350433044636,0.0002904951736258981,6.495669553631122e-05,150,final_fine_grid_steps3000_R20_v1
vicsek,rho_4,0.14999999999999999,20,0.9988136628773099,7.560835521211939e-05,1.6906542192124948e-05,0.9999760992671552,0.00010153248406512056,2.2703353629402375e-05,150,final_fine_grid_steps3000_R20_v1
vicsek,rho_4,0.20000000000000001,20,0.997826541597387,0.00019703938895016419,4.40593467937588e-05,0.9999592771485677,0.00011456707507758422,2.561797678568003e-05,150,final_fine_grid_steps3000_R20_v1
vicsek,rho_4,0.29999999999999999,20,0.995207700384461,0.00027282526653596754,6.10055841953922e-05,0.9996225016655563,0.0011811875805583798,0.0002641215724307046,200,final_fine_grid_steps3000_R20_v1
vicsek,rho_4,0.40000000000000002,20,0.9912795794787815,0.0004689381782156021,0.00010485776437349973,0.9997664890073285,0.00036774590511329773,8.223048422805212e-05,150,final_fine_grid_steps3000_R20_v1
vicsek,rho_4,0.5,20,0.986393393010028,0.0007580047408299742,0.00016949501277629326,0.9993471852098601,0.0012329900847452644,0.0002757049645073638,150,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,rho_4,1,20,0.9458519211828781,0.002096437823655447,0.00046877774842952953,0.9986609760159894,0.0015254205860233804,0.0003410944124625844,150,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,rho_4,2,20,0.7944088387596557,0.008492013827508195,0.0018988720184176498,0.9958556795469686,0.0022027932175540245,0.0004925595374826281,150,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,rho_4,3,20,0.5595739952861629,0.021754549194310364,0.0048644650818341255,0.9914688540972685,0.003820708680005832,0.0008543364330716531,2600,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,rho_4,4,20,0.2582677158575636,0.02833509095734958,0.006335918952927325,0.9922927215189873,0.004262334357775502,0.0009530869366818932,2400,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,rho_4,5,20,0.06614111045726787,0.002617631017588895,0.0005853200895340716,0.9996521485676215,0.00035338654970618337,7.901963474771343e-05,0,vicsek_eta0_6_deta0p5_steps3000_R20_v1
