model,rho_nominal,rho_label,N,eta,eta_index,steps,base_seed,realization,returncode,elapsed_s,source_run
vicsek,2,rho_2,200,0,,3000,920000,0,0,,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,2,rho_2,200,0,,3000,920001,1,0,,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,2,rho_2,200,0,,3000,920002,2,0,,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,2,rho_2,200,0,,3000,920003,3,0,,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,2,rho_2,200,0,,3000,920004,4,0,,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,2,rho_2,200,0,,3000,920005,5,0,,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,2,rho_2,200,0,,3000,920006,6,0,,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,2,rho_2,200,0,,3000,920007,7,0,,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,2,rho_2,200,0,,3000,920008,8,0,,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,2,rho_2,200,0,,3000,920009,9,0,,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,2,rho_2,200,0,,3000,920010,10,0,,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,2,rho_2,200,0,,3000,920011,11,0,,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,2,rho_2,200,0,,3000,920012,12,0,,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,2,rho_2,200,0,,3000,920013,13,0,,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,2,rho_2,200,0,,3000,920014,14,0,,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,2,rho_2,200,0,,3000,920015,15,0,,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,2,rho_2,200,0,,3000,920016,16,0,,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,2,rho_2,200,0,,3000,920017,17,0,,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,2,rho_2,200,0,,3000,920018,18,0,,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,2,rho_2,200,0,,3000,920019,19,0,,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,2.0,rho_2,200,0.05,0,3000,1100000,0,0,1.6751,final_fine_grid_steps3000_R20_v1
vicsek,2.0,rho_2,200,0.05,0,3000,1100001,1,0,1.6962,final_fine_grid_steps3000_R20_v1
vicsek,2.0,rho_2,200,0.05,0,3000,1100002,2,0,1.6302,final_fine_grid_steps3000_R20_v1
vicsek,2.0,rho_2,200,0.05,0,3000,1100003,3,0,1.5902,final_fine_grid_steps3000_R20_v1
vicsek,2.0,rho_2,200,0.05,0,3000,1100004,4,0,1.6801,final_fine_grid_steps3000_R20_v1
vicsek,2.0,rho_2,200,0.05,0,3000,1100005,5,0,1.7587,final_fine_grid_steps3000_R20_v1
vicsek,2.0,rho_2,200,0.05,0,3000,1100006,6,0,1.6406,final_fine_grid_steps3000_R20_v1
vicsek,2.0,rho_2,200,0.05,0,3000,1100007,7,0,1.6857,final_fine_grid_steps3000_R20_v1
vicsek,2.0,rho_2,200,0.05,0,3000,1100008,8,0,1.5906,final_fine_grid_steps3000_R20_v1
vicsek,2.0,rho_2,200,0.05,0,3000,1100009,9,0,1.7341,final_fine_grid_steps3000_R20_v1
vicsek,2.0,rho_2,200,0.05,0,3000,1100010,10,0,1.6036,final_fine_grid_steps3000_R20_v1
vicsek,2.0,rho_2,200,0.05,0,3000,1100011,11,0,1.715,final_fine_grid_steps3000_R20_v1
vicsek,2.0,rho_2,200,0.05,0,3000,1100012,12,0,1.7245,final_fine_grid_steps3000_R20_v1
vicsek,2.0,rho_2,200,0.05,0,3000,1100013,13,0,1.7271,final_fine_grid_steps3000_R20_v1
vicsek,2.0,rho_2,200,0.05,0,3000,1100014,14,0,1.6686,final_fine_grid_steps3000_R20_v1
vicsek,2.0,rho_2,200,0.05,0,3000,1100015,15,0,1.7614,final_fine_grid_steps3000_R20_v1
vicsek,2.0,rho_2,200,0.05,0,3000,1100016,16,0,1.7501,final_fine_grid_steps3000_R20_v1
vicsek,2.0,rho_2,200,0.05,0,3000,1100017,17,0,1.6568,final_fine_grid_steps3000_R20_v1
vicsek,2.0,rho_2,200,0.05,0,3000,1100018,18,0,1.7131,final_fine_grid_steps3000_R20_v1
vicsek,2.0,rho_2,200,0.05,0,3000,1100019,19,0,1.7122,final_fine_grid_steps3000_R20_v1
vicsek,2.0,rho_2,200,0.1,1,3000,1100100,0,0,1.7794,final_fine_grid_steps3000_R20_v1
vicsek,2.0,rho_2,200,0.1,1,3000,1100101,1,0,1.6831,final_fine_grid_steps3000_R20_v1
vicsek,2.0,rho_2,200,0.1,1,3000,1100102,2,0,1.6934,final_fine_grid_steps3000_R20_v1
vicsek,2.0,rho_2,200,0.1,1,3000,1100103,3,0,1.744,final_fine_grid_steps3000_R20_v1
vicsek,2.0,rho_2,200,0.1,1,3000,1100104,4,0,1.7278,final_fine_grid_steps3000_R20_v1
vicsek,2.0,rho_2,200,0.1,1,3000,1100105,5,0,1.6878,final_fine_grid_steps3000_R20_v1
vicsek,2.0,rho_2,200,0.1,1,3000,1100106,6,0,1.6894,final_fine_grid_steps3000_R20_v1
vicsek,2.0,rho_2,200,0.1,1,3000,1100107,7,0,1.7971,final_fine_grid_steps3000_R20_v1
vicsek,2.0,rho_2,200,0.1,1,3000,1100108,8,0,1.653,final_fine_grid_steps3000_R20_v1
vicsek,2.0,rho_2,200,0.1,1,3000,1100109,9,0,1.6781,final_fine_grid_steps3000_R20_v1
vicsek,2.0,rho_2,200,0.1,1,3000,1100110,10,0,1.7396,final_fine_grid_steps3000_R20_v1
vicsek,2.0,rho_2,200,0.1,1,3000,1100111,11,0,1.8051,final_fine_grid_steps3000_R20_v1
vicsek,2.0,rho_2,200,0.1,1,3000,1100112,12,0,1.8252,final_fine_grid_steps3000_R20_v1
vicsek,2.0,rho_2,200,0.1,1,3000,1100113,13,0,1.6747,final_fine_grid_steps3000_R20_v1
vicsek,2.0,rho_2,200,0.1,1,3000,1100114,14,0,1.8475,final_fine_grid_steps3000_R20_v1
vicsek,2.0,rho_2,200,0.1,1,3000,1100115,15,0,1.6278,final_fine_grid_steps3000_R20_v1
vicsek,2.0,rho_2,200,0.1,1,3000,1100116,16,0,1.5905,final_fine_grid_steps3000_R20_v1
vicsek,2.0,rho_2,200,0.1,1,3000,1100117,17,0,1.7319,final_fine_grid_steps3000_R20_v1
vicsek,2.0,rho_2,200,0.1,1,3000,1100118,18,0,1.8981,final_fine_grid_steps3000_R20_v1
vicsek,2.0,rho_2,200,0.1,1,3000,1100119,19,0,1.9858,final_fine_grid_steps3000_R20_v1
vicsek,2.0,rho_2,200,0.15,2,3000,1100200,0,0,2.1517,final_fine_grid_steps3000_R20_v1
vicsek,2.0,rho_2,200,0.15,2,3000,1100201,1,0,2.0487,final_fine_grid_steps3000_R20_v1
vicsek,2.0,rho_2,200,0.15,2,3000,1100202,2,0,2.1181,final_fine_grid_steps3000_R20_v1
vicsek,2.0,rho_2,200,0.15,2,3000,1100203,3,0,1.993,final_fine_grid_steps3000_R20_v1
vicsek,2.0,rho_2,200,0.15,2,3000,1100204,4,0,2.1821,final_fine_grid_steps3000_R20_v1
vicsek,2.0,rho_2,200,0.15,2,3000,1100205,5,0,2.1287,final_fine_grid_steps3000_R20_v1
vicsek,2.0,rho_2,200,0.15,2,3000,1100206,6,0,2.197,final_fine_grid_steps3000_R20_v1
vicsek,2.0,rho_2,200,0.15,2,3000,1100207,7,0,2.1421,final_fine_grid_steps3000_R20_v1
vicsek,2.0,rho_2,200,0.15,2,3000,1100208,8,0,2.1015,final_fine_grid_steps3000_R20_v1
vicsek,2.0,rho_2,200,0.15,2,3000,1100209,9,0,1.888,final_fine_grid_steps3000_R20_v1
vicsek,2.0,rho_2,200,0.15,2,3000,1100210,10,0,1.9366,final_fine_grid_steps3000_R20_v1
vicsek,2.0,rho_2,200,0.15,2,3000,1100211,11,0,1.8581,final_fine_grid_steps3000_R20_v1
vicsek,2.0,rho_2,200,0.15,2,3000,1100212,12,0,1.7544,final_fine_grid_steps3000_R20_v1
vicsek,2.0,rho_2,200,0.15,2,3000,1100213,13,0,1.7362,final_fine_grid_steps3000_R20_v1
vicsek,2.0,rho_2,200,0.15,2,3000,1100214,14,0,1.8085,final_fine_grid_steps3000_R20_v1
vicsek,2.0,rho_2,200,0.15,2,3000,1100215,15,0,1.7885,final_fine_grid_steps3000_R20_v1
vicsek,2.0,rho_2,200,0.15,2,3000,1100216,16,0,1.7188,final_fine_grid_steps3000_R20_v1
vicsek,2.0,rho_2,200,0.15,2,3000,1100217,17,0,1.8444,final_fine_grid_steps3000_R20_v1
vicsek,2.0,rho_2,200,0.15,2,3000,1100218,18,0,1.7139,final_fine_grid_steps3000_R20_v1
vicsek,2.0,rho_2,200,0.15,2,3000,1100219,19,0,1.7479,final_fine_grid_steps3000_R20_v1
vicsek,2.0,rho_2,200,0.2,3,3000,1100300,0,0,1.9577,final_fine_grid_steps3000_R20_v1
vicsek,2.0,rho_2,200,0.2,3,3000,1100301,1,0,1.7093,final_fine_grid_steps3000_R20_v1
vicsek,2.0,rho_2,200,0.2,3,3000,1100302,2,0,1.979,final_fine_grid_steps3000_R20_v1
vicsek,2.0,rho_2,200,0.2,3,3000,1100303,3,0,1.771,final_fine_grid_steps3000_R20_v1
vicsek,2.0,rho_2,200,0.2,3,3000,1100304,4,0,1.9665,final_fine_grid_steps3000_R20_v1
vicsek,2.0,rho_2,200,0.2,3,3000,1100305,5,0,1.8985,final_fine_grid_steps3000_R20_v1
vicsek,2.0,rho_2,200,0.2,3,3000,1100306,6,0,1.8409,final_fine_grid_steps3000_R20_v1
vicsek,2.0,rho_2,200,0.2,3,3000,1100307,7,0,1.914,final_fine_grid_steps3000_R20_v1
vicsek,2.0,rho_2,200,0.2,3,3000,1100308,8,0,1.7476,final_fine_grid_steps3000_R20_v1
