model,rho_label,eta,realizations,va_mean,va_stdev_between_realizations,va_stderr,S_mean,S_stdev_between_realizations,S_stderr,t_eq_heuristic_estimate
voter,rho_2,0,20,1.0000000000000007,2.724270563873689e-15,6.091654169923251e-16,0.994,0.01781483710429686,0.003983518677329329,950
voter,rho_2,0.5,20,0.39161375938214665,0.03349751460471216,0.007490271973342838,0.9634855096602266,0.018792468636874782,0.004202123733708482,sin_evidencia
voter,rho_2,1,20,0.2069782592373543,0.014328658931582618,0.003203985539742824,0.9408419387075282,0.03893978561662822,0.008707200766804925,2900
voter,rho_2,2,20,0.11078069873098302,0.003172708700509277,0.0007094392327143765,0.9604350433044637,0.03301758228926126,0.0073829558451481295,1800
voter,rho_2,3,20,0.08179417799738464,0.002477976478364857,0.0005540923852269357,0.9852663224516988,0.008521862331243614,0.001905546346755555,0
voter,rho_2,4,20,0.0698948161988308,0.0009881132904695834,0.00022094884869609834,0.9875308127914723,0.007281467238175192,0.001628185572049738,0
voter,rho_2,5,20,0.06453985409054634,0.0009177225633090825,0.00020520900360444626,0.9896652231845436,0.006008992741008285,0.0013436516245197312,0
voter,rho_2,6,20,0.06248875001615005,0.0006800660632926875,0.00015206739467131237,0.9940697868087941,0.00283840852610901,0.0006346874412294732,0
voter,rho_4,0,20,0.9993347849583246,0.0029749321056823917,0.0006652150416752416,0.99975,0.0011180339887499207,0.00025000000000000575,1100
voter,rho_4,0.5,20,0.30020927019798016,0.01844437197841118,0.004124286954601968,0.9964099766822118,0.0033302733731513908,0.0007446717646024032,2950
voter,rho_4,1,20,0.15297408515589098,0.009669949158352209,0.0021622663657042416,0.9983873251165889,0.0012241660320389505,0.0002737318463385279,2600
voter,rho_4,2,20,0.08068351058257985,0.0029345153300994863,0.0006561775759117686,0.9996971185876082,0.00046224364437330383,0.00010336082109859455,50
voter,rho_4,3,20,0.05849812594022955,0.001060377906130489,0.0002371077079946664,0.9999068954030645,0.0002892060990869945,6.466844970660595e-05,0
voter,rho_4,4,20,0.049348557235935196,0.0007735119758152906,0.0001729625359333163,0.9999633577614924,6.222327979641174e-05,1.391354834077659e-05,0
voter,rho_4,5,20,0.04556054299701086,0.000631709345245842,0.00014125450379915864,0.999987674883411,3.4691245884629556e-05,7.75719840221915e-06,0
voter,rho_4,6,20,0.04452519641341203,0.0004123889951603925,9.221298263514693e-05,0.999999167221852,2.6747337393342545e-06,5.980886462863595e-07,0
voter,rho_8,0,20,0.9837866266024478,0.0422525864003573,0.009447965541638206,0.999617838107928,0.0011097068319192397,0.0002481379911267353,1850
voter,rho_8,0.5,20,0.23420671310023825,0.0316792653021821,0.007083699069292958,0.9997924300466355,0.00022584106100636135,5.04995964520901e-05,2900
voter,rho_8,1,20,0.11010721323569514,0.004826251854553358,0.0010791827223315736,0.9998263241172551,0.00044572739953992755,9.966767648054864e-05,50
voter,rho_8,2,20,0.05786714543711059,0.002234415931020564,0.0004996305911770462,0.9999985426382411,5.210339347440591e-06,1.1650672966719057e-06,0
voter,rho_8,3,20,0.04137607832709607,0.0008540967159564171,0.0001909818316237878,1.0,0.0,0.0,0
voter,rho_8,4,20,0.035041910423864606,0.0006946816600732653,0.00015533554146462226,1.0,0.0,0.0,0
voter,rho_8,5,20,0.03245194734921744,0.0005454597336183943,0.0001219685043359657,1.0,0.0,0.0,0
voter,rho_8,6,20,0.03143196509169636,0.0004238465002969611,9.477495866893898e-05,1.0,0.0,0.0,0
