model,rho_label,rho_nominal,N,eta,base_seed,realization,steps,va_t0,S_t0,t_window_start,va_window_mean,va_window_stdev,S_window_mean,S_window_stdev
voter,rho_2,2,200,0,1400000,0,3000,0.00508144183702793,1.0,1500,1.0000000000000038,0.0,1.0,0.0
voter,rho_2,2,200,0,1400001,1,3000,0.11641879001696857,0.995,1500,0.9999999999999994,0.0,1.0,0.0
voter,rho_2,2,200,0,1400002,2,3000,0.055390161646083985,0.995,1500,1.0000000000000013,0.0,1.0,0.0
voter,rho_2,2,200,0,1400003,3,3000,0.06247785222153271,1.0,1500,1.0000000000000038,0.0,1.0,0.0
voter,rho_2,2,200,0,1400004,4,3000,0.06938674708617577,1.0,1500,1.0000000000000018,0.0,1.0,0.0
voter,rho_2,2,200,0,1400005,5,3000,0.0559293547378096,1.0,1500,1.000000000000003,0.0,1.0,0.0
voter,rho_2,2,200,0,1400006,6,3000,0.037466724851193504,0.995,1500,0.9999999999999963,0.0,1.0,0.0
voter,rho_2,2,200,0,1400007,7,3000,0.12387249374918223,0.985,1500,0.9999999999999953,0.0,1.0,0.0
voter,rho_2,2,200,0,1400008,8,3000,0.07991824093512911,1.0,1500,1.0000000000000038,0.0,1.0,0.0
voter,rho_2,2,200,0,1400009,9,3000,0.06962001979783057,0.985,1500,1.0000000000000022,0.0,0.9249999999999999,0.0
voter,rho_2,2,200,0,1400010,10,3000,0.05922433473150994,1.0,1500,1.0000000000000022,0.0,1.0,0.0
voter,rho_2,2,200,0,1400011,11,3000,0.056382351028719156,1.0,1500,1.000000000000004,0.0,1.0,0.0
voter,rho_2,2,200,0,1400012,12,3000,0.02002690019116591,1.0,1500,0.9999999999999966,0.0,1.0,0.0
voter,rho_2,2,200,0,1400013,13,3000,0.184234608187258,1.0,1500,1.000000000000002,0.0,1.0,0.0
voter,rho_2,2,200,0,1400014,14,3000,0.11455391621093973,1.0,1500,0.9999999999999994,0.0,1.0,0.0
voter,rho_2,2,200,0,1400015,15,3000,0.02403566345171827,0.965,1500,0.9999999999999978,0.0,0.985,0.0
voter,rho_2,2,200,0,1400016,16,3000,0.0627586210637223,1.0,1500,0.9999999999999991,0.0,0.97,0.0
voter,rho_2,2,200,0,1400017,17,3000,0.1082367437827414,0.99,1500,1.000000000000003,0.0,1.0,0.0
voter,rho_2,2,200,0,1400018,18,3000,0.046484283677317245,1.0,1500,0.9999999999999994,0.0,1.0,0.0
voter,rho_2,2,200,0,1400019,19,3000,0.035314412772767104,0.995,1500,0.9999999999999994,0.0,1.0,0.0
voter,rho_2,2,200,0.5,1400100,0,3000,0.04651534121025408,0.995,1500,0.3937151788271106,0.17671741624235726,0.9752964690206529,0.0476408327826567
voter,rho_2,2,200,0.5,1400101,1,3000,0.0477140631798469,1.0,1500,0.3448890866005504,0.16227579542694598,0.9335009993337774,0.11474511117534189
voter,rho_2,2,200,0.5,1400102,2,3000,0.06976055337288721,1.0,1500,0.42979161422816226,0.18178379867193883,0.9681179213857428,0.08186210651020587
voter,rho_2,2,200,0.5,1400103,3,3000,0.08229696727529831,0.985,1500,0.3839468703451816,0.17505485073219593,0.9146802131912058,0.11382951972949118
voter,rho_2,2,200,0.5,1400104,4,3000,0.08762185241951953,0.995,1500,0.4465637516941289,0.19675605339070668,0.9571718854097268,0.06801883607503287
voter,rho_2,2,200,0.5,1400105,5,3000,0.08165686962830508,1.0,1500,0.39307755559912666,0.1658720025910803,0.9786009327115256,0.045010265752537616
voter,rho_2,2,200,0.5,1400106,6,3000,0.04219615630577403,1.0,1500,0.3637125137410533,0.179110938351509,0.9676115922718188,0.047500570200963925
voter,rho_2,2,200,0.5,1400107,7,3000,0.08024569500133039,0.995,1500,0.3664050563942738,0.17774334881326662,0.9734710193204531,0.05951679729387505
voter,rho_2,2,200,0.5,1400108,8,3000,0.06291307889749287,1.0,1500,0.42893762936338214,0.1455371983356366,0.933184543637575,0.11658940715620025
voter,rho_2,2,200,0.5,1400109,9,3000,0.026595504752300055,1.0,1500,0.4164330682856411,0.15648840967976166,0.9578847435043305,0.08896738677634046
voter,rho_2,2,200,0.5,1400110,10,3000,0.0851834876869081,1.0,1500,0.37289396459116964,0.16685152512508705,0.9819120586275816,0.04860349844526093
voter,rho_2,2,200,0.5,1400111,11,3000,0.11450508740135575,0.99,1500,0.4486945850795717,0.16785468725312647,0.9707994670219854,0.07316323202744629
voter,rho_2,2,200,0.5,1400112,12,3000,0.012410088130698294,0.995,1500,0.417724305948507,0.1966712200623118,0.9647335109926716,0.07113336511447849
voter,rho_2,2,200,0.5,1400113,13,3000,0.02338882698072921,1.0,1500,0.42456791729528764,0.17695172266246023,0.9537708194536975,0.059497715271370204
voter,rho_2,2,200,0.5,1400114,14,3000,0.043623024816971084,0.975,1500,0.36713221439427274,0.19555857694275722,0.9613024650233177,0.059317002475943785
voter,rho_2,2,200,0.5,1400115,15,3000,0.08347097034485972,1.0,1500,0.34477126469793073,0.16379386234494472,0.993624250499667,0.01579946105224839
voter,rho_2,2,200,0.5,1400116,16,3000,0.04661722350624735,0.99,1500,0.35456138193420667,0.13762648345325462,0.9573017988007996,0.09539993409403066
voter,rho_2,2,200,0.5,1400117,17,3000,0.08995707772822209,1.0,1500,0.39676502122673796,0.15871389666351468,0.9697734843437708,0.05373010367032903
voter,rho_2,2,200,0.5,1400118,18,3000,0.07819486762930034,1.0,1500,0.3520402547947979,0.1641506808315524,0.9771585609593604,0.046956017682473004
voter,rho_2,2,200,0.5,1400119,19,3000,0.019896094484453307,0.99,1500,0.3856519526018405,0.17008823095209033,0.9798134576948702,0.049787341020441994
voter,rho_2,2,200,1,1400200,0,3000,0.04820795331126946,1.0,1500,0.21426646754390127,0.09693177586598505,0.9723351099267155,0.03973295636190528
voter,rho_2,2,200,1,1400201,1,3000,0.04423505328129135,1.0,1500,0.208549577414009,0.10130040392746448,0.8354663557628248,0.1945047410847382
voter,rho_2,2,200,1,1400202,2,3000,0.14162933098279665,1.0,1500,0.22294612588436355,0.1049067726353349,0.9522951365756163,0.07046891695984127
voter,rho_2,2,200,1,1400203,3,3000,0.006162657584081252,1.0,1500,0.2169420477892467,0.10422297931064484,0.9203031312458361,0.07957911886554048
voter,rho_2,2,200,1,1400204,4,3000,0.017456863463708016,1.0,1500,0.19738733012241805,0.10176234296977524,0.8843471019320452,0.1633766980823094
