model,rho_nominal,rho_label,rho_effective,N,eta,eta_index,steps,base_seed,realization,returncode,elapsed_s,output_path
voter,2.0,rho_2,2.0,200,0.0,0,3000,1400000,0,0,1.6004,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_0/steps_3000/realization_000_seed_1400000
voter,2.0,rho_2,2.0,200,0.0,0,3000,1400001,1,0,1.6176,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_0/steps_3000/realization_001_seed_1400001
voter,2.0,rho_2,2.0,200,0.0,0,3000,1400002,2,0,1.5603,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_0/steps_3000/realization_002_seed_1400002
voter,2.0,rho_2,2.0,200,0.0,0,3000,1400003,3,0,1.571,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_0/steps_3000/realization_003_seed_1400003
voter,2.0,rho_2,2.0,200,0.0,0,3000,1400004,4,0,1.6539,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_0/steps_3000/realization_004_seed_1400004
voter,2.0,rho_2,2.0,200,0.0,0,3000,1400005,5,0,1.6842,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_0/steps_3000/realization_005_seed_1400005
voter,2.0,rho_2,2.0,200,0.0,0,3000,1400006,6,0,1.5757,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_0/steps_3000/realization_006_seed_1400006
voter,2.0,rho_2,2.0,200,0.0,0,3000,1400007,7,0,1.8124,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_0/steps_3000/realization_007_seed_1400007
voter,2.0,rho_2,2.0,200,0.0,0,3000,1400008,8,0,1.7394,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_0/steps_3000/realization_008_seed_1400008
voter,2.0,rho_2,2.0,200,0.0,0,3000,1400009,9,0,1.6352,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_0/steps_3000/realization_009_seed_1400009
voter,2.0,rho_2,2.0,200,0.0,0,3000,1400010,10,0,1.6588,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_0/steps_3000/realization_010_seed_1400010
voter,2.0,rho_2,2.0,200,0.0,0,3000,1400011,11,0,1.5804,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_0/steps_3000/realization_011_seed_1400011
voter,2.0,rho_2,2.0,200,0.0,0,3000,1400012,12,0,1.7359,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_0/steps_3000/realization_012_seed_1400012
voter,2.0,rho_2,2.0,200,0.0,0,3000,1400013,13,0,1.5788,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_0/steps_3000/realization_013_seed_1400013
voter,2.0,rho_2,2.0,200,0.0,0,3000,1400014,14,0,1.6624,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_0/steps_3000/realization_014_seed_1400014
voter,2.0,rho_2,2.0,200,0.0,0,3000,1400015,15,0,1.6314,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_0/steps_3000/realization_015_seed_1400015
voter,2.0,rho_2,2.0,200,0.0,0,3000,1400016,16,0,1.6254,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_0/steps_3000/realization_016_seed_1400016
voter,2.0,rho_2,2.0,200,0.0,0,3000,1400017,17,0,1.5963,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_0/steps_3000/realization_017_seed_1400017
voter,2.0,rho_2,2.0,200,0.0,0,3000,1400018,18,0,1.5999,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_0/steps_3000/realization_018_seed_1400018
voter,2.0,rho_2,2.0,200,0.0,0,3000,1400019,19,0,1.7098,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_0/steps_3000/realization_019_seed_1400019
voter,2.0,rho_2,2.0,200,0.5,1,3000,1400100,0,0,1.9135,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_0p5/steps_3000/realization_000_seed_1400100
voter,2.0,rho_2,2.0,200,0.5,1,3000,1400101,1,0,1.7741,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_0p5/steps_3000/realization_001_seed_1400101
voter,2.0,rho_2,2.0,200,0.5,1,3000,1400102,2,0,1.8271,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_0p5/steps_3000/realization_002_seed_1400102
voter,2.0,rho_2,2.0,200,0.5,1,3000,1400103,3,0,1.8021,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_0p5/steps_3000/realization_003_seed_1400103
voter,2.0,rho_2,2.0,200,0.5,1,3000,1400104,4,0,1.6909,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_0p5/steps_3000/realization_004_seed_1400104
voter,2.0,rho_2,2.0,200,0.5,1,3000,1400105,5,0,1.7638,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_0p5/steps_3000/realization_005_seed_1400105
voter,2.0,rho_2,2.0,200,0.5,1,3000,1400106,6,0,1.718,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_0p5/steps_3000/realization_006_seed_1400106
voter,2.0,rho_2,2.0,200,0.5,1,3000,1400107,7,0,1.7226,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_0p5/steps_3000/realization_007_seed_1400107
voter,2.0,rho_2,2.0,200,0.5,1,3000,1400108,8,0,1.7429,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_0p5/steps_3000/realization_008_seed_1400108
voter,2.0,rho_2,2.0,200,0.5,1,3000,1400109,9,0,1.763,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_0p5/steps_3000/realization_009_seed_1400109
voter,2.0,rho_2,2.0,200,0.5,1,3000,1400110,10,0,1.7694,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_0p5/steps_3000/realization_010_seed_1400110
voter,2.0,rho_2,2.0,200,0.5,1,3000,1400111,11,0,1.9239,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_0p5/steps_3000/realization_011_seed_1400111
voter,2.0,rho_2,2.0,200,0.5,1,3000,1400112,12,0,1.81,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_0p5/steps_3000/realization_012_seed_1400112
voter,2.0,rho_2,2.0,200,0.5,1,3000,1400113,13,0,1.8315,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_0p5/steps_3000/realization_013_seed_1400113
voter,2.0,rho_2,2.0,200,0.5,1,3000,1400114,14,0,1.769,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_0p5/steps_3000/realization_014_seed_1400114
voter,2.0,rho_2,2.0,200,0.5,1,3000,1400115,15,0,1.7962,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_0p5/steps_3000/realization_015_seed_1400115
voter,2.0,rho_2,2.0,200,0.5,1,3000,1400116,16,0,1.8602,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_0p5/steps_3000/realization_016_seed_1400116
voter,2.0,rho_2,2.0,200,0.5,1,3000,1400117,17,0,1.8704,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_0p5/steps_3000/realization_017_seed_1400117
