model,rho_label,eta,t,realizations,va_mean,va_stdev,va_stderr,S_mean,S_stdev,S_stderr
voter,rho_2,0,0,20,0.06934068309883964,0.04129451683354052,0.009233734673780596,0.9952500000000001,0.00843726851534311,0.001886630594472592
voter,rho_2,0,50,20,0.3178178465779977,0.1557953253059689,0.03483689379608397,0.9964999999999999,0.010259142264341605,0.0022940139493908946
voter,rho_2,0,100,20,0.4285801636802461,0.21247114927895175,0.04750999330452415,0.9880000000000001,0.030265491900843117,0.006767569726275453
voter,rho_2,0,150,20,0.5604477313770094,0.27429755837241304,0.06133479865829321,0.9904999999999999,0.02616772821625905,0.005851281910829455
voter,rho_2,0,200,20,0.6453164101941018,0.24418496692362163,0.05460141851247556,0.9977499999999999,0.0060156047077579876,0.0013451301052314615
voter,rho_2,0,250,20,0.7502713356855105,0.22590708981234947,0.05051436094195636,0.99175,0.027625848403261755,0.00617732749657973
voter,rho_2,0,300,20,0.7632399016888416,0.20650232521915451,0.04617532367017986,0.9945,0.014739402972983666,0.003295830699535397
voter,rho_2,0,350,20,0.8254543913775334,0.2157657292172261,0.048246683774453,0.98675,0.02020365066021485,0.004517673626989891
voter,rho_2,0,400,20,0.8411127505384849,0.2438126534627298,0.05451816669172633,0.991,0.019659603251337497,0.004396020928066653
voter,rho_2,0,450,20,0.8367543658780736,0.2752217235772345,0.061541448280335295,0.991,0.019659603251337497,0.004396020928066653
voter,rho_2,0,500,20,0.9024447087984109,0.18368242510204627,0.04107263888001892,0.99025,0.01958794271994892,0.004379997146117791
voter,rho_2,0,550,20,0.9134620930199777,0.20994929851318542,0.04694609033038781,0.9845,0.031855140872392954,0.00712302604235026
voter,rho_2,0,600,20,0.9548401516814009,0.13637778488114244,0.030494999761507754,0.99075,0.01970247446388397,0.004405607222619828
voter,rho_2,0,650,20,0.9724217375558426,0.07605135683537817,0.017005600366499885,0.9925,0.01742842505793337,0.0038971143170299727
voter,rho_2,0,700,20,0.9532342344100748,0.15503081086400852,0.03466594316988359,0.99325,0.01741228014936584,0.003893504205725221
voter,rho_2,0,750,20,0.9619948991079458,0.1605102346359201,0.03589117957303585,0.99275,0.017354754391808596,0.003880641055289704
voter,rho_2,0,800,20,0.9699362656801753,0.12129848955412523,0.027123166821107214,0.99325,0.01741228014936584,0.003893504205725221
voter,rho_2,0,850,20,0.9597734875829268,0.1607027340329884,0.035934223746783095,0.99325,0.01741228014936584,0.003893504205725221
voter,rho_2,0,900,20,0.9605219702454868,0.15883203471874355,0.035515922663571724,0.99225,0.018403464347779737,0.004115139730312932
voter,rho_2,0,950,20,0.9793121410475709,0.08135851714720807,0.01819231748897395,0.9914999999999999,0.018377975949489103,0.004109440351191387
voter,rho_2,0,1000,20,0.9997297586365838,0.0011779547935001637,0.00026339869926880933,0.994,0.017363755354185332,0.0038826537316634336
voter,rho_2,0,1050,20,1.0000000000000007,2.65529049256936e-15,5.937410041393989e-16,0.994,0.017363755354185332,0.0038826537316634336
voter,rho_2,0,1100,20,1.0000000000000007,2.65529049256936e-15,5.937410041393989e-16,0.994,0.017363755354185332,0.0038826537316634336
voter,rho_2,0,1150,20,1.0000000000000007,2.65529049256936e-15,5.937410041393989e-16,0.994,0.017363755354185332,0.0038826537316634336
voter,rho_2,0,1200,20,1.0000000000000007,2.65529049256936e-15,5.937410041393989e-16,0.994,0.017363755354185332,0.0038826537316634336
voter,rho_2,0,1250,20,1.0000000000000007,2.65529049256936e-15,5.937410041393989e-16,0.994,0.017363755354185332,0.0038826537316634336
voter,rho_2,0,1300,20,1.0000000000000007,2.65529049256936e-15,5.937410041393989e-16,0.994,0.017363755354185332,0.0038826537316634336
voter,rho_2,0,1350,20,1.0000000000000007,2.65529049256936e-15,5.937410041393989e-16,0.994,0.017363755354185332,0.0038826537316634336
voter,rho_2,0,1400,20,1.0000000000000007,2.65529049256936e-15,5.937410041393989e-16,0.994,0.017363755354185332,0.0038826537316634336
voter,rho_2,0,1450,20,1.0000000000000007,2.65529049256936e-15,5.937410041393989e-16,0.994,0.017363755354185332,0.0038826537316634336
voter,rho_2,0,1500,20,1.0000000000000007,2.65529049256936e-15,5.937410041393989e-16,0.994,0.017363755354185332,0.0038826537316634336
voter,rho_2,0,1550,20,1.0000000000000007,2.65529049256936e-15,5.937410041393989e-16,0.994,0.017363755354185332,0.0038826537316634336
voter,rho_2,0,1600,20,1.0000000000000007,2.65529049256936e-15,5.937410041393989e-16,0.994,0.017363755354185332,0.0038826537316634336
voter,rho_2,0,1650,20,1.0000000000000007,2.65529049256936e-15,5.937410041393989e-16,0.994,0.017363755354185332,0.0038826537316634336
voter,rho_2,0,1700,20,1.0000000000000007,2.65529049256936e-15,5.937410041393989e-16,0.994,0.017363755354185332,0.0038826537316634336
voter,rho_2,0,1750,20,1.0000000000000007,2.65529049256936e-15,5.937410041393989e-16,0.994,0.017363755354185332,0.0038826537316634336
voter,rho_2,0,1800,20,1.0000000000000007,2.65529049256936e-15,5.937410041393989e-16,0.994,0.017363755354185332,0.0038826537316634336
voter,rho_2,0,1850,20,1.0000000000000007,2.65529049256936e-15,5.937410041393989e-16,0.994,0.017363755354185332,0.0038826537316634336
voter,rho_2,0,1900,20,1.0000000000000007,2.65529049256936e-15,5.937410041393989e-16,0.994,0.017363755354185332,0.0038826537316634336
voter,rho_2,0,1950,20,1.0000000000000007,2.65529049256936e-15,5.937410041393989e-16,0.994,0.017363755354185332,0.0038826537316634336
voter,rho_2,0,2000,20,1.0000000000000007,2.65529049256936e-15,5.937410041393989e-16,0.994,0.017363755354185332,0.0038826537316634336
voter,rho_2,0,2050,20,1.0000000000000007,2.65529049256936e-15,5.937410041393989e-16,0.994,0.017363755354185332,0.0038826537316634336
voter,rho_2,0,2100,20,1.0000000000000007,2.65529049256936e-15,5.937410041393989e-16,0.994,0.017363755354185332,0.0038826537316634336
voter,rho_2,0,2150,20,1.0000000000000007,2.65529049256936e-15,5.937410041393989e-16,0.994,0.017363755354185332,0.0038826537316634336
voter,rho_2,0,2200,20,1.0000000000000007,2.65529049256936e-15,5.937410041393989e-16,0.994,0.017363755354185332,0.0038826537316634336
voter,rho_2,0,2250,20,1.0000000000000007,2.65529049256936e-15,5.937410041393989e-16,0.994,0.017363755354185332,0.0038826537316634336
voter,rho_2,0,2300,20,1.0000000000000007,2.65529049256936e-15,5.937410041393989e-16,0.994,0.017363755354185332,0.0038826537316634336
voter,rho_2,0,2350,20,1.0000000000000007,2.65529049256936e-15,5.937410041393989e-16,0.994,0.017363755354185332,0.0038826537316634336
voter,rho_2,0,2400,20,1.0000000000000007,2.65529049256936e-15,5.937410041393989e-16,0.994,0.017363755354185332,0.0038826537316634336
voter,rho_2,0,2450,20,1.0000000000000007,2.65529049256936e-15,5.937410041393989e-16,0.994,0.017363755354185332,0.0038826537316634336
voter,rho_2,0,2500,20,1.0000000000000007,2.65529049256936e-15,5.937410041393989e-16,0.994,0.017363755354185332,0.0038826537316634336
voter,rho_2,0,2550,20,1.0000000000000007,2.65529049256936e-15,5.937410041393989e-16,0.994,0.017363755354185332,0.0038826537316634336
voter,rho_2,0,2600,20,1.0000000000000007,2.65529049256936e-15,5.937410041393989e-16,0.994,0.017363755354185332,0.0038826537316634336
voter,rho_2,0,2650,20,1.0000000000000007,2.65529049256936e-15,5.937410041393989e-16,0.994,0.017363755354185332,0.0038826537316634336
voter,rho_2,0,2700,20,1.0000000000000007,2.65529049256936e-15,5.937410041393989e-16,0.994,0.017363755354185332,0.0038826537316634336
voter,rho_2,0,2750,20,1.0000000000000007,2.65529049256936e-15,5.937410041393989e-16,0.994,0.017363755354185332,0.0038826537316634336
voter,rho_2,0,2800,20,1.0000000000000007,2.65529049256936e-15,5.937410041393989e-16,0.994,0.017363755354185332,0.0038826537316634336
voter,rho_2,0,2850,20,1.0000000000000007,2.65529049256936e-15,5.937410041393989e-16,0.994,0.017363755354185332,0.0038826537316634336
voter,rho_2,0,2900,20,1.0000000000000007,2.65529049256936e-15,5.937410041393989e-16,0.994,0.017363755354185332,0.0038826537316634336
voter,rho_2,0,2950,20,1.0000000000000007,2.65529049256936e-15,5.937410041393989e-16,0.994,0.017363755354185332,0.0038826537316634336
voter,rho_2,0,3000,20,1.0000000000000007,2.65529049256936e-15,5.937410041393989e-16,0.994,0.017363755354185332,0.0038826537316634336
voter,rho_2,0.5,0,20,0.06123814153763768,0.02740704776090987,0.006128402185597787,0.9955,0.006500000000000006,0.0014534441853748645
voter,rho_2,0.5,50,20,0.3076346914965945,0.16452153797536678,0.036788134267573325,0.9964999999999999,0.013143439428094927,0.0029389624019371214
voter,rho_2,0.5,100,20,0.29238138816949916,0.141957460953171,0.03174265326045624,0.99025,0.018471261462065874,0.0041302996259351445
voter,rho_2,0.5,150,20,0.3134767188021272,0.15728119325170234,0.03516914396930876,0.992,0.013546217184144078,0.0030290262461721944
voter,rho_2,0.5,200,20,0.33571752649414216,0.13442855641201576,0.030059139025443243,0.99075,0.01769710428290459,0.003957192818147733
voter,rho_2,0.5,250,20,0.32045084332925,0.1889974405310997,0.04226111246010129,0.9869999999999999,0.024155744658362326,0.0054013887103225595
voter,rho_2,0.5,300,20,0.33691327473899924,0.1685206077570106,0.03768235345542541,0.9925,0.014958275301651582,0.003344772040064911
voter,rho_2,0.5,350,20,0.3518126945922761,0.1557808422457267,0.03483365528536159,0.9894999999999999,0.016039014932345455,0.0035864327680858628
voter,rho_2,0.5,400,20,0.37623109707794045,0.19418125427271857,0.04342024845099702,0.9882500000000001,0.01719556628901766,0.003845045513384728
voter,rho_2,0.5,450,20,0.35061594290220754,0.14340061831658854,0.03206535305713934,0.9904999999999999,0.017385338650713726,0.0038874799034850365
voter,rho_2,0.5,500,20,0.3256033659406149,0.13091271390751602,0.029272972741618792,0.97525,0.04879741284125626,0.010911433223917013
voter,rho_2,0.5,550,20,0.3485154291815137,0.2066200104034182,0.04620163887737568,0.98425,0.03001145614594533,0.00671076560460876
voter,rho_2,0.5,600,20,0.3482544240561957,0.15737775047127794,0.035190734819977705,0.9765,0.0359548327766936,0.008039745020832439
voter,rho_2,0.5,650,20,0.39319363986586015,0.15597597444373715,0.03487728817129662,0.9695,0.06168265558485627,0.013792661092044566
voter,rho_2,0.5,700,20,0.3677024297808183,0.18683837182863594,0.041778330021421166,0.97425,0.059440621632011886,0.013291327059402306
voter,rho_2,0.5,750,20,0.3414808289110984,0.12963589834562345,0.028987468102506655,0.9592499999999999,0.08501874793244134,0.01901076997388585
voter,rho_2,0.5,800,20,0.36487804369436083,0.1586335955708125,0.03547155032115463,0.94525,0.07474080210969106,0.01671255142101289
voter,rho_2,0.5,850,20,0.3593621322239233,0.15407313102893225,0.03445179944869246,0.95225,0.10177763752416344,0.022758171609336283
voter,rho_2,0.5,900,20,0.28584427396745943,0.14533785958742446,0.03249853337418006,0.97075,0.0651013632729761,0.014557107370628274
voter,rho_2,0.5,950,20,0.34625800437712845,0.1736665743114174,0.038833026557984804,0.95275,0.1193050187544514,0.026677413199184062
voter,rho_2,0.5,1000,20,0.3460916909884584,0.1164866586188606,0.026047208714358405,0.9004999999999999,0.1640266746599467,0.0366774794662883
voter,rho_2,0.5,1050,20,0.3535833057057473,0.17398480101201674,0.03890418421146436,0.9734999999999999,0.033432768356808265,0.007475794272182722
voter,rho_2,0.5,1100,20,0.3863120208342461,0.15780366522977637,0.035285972255239995,0.95175,0.08634632302536108,0.019307624789186267
voter,rho_2,0.5,1150,20,0.3680417529028945,0.17427419655369383,0.038968895021821895,0.8959999999999999,0.16913456181395925,0.0378196377560653
voter,rho_2,0.5,1200,20,0.368873766459252,0.11870587598611802,0.026543440803361976,0.95625,0.10640576817071526,0.023793053082780277
voter,rho_2,0.5,1250,20,0.4165647803412574,0.1487625264456656,0.03326431216371184,0.9385,0.10254389304098026,0.022929511551709948
voter,rho_2,0.5,1300,20,0.40525839457042584,0.14829847926924897,0.0331605480605884,0.9397499999999999,0.10976651356401915,0.024544538598229953
voter,rho_2,0.5,1350,20,0.39785266096208616,0.16498392443567486,0.03689152702328576,0.9504999999999999,0.06599052962357553,0.01475593101095285
voter,rho_2,0.5,1400,20,0.4188300586608138,0.1347433597659295,0.030129531195332848,0.96125,0.0708673937717481,0.015846430986187394
voter,rho_2,0.5,1450,20,0.39750180559743037,0.1775930638430338,0.03971101630854836,0.95425,0.078649141762641,0.01758648273532829
voter,rho_2,0.5,1500,20,0.4040851247706116,0.17413681994618907,0.038938176678532,0.97625,0.05417275606797202,0.012113396509649965
voter,rho_2,0.5,1550,20,0.4285379021133652,0.14319117692709138,0.03201852053871757,0.968,0.050433124035697004,0.011277189366149703
voter,rho_2,0.5,1600,20,0.34884456059119295,0.17768491733581898,0.039731555373932206,0.952,0.067331270595467,0.015055729806289693
voter,rho_2,0.5,1650,20,0.4118351248195056,0.20886602765725054,0.04670386360319633,0.9730000000000001,0.07157862809526318,0.016005467815718474
voter,rho_2,0.5,1700,20,0.41323760859912956,0.17956579820191032,0.0401521331213481,0.9935,0.01061838029079766,0.0023743420141167553
voter,rho_2,0.5,1750,20,0.37248328492551314,0.17901343220558347,0.04002862032972347,0.95275,0.1061187424539134,0.02372887218137432
