model,rho_label,eta,realizations,va_mean,va_stdev_between_realizations,va_stderr,S_mean,S_stdev_between_realizations,S_stderr,t_eq_heuristic_estimate,source_run
voter,rho_2,0,20,1.0000000000000007,2.724270563873689e-15,6.091654169923251e-16,0.994,0.01781483710429686,0.003983518677329329,950,final_voter_base_coarse_v1
voter,rho_2,0.050000000000000003,20,0.9759282832339267,0.010310391547711538,0.0023054736375322264,0.9894160559626914,0.013443388308573966,0.0030060330105897305,1050,final_fine_grid_steps3000_R20_v1
voter,rho_2,0.10000000000000001,20,0.9148475267944776,0.019642994942794624,0.004392307197377337,0.9877554963357762,0.012217180552158577,0.0027318446208014994,sin_evidencia,final_fine_grid_steps3000_R20_v1
voter,rho_2,0.14999999999999999,20,0.8308793425986755,0.06735174140168516,0.015060307217715499,0.9708685876082612,0.0327780872670226,0.007329403130148284,3000,final_fine_grid_steps3000_R20_v1
voter,rho_2,0.20000000000000001,20,0.7317845600779859,0.06799957438627337,0.015205167076876079,0.967871419053964,0.02015815410434725,0.0045075002878236835,sin_evidencia,final_fine_grid_steps3000_R20_v1
voter,rho_2,0.29999999999999999,20,0.57366092494053,0.06246205485698366,0.013966940067453637,0.9672723184543637,0.01714048849836442,0.003832729744989614,sin_evidencia,final_fine_grid_steps3000_R20_v1
voter,rho_2,0.40000000000000002,20,0.46247813664180343,0.04764907077909819,0.010654656132676242,0.9546482345103264,0.02344967369787101,0.005243506443862844,sin_evidencia,final_fine_grid_steps3000_R20_v1
voter,rho_2,0.5,20,0.39161375938214665,0.03349751460471216,0.007490271973342838,0.9634855096602266,0.018792468636874782,0.004202123733708482,sin_evidencia,final_voter_base_coarse_v1
voter,rho_2,1,20,0.2069782592373543,0.014328658931582618,0.003203985539742824,0.9408419387075282,0.03893978561662822,0.008707200766804925,2900,final_voter_base_coarse_v1
voter,rho_2,2,20,0.11078069873098302,0.003172708700509277,0.0007094392327143765,0.9604350433044637,0.03301758228926126,0.0073829558451481295,1800,final_voter_base_coarse_v1
voter,rho_2,3,20,0.08179417799738464,0.002477976478364857,0.0005540923852269357,0.9852663224516988,0.008521862331243614,0.001905546346755555,0,final_voter_base_coarse_v1
voter,rho_2,4,20,0.0698948161988308,0.0009881132904695834,0.00022094884869609834,0.9875308127914723,0.007281467238175192,0.001628185572049738,0,final_voter_base_coarse_v1
voter,rho_2,5,20,0.06453985409054634,0.0009177225633090825,0.00020520900360444626,0.9896652231845436,0.006008992741008285,0.0013436516245197312,0,final_voter_base_coarse_v1
voter,rho_2,6,20,0.06248875001615005,0.0006800660632926875,0.00015206739467131237,0.9940697868087941,0.00283840852610901,0.0006346874412294732,0,final_voter_base_coarse_v1
voter,rho_4,0,20,0.9993347849583246,0.0029749321056823917,0.0006652150416752416,0.99975,0.0011180339887499207,0.00025000000000000575,1100,final_voter_base_coarse_v1
voter,rho_4,0.050000000000000003,20,0.9623167467511834,0.013893156751783793,0.0031066042919048733,0.9997788974017322,0.00048754055787939,0.00010901738292064867,1250,final_fine_grid_steps3000_R20_v1
voter,rho_4,0.10000000000000001,20,0.8505389350383297,0.051742802920110915,0.011570042467574261,0.9976334110592939,0.0032252496116620755,0.0007211877376081199,2550,final_fine_grid_steps3000_R20_v1
voter,rho_4,0.14999999999999999,20,0.7753031768654604,0.07927767502627123,0.017727027045687987,0.9961611425716189,0.0033314072625987103,0.0007449253099907208,2550,final_fine_grid_steps3000_R20_v1
voter,rho_4,0.20000000000000001,20,0.616179491098622,0.09866987437989054,0.022063254644480015,0.9971709693537643,0.002097344117122476,0.00046898040180951364,2750,final_fine_grid_steps3000_R20_v1
voter,rho_4,0.29999999999999999,20,0.47212115048992553,0.05724943692767988,0.012801363264387891,0.9960054130579614,0.0027214703429099853,0.000608539268549639,3000,final_fine_grid_steps3000_R20_v1
voter,rho_4,0.40000000000000002,20,0.39802724951456725,0.05344116042707574,0.011949806751141304,0.9959068954030647,0.0025544621730825934,0.0005711951064964512,2950,final_fine_grid_steps3000_R20_v1
voter,rho_4,0.5,20,0.30020927019798016,0.01844437197841118,0.004124286954601968,0.9964099766822118,0.0033302733731513908,0.0007446717646024032,2950,final_voter_base_coarse_v1
voter,rho_4,1,20,0.15297408515589098,0.009669949158352209,0.0021622663657042416,0.9983873251165889,0.0012241660320389505,0.0002737318463385279,2600,final_voter_base_coarse_v1
voter,rho_4,2,20,0.08068351058257985,0.0029345153300994863,0.0006561775759117686,0.9996971185876082,0.00046224364437330383,0.00010336082109859455,50,final_voter_base_coarse_v1
voter,rho_4,3,20,0.05849812594022955,0.001060377906130489,0.0002371077079946664,0.9999068954030645,0.0002892060990869945,6.466844970660595e-05,0,final_voter_base_coarse_v1
voter,rho_4,4,20,0.049348557235935196,0.0007735119758152906,0.0001729625359333163,0.9999633577614924,6.222327979641174e-05,1.391354834077659e-05,0,final_voter_base_coarse_v1
voter,rho_4,5,20,0.04556054299701086,0.000631709345245842,0.00014125450379915864,0.999987674883411,3.4691245884629556e-05,7.75719840221915e-06,0,final_voter_base_coarse_v1
voter,rho_4,6,20,0.04452519641341203,0.0004123889951603925,9.221298263514693e-05,0.999999167221852,2.6747337393342545e-06,5.980886462863595e-07,0,final_voter_base_coarse_v1
voter,rho_8,0,20,0.9837866266024478,0.0422525864003573,0.009447965541638206,0.999617838107928,0.0011097068319192397,0.0002481379911267353,1850,final_voter_base_coarse_v1
