model,rho_label,rho_nominal,N,eta,base_seed,realization,steps,va_t0,S_t0,t_window_start,va_window_mean,va_window_stdev,S_window_mean,S_window_stdev,source_run
voter,rho_2,2,200,0,1400000,0,3000,0.00508144183702793,1.0,1500,1.0000000000000038,0.0,1.0,0.0,final_voter_base_coarse_v1
voter,rho_2,2,200,0,1400001,1,3000,0.11641879001696857,0.995,1500,0.9999999999999994,0.0,1.0,0.0,final_voter_base_coarse_v1
voter,rho_2,2,200,0,1400002,2,3000,0.055390161646083985,0.995,1500,1.0000000000000013,0.0,1.0,0.0,final_voter_base_coarse_v1
voter,rho_2,2,200,0,1400003,3,3000,0.06247785222153271,1.0,1500,1.0000000000000038,0.0,1.0,0.0,final_voter_base_coarse_v1
voter,rho_2,2,200,0,1400004,4,3000,0.06938674708617577,1.0,1500,1.0000000000000018,0.0,1.0,0.0,final_voter_base_coarse_v1
voter,rho_2,2,200,0,1400005,5,3000,0.0559293547378096,1.0,1500,1.000000000000003,0.0,1.0,0.0,final_voter_base_coarse_v1
voter,rho_2,2,200,0,1400006,6,3000,0.037466724851193504,0.995,1500,0.9999999999999963,0.0,1.0,0.0,final_voter_base_coarse_v1
voter,rho_2,2,200,0,1400007,7,3000,0.12387249374918223,0.985,1500,0.9999999999999953,0.0,1.0,0.0,final_voter_base_coarse_v1
voter,rho_2,2,200,0,1400008,8,3000,0.07991824093512911,1.0,1500,1.0000000000000038,0.0,1.0,0.0,final_voter_base_coarse_v1
voter,rho_2,2,200,0,1400009,9,3000,0.06962001979783057,0.985,1500,1.0000000000000022,0.0,0.9249999999999999,0.0,final_voter_base_coarse_v1
voter,rho_2,2,200,0,1400010,10,3000,0.05922433473150994,1.0,1500,1.0000000000000022,0.0,1.0,0.0,final_voter_base_coarse_v1
voter,rho_2,2,200,0,1400011,11,3000,0.056382351028719156,1.0,1500,1.000000000000004,0.0,1.0,0.0,final_voter_base_coarse_v1
voter,rho_2,2,200,0,1400012,12,3000,0.02002690019116591,1.0,1500,0.9999999999999966,0.0,1.0,0.0,final_voter_base_coarse_v1
voter,rho_2,2,200,0,1400013,13,3000,0.184234608187258,1.0,1500,1.000000000000002,0.0,1.0,0.0,final_voter_base_coarse_v1
voter,rho_2,2,200,0,1400014,14,3000,0.11455391621093973,1.0,1500,0.9999999999999994,0.0,1.0,0.0,final_voter_base_coarse_v1
voter,rho_2,2,200,0,1400015,15,3000,0.02403566345171827,0.965,1500,0.9999999999999978,0.0,0.985,0.0,final_voter_base_coarse_v1
voter,rho_2,2,200,0,1400016,16,3000,0.0627586210637223,1.0,1500,0.9999999999999991,0.0,0.97,0.0,final_voter_base_coarse_v1
voter,rho_2,2,200,0,1400017,17,3000,0.1082367437827414,0.99,1500,1.000000000000003,0.0,1.0,0.0,final_voter_base_coarse_v1
voter,rho_2,2,200,0,1400018,18,3000,0.046484283677317245,1.0,1500,0.9999999999999994,0.0,1.0,0.0,final_voter_base_coarse_v1
voter,rho_2,2,200,0,1400019,19,3000,0.035314412772767104,0.995,1500,0.9999999999999994,0.0,1.0,0.0,final_voter_base_coarse_v1
voter,rho_2,2,200,0.050000000000000003,1200000,0,3000,0.08405333324432608,0.995,1500,0.9501361904357354,0.04142999077720852,0.9906928714190539,0.03355943164270419,final_fine_grid_steps3000_R20_v1
