model,rho_nominal,rho_label,rho_effective,N,eta,eta_index,steps,base_seed,realization,returncode,elapsed_s,output_path,source_run
voter,2.0,rho_2,2.0,200,0.0,0,3000,1400000,0,0,1.6004,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_0/steps_3000/realization_000_seed_1400000,final_voter_base_coarse_v1
voter,2.0,rho_2,2.0,200,0.0,0,3000,1400001,1,0,1.6176,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_0/steps_3000/realization_001_seed_1400001,final_voter_base_coarse_v1
voter,2.0,rho_2,2.0,200,0.0,0,3000,1400002,2,0,1.5603,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_0/steps_3000/realization_002_seed_1400002,final_voter_base_coarse_v1
voter,2.0,rho_2,2.0,200,0.0,0,3000,1400003,3,0,1.571,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_0/steps_3000/realization_003_seed_1400003,final_voter_base_coarse_v1
voter,2.0,rho_2,2.0,200,0.0,0,3000,1400004,4,0,1.6539,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_0/steps_3000/realization_004_seed_1400004,final_voter_base_coarse_v1
voter,2.0,rho_2,2.0,200,0.0,0,3000,1400005,5,0,1.6842,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_0/steps_3000/realization_005_seed_1400005,final_voter_base_coarse_v1
voter,2.0,rho_2,2.0,200,0.0,0,3000,1400006,6,0,1.5757,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_0/steps_3000/realization_006_seed_1400006,final_voter_base_coarse_v1
voter,2.0,rho_2,2.0,200,0.0,0,3000,1400007,7,0,1.8124,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_0/steps_3000/realization_007_seed_1400007,final_voter_base_coarse_v1
voter,2.0,rho_2,2.0,200,0.0,0,3000,1400008,8,0,1.7394,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_0/steps_3000/realization_008_seed_1400008,final_voter_base_coarse_v1
voter,2.0,rho_2,2.0,200,0.0,0,3000,1400009,9,0,1.6352,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_0/steps_3000/realization_009_seed_1400009,final_voter_base_coarse_v1
voter,2.0,rho_2,2.0,200,0.0,0,3000,1400010,10,0,1.6588,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_0/steps_3000/realization_010_seed_1400010,final_voter_base_coarse_v1
voter,2.0,rho_2,2.0,200,0.0,0,3000,1400011,11,0,1.5804,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_0/steps_3000/realization_011_seed_1400011,final_voter_base_coarse_v1
voter,2.0,rho_2,2.0,200,0.0,0,3000,1400012,12,0,1.7359,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_0/steps_3000/realization_012_seed_1400012,final_voter_base_coarse_v1
voter,2.0,rho_2,2.0,200,0.0,0,3000,1400013,13,0,1.5788,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_0/steps_3000/realization_013_seed_1400013,final_voter_base_coarse_v1
voter,2.0,rho_2,2.0,200,0.0,0,3000,1400014,14,0,1.6624,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_0/steps_3000/realization_014_seed_1400014,final_voter_base_coarse_v1
voter,2.0,rho_2,2.0,200,0.0,0,3000,1400015,15,0,1.6314,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_0/steps_3000/realization_015_seed_1400015,final_voter_base_coarse_v1
voter,2.0,rho_2,2.0,200,0.0,0,3000,1400016,16,0,1.6254,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_0/steps_3000/realization_016_seed_1400016,final_voter_base_coarse_v1
voter,2.0,rho_2,2.0,200,0.0,0,3000,1400017,17,0,1.5963,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_0/steps_3000/realization_017_seed_1400017,final_voter_base_coarse_v1
voter,2.0,rho_2,2.0,200,0.0,0,3000,1400018,18,0,1.5999,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_0/steps_3000/realization_018_seed_1400018,final_voter_base_coarse_v1
voter,2.0,rho_2,2.0,200,0.0,0,3000,1400019,19,0,1.7098,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_0/steps_3000/realization_019_seed_1400019,final_voter_base_coarse_v1
voter,2.0,rho_2,,200,0.05,0,3000,1200000,0,0,2.6624,,final_fine_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.05,0,3000,1200001,1,0,1.8412,,final_fine_grid_steps3000_R20_v1
