model,rho_nominal,rho_label,rho_effective,N,eta,eta_index,steps,base_seed,realization,returncode,elapsed_s,output_path
voter,0.15915494309189535,rho_1_over_2pi,0.16,16,0.0,0,3000,1520000,0,0,0.1353,data/pilots/final_voter_lowrho_grid_v1/voter/rho_1_over_2pi/eta_0/steps_3000/realization_000_seed_1520000
voter,0.15915494309189535,rho_1_over_2pi,0.16,16,0.0,0,3000,1520001,1,0,0.1302,data/pilots/final_voter_lowrho_grid_v1/voter/rho_1_over_2pi/eta_0/steps_3000/realization_001_seed_1520001
voter,0.15915494309189535,rho_1_over_2pi,0.16,16,0.0,0,3000,1520002,2,0,0.1302,data/pilots/final_voter_lowrho_grid_v1/voter/rho_1_over_2pi/eta_0/steps_3000/realization_002_seed_1520002
voter,0.15915494309189535,rho_1_over_2pi,0.16,16,0.0,0,3000,1520003,3,0,0.1353,data/pilots/final_voter_lowrho_grid_v1/voter/rho_1_over_2pi/eta_0/steps_3000/realization_003_seed_1520003
voter,0.15915494309189535,rho_1_over_2pi,0.16,16,0.0,0,3000,1520004,4,0,0.1308,data/pilots/final_voter_lowrho_grid_v1/voter/rho_1_over_2pi/eta_0/steps_3000/realization_004_seed_1520004
voter,0.15915494309189535,rho_1_over_2pi,0.16,16,0.0,0,3000,1520005,5,0,0.1452,data/pilots/final_voter_lowrho_grid_v1/voter/rho_1_over_2pi/eta_0/steps_3000/realization_005_seed_1520005
voter,0.15915494309189535,rho_1_over_2pi,0.16,16,0.0,0,3000,1520006,6,0,0.1369,data/pilots/final_voter_lowrho_grid_v1/voter/rho_1_over_2pi/eta_0/steps_3000/realization_006_seed_1520006
voter,0.15915494309189535,rho_1_over_2pi,0.16,16,0.0,0,3000,1520007,7,0,0.1357,data/pilots/final_voter_lowrho_grid_v1/voter/rho_1_over_2pi/eta_0/steps_3000/realization_007_seed_1520007
voter,0.15915494309189535,rho_1_over_2pi,0.16,16,0.0,0,3000,1520008,8,0,0.1361,data/pilots/final_voter_lowrho_grid_v1/voter/rho_1_over_2pi/eta_0/steps_3000/realization_008_seed_1520008
voter,0.15915494309189535,rho_1_over_2pi,0.16,16,0.0,0,3000,1520009,9,0,0.1676,data/pilots/final_voter_lowrho_grid_v1/voter/rho_1_over_2pi/eta_0/steps_3000/realization_009_seed_1520009
voter,0.15915494309189535,rho_1_over_2pi,0.16,16,0.0,0,3000,1520010,10,0,0.1681,data/pilots/final_voter_lowrho_grid_v1/voter/rho_1_over_2pi/eta_0/steps_3000/realization_010_seed_1520010
voter,0.15915494309189535,rho_1_over_2pi,0.16,16,0.0,0,3000,1520011,11,0,0.1724,data/pilots/final_voter_lowrho_grid_v1/voter/rho_1_over_2pi/eta_0/steps_3000/realization_011_seed_1520011
voter,0.15915494309189535,rho_1_over_2pi,0.16,16,0.0,0,3000,1520012,12,0,0.176,data/pilots/final_voter_lowrho_grid_v1/voter/rho_1_over_2pi/eta_0/steps_3000/realization_012_seed_1520012
voter,0.15915494309189535,rho_1_over_2pi,0.16,16,0.0,0,3000,1520013,13,0,0.1631,data/pilots/final_voter_lowrho_grid_v1/voter/rho_1_over_2pi/eta_0/steps_3000/realization_013_seed_1520013
voter,0.15915494309189535,rho_1_over_2pi,0.16,16,0.0,0,3000,1520014,14,0,0.1572,data/pilots/final_voter_lowrho_grid_v1/voter/rho_1_over_2pi/eta_0/steps_3000/realization_014_seed_1520014
voter,0.15915494309189535,rho_1_over_2pi,0.16,16,0.0,0,3000,1520015,15,0,0.1601,data/pilots/final_voter_lowrho_grid_v1/voter/rho_1_over_2pi/eta_0/steps_3000/realization_015_seed_1520015
voter,0.15915494309189535,rho_1_over_2pi,0.16,16,0.0,0,3000,1520016,16,0,0.1429,data/pilots/final_voter_lowrho_grid_v1/voter/rho_1_over_2pi/eta_0/steps_3000/realization_016_seed_1520016
voter,0.15915494309189535,rho_1_over_2pi,0.16,16,0.0,0,3000,1520017,17,0,0.1469,data/pilots/final_voter_lowrho_grid_v1/voter/rho_1_over_2pi/eta_0/steps_3000/realization_017_seed_1520017
voter,0.15915494309189535,rho_1_over_2pi,0.16,16,0.0,0,3000,1520018,18,0,0.1442,data/pilots/final_voter_lowrho_grid_v1/voter/rho_1_over_2pi/eta_0/steps_3000/realization_018_seed_1520018
voter,0.15915494309189535,rho_1_over_2pi,0.16,16,0.0,0,3000,1520019,19,0,0.1486,data/pilots/final_voter_lowrho_grid_v1/voter/rho_1_over_2pi/eta_0/steps_3000/realization_019_seed_1520019
voter,0.15915494309189535,rho_1_over_2pi,0.16,16,0.05,1,3000,1520100,0,0,0.1331,data/pilots/final_voter_lowrho_grid_v1/voter/rho_1_over_2pi/eta_0p050000000000000003/steps_3000/realization_000_seed_1520100
voter,0.15915494309189535,rho_1_over_2pi,0.16,16,0.05,1,3000,1520101,1,0,0.1328,data/pilots/final_voter_lowrho_grid_v1/voter/rho_1_over_2pi/eta_0p050000000000000003/steps_3000/realization_001_seed_1520101
voter,0.15915494309189535,rho_1_over_2pi,0.16,16,0.05,1,3000,1520102,2,0,0.1359,data/pilots/final_voter_lowrho_grid_v1/voter/rho_1_over_2pi/eta_0p050000000000000003/steps_3000/realization_002_seed_1520102
voter,0.15915494309189535,rho_1_over_2pi,0.16,16,0.05,1,3000,1520103,3,0,0.1424,data/pilots/final_voter_lowrho_grid_v1/voter/rho_1_over_2pi/eta_0p050000000000000003/steps_3000/realization_003_seed_1520103
voter,0.15915494309189535,rho_1_over_2pi,0.16,16,0.05,1,3000,1520104,4,0,0.1286,data/pilots/final_voter_lowrho_grid_v1/voter/rho_1_over_2pi/eta_0p050000000000000003/steps_3000/realization_004_seed_1520104
voter,0.15915494309189535,rho_1_over_2pi,0.16,16,0.05,1,3000,1520105,5,0,0.1258,data/pilots/final_voter_lowrho_grid_v1/voter/rho_1_over_2pi/eta_0p050000000000000003/steps_3000/realization_005_seed_1520105
voter,0.15915494309189535,rho_1_over_2pi,0.16,16,0.05,1,3000,1520106,6,0,0.1256,data/pilots/final_voter_lowrho_grid_v1/voter/rho_1_over_2pi/eta_0p050000000000000003/steps_3000/realization_006_seed_1520106
voter,0.15915494309189535,rho_1_over_2pi,0.16,16,0.05,1,3000,1520107,7,0,0.1144,data/pilots/final_voter_lowrho_grid_v1/voter/rho_1_over_2pi/eta_0p050000000000000003/steps_3000/realization_007_seed_1520107
voter,0.15915494309189535,rho_1_over_2pi,0.16,16,0.05,1,3000,1520108,8,0,0.1302,data/pilots/final_voter_lowrho_grid_v1/voter/rho_1_over_2pi/eta_0p050000000000000003/steps_3000/realization_008_seed_1520108
voter,0.15915494309189535,rho_1_over_2pi,0.16,16,0.05,1,3000,1520109,9,0,0.1415,data/pilots/final_voter_lowrho_grid_v1/voter/rho_1_over_2pi/eta_0p050000000000000003/steps_3000/realization_009_seed_1520109
voter,0.15915494309189535,rho_1_over_2pi,0.16,16,0.05,1,3000,1520110,10,0,0.1335,data/pilots/final_voter_lowrho_grid_v1/voter/rho_1_over_2pi/eta_0p050000000000000003/steps_3000/realization_010_seed_1520110
voter,0.15915494309189535,rho_1_over_2pi,0.16,16,0.05,1,3000,1520111,11,0,0.141,data/pilots/final_voter_lowrho_grid_v1/voter/rho_1_over_2pi/eta_0p050000000000000003/steps_3000/realization_011_seed_1520111
voter,0.15915494309189535,rho_1_over_2pi,0.16,16,0.05,1,3000,1520112,12,0,0.1332,data/pilots/final_voter_lowrho_grid_v1/voter/rho_1_over_2pi/eta_0p050000000000000003/steps_3000/realization_012_seed_1520112
voter,0.15915494309189535,rho_1_over_2pi,0.16,16,0.05,1,3000,1520113,13,0,0.1365,data/pilots/final_voter_lowrho_grid_v1/voter/rho_1_over_2pi/eta_0p050000000000000003/steps_3000/realization_013_seed_1520113
voter,0.15915494309189535,rho_1_over_2pi,0.16,16,0.05,1,3000,1520114,14,0,0.1283,data/pilots/final_voter_lowrho_grid_v1/voter/rho_1_over_2pi/eta_0p050000000000000003/steps_3000/realization_014_seed_1520114
voter,0.15915494309189535,rho_1_over_2pi,0.16,16,0.05,1,3000,1520115,15,0,0.1318,data/pilots/final_voter_lowrho_grid_v1/voter/rho_1_over_2pi/eta_0p050000000000000003/steps_3000/realization_015_seed_1520115
voter,0.15915494309189535,rho_1_over_2pi,0.16,16,0.05,1,3000,1520116,16,0,0.1326,data/pilots/final_voter_lowrho_grid_v1/voter/rho_1_over_2pi/eta_0p050000000000000003/steps_3000/realization_016_seed_1520116
voter,0.15915494309189535,rho_1_over_2pi,0.16,16,0.05,1,3000,1520117,17,0,0.1197,data/pilots/final_voter_lowrho_grid_v1/voter/rho_1_over_2pi/eta_0p050000000000000003/steps_3000/realization_017_seed_1520117
voter,0.15915494309189535,rho_1_over_2pi,0.16,16,0.05,1,3000,1520118,18,0,0.1231,data/pilots/final_voter_lowrho_grid_v1/voter/rho_1_over_2pi/eta_0p050000000000000003/steps_3000/realization_018_seed_1520118
voter,0.15915494309189535,rho_1_over_2pi,0.16,16,0.05,1,3000,1520119,19,0,0.1276,data/pilots/final_voter_lowrho_grid_v1/voter/rho_1_over_2pi/eta_0p050000000000000003/steps_3000/realization_019_seed_1520119
voter,0.15915494309189535,rho_1_over_2pi,0.16,16,0.1,2,3000,1520200,0,0,0.1429,data/pilots/final_voter_lowrho_grid_v1/voter/rho_1_over_2pi/eta_0p10000000000000001/steps_3000/realization_000_seed_1520200
voter,0.15915494309189535,rho_1_over_2pi,0.16,16,0.1,2,3000,1520201,1,0,0.1356,data/pilots/final_voter_lowrho_grid_v1/voter/rho_1_over_2pi/eta_0p10000000000000001/steps_3000/realization_001_seed_1520201
voter,0.15915494309189535,rho_1_over_2pi,0.16,16,0.1,2,3000,1520202,2,0,0.1349,data/pilots/final_voter_lowrho_grid_v1/voter/rho_1_over_2pi/eta_0p10000000000000001/steps_3000/realization_002_seed_1520202
voter,0.15915494309189535,rho_1_over_2pi,0.16,16,0.1,2,3000,1520203,3,0,0.1314,data/pilots/final_voter_lowrho_grid_v1/voter/rho_1_over_2pi/eta_0p10000000000000001/steps_3000/realization_003_seed_1520203
