model,rho_label,eta,t,realizations,va_mean,va_stdev,va_stderr,S_mean,S_stdev,S_stderr
voter,rho_1_over_2pi,0,0,20,0.2037756318995278,0.1260125422299425,0.028177261044371432,0.15625,0.04192627457812106,0.009375
voter,rho_1_over_2pi,0,50,20,0.2854678655346418,0.12869579463545508,0.02877725452232303,0.225,0.04592793267718459,0.010269797953221865
voter,rho_1_over_2pi,0,100,20,0.3744071446783833,0.15451555081406,0.03455072752010611,0.29375,0.07680128579652817,0.017173289580042606
voter,rho_1_over_2pi,0,150,20,0.43118833109191995,0.21612234498684144,0.04832642548472383,0.365625,0.09328007222874563,0.02085805824495655
voter,rho_1_over_2pi,0,200,20,0.4579109217277269,0.24125175842220192,0.05394553315234009,0.43125,0.12484365222148862,0.02791588929265912
voter,rho_1_over_2pi,0,250,20,0.5060709240586598,0.2338307374891812,0.05228614242547176,0.4625,0.13891319231808044,0.031061934099472943
voter,rho_1_over_2pi,0,300,20,0.5447310587222504,0.2525447411151673,0.05647072084936001,0.525,0.1681703005884214,0.03760402239122831
voter,rho_1_over_2pi,0,350,20,0.622240596372577,0.2649550410905669,0.05924574828597576,0.58125,0.16189792308735773,0.03620147614393645
voter,rho_1_over_2pi,0,400,20,0.6629866960606876,0.26092610945878064,0.05834485178543843,0.596875,0.16473819191371503,0.0368365795609473
voter,rho_1_over_2pi,0,450,20,0.6580912049045452,0.2844557197503271,0.06360623259503607,0.65,0.1704772712123232,0.03811987670494226
voter,rho_1_over_2pi,0,500,20,0.6800885015400058,0.2605932885042126,0.058270430757563385,0.665625,0.1680250632346258,0.03757154633163239
voter,rho_1_over_2pi,0,550,20,0.6886099238363257,0.27279016237027104,0.060997734665313115,0.6625,0.18791620472966136,0.04201934078492903
voter,rho_1_over_2pi,0,600,20,0.6946357844684682,0.2776335496292831,0.06208074898056385,0.653125,0.18165364536667025,0.04061898994005144
voter,rho_1_over_2pi,0,650,20,0.6977482302854237,0.2786702366719514,0.06231255925044381,0.65,0.18157298807917438,0.04060095442227929
voter,rho_1_over_2pi,0,700,20,0.7290246028587481,0.2705166658510914,0.060489365388963635,0.671875,0.18736974642401585,0.04189714899309976
voter,rho_1_over_2pi,0,750,20,0.7492151440512129,0.25260030887988727,0.056483146179287166,0.696875,0.1621089043667867,0.036248652992214754
voter,rho_1_over_2pi,0,800,20,0.7673576284247826,0.26715949052828386,0.059738678165545386,0.71875,0.17173289580042608,0.03840064289826409
voter,rho_1_over_2pi,0,850,20,0.8042889085277599,0.24884180906917255,0.05564272007226935,0.734375,0.16987472406158605,0.037985143066072556
voter,rho_1_over_2pi,0,900,20,0.7917139351607152,0.2654746480181108,0.05936193592713256,0.75625,0.17444107171191078,0.03900620944157481
voter,rho_1_over_2pi,0,950,20,0.7857235513680768,0.28014854238033776,0.06264311845599159,0.78125,0.1694430213965745,0.03788861141556919
voter,rho_1_over_2pi,0,1000,20,0.8323399374365673,0.25707775711853176,0.057484334042021745,0.8125,0.16770509831248423,0.0375
voter,rho_1_over_2pi,0,1050,20,0.8400980113992729,0.2596660732425122,0.058063099122069646,0.81875,0.1721872164244489,0.0385022320781536
voter,rho_1_over_2pi,0,1100,20,0.841509765059595,0.26028236364260293,0.05820090584491799,0.828125,0.16987472406158605,0.037985143066072556
voter,rho_1_over_2pi,0,1150,20,0.841509765059595,0.26028236364260293,0.05820090584491799,0.85,0.16225943732183962,0.03628231318424998
voter,rho_1_over_2pi,0,1200,20,0.8678346221298611,0.2480693739498883,0.05546999832877657,0.825,0.17522307211095234,0.0391810700466437
voter,rho_1_over_2pi,0,1250,20,0.8678346221298611,0.2480693739498883,0.05546999832877657,0.8375,0.1783167827210888,0.03987284476934145
voter,rho_1_over_2pi,0,1300,20,0.8776723927489481,0.24706466978950367,0.05524533964878688,0.85625,0.1701332198602025,0.038042944483833004
voter,rho_1_over_2pi,0,1350,20,0.8792518324091004,0.2477397464772314,0.055396291385165344,0.85625,0.1701332198602025,0.038042944483833004
voter,rho_1_over_2pi,0,1400,20,0.8792518324091004,0.2477397464772314,0.055396291385165344,0.85625,0.1701332198602025,0.038042944483833004
voter,rho_1_over_2pi,0,1450,20,0.8792831019289802,0.24775479885404972,0.05539965719894421,0.875,0.16417406920704622,0.036710437888971034
voter,rho_1_over_2pi,0,1500,20,0.8793411220121415,0.2477829244948281,0.05540594628341334,0.875,0.16417406920704622,0.036710437888971034
voter,rho_1_over_2pi,0,1550,20,0.8793411220121415,0.2477829244948281,0.05540594628341334,0.875,0.16417406920704622,0.036710437888971034
voter,rho_1_over_2pi,0,1600,20,0.8845370269992847,0.2486038045353751,0.05558950064061692,0.884375,0.16568395177264453,0.037048057894442994
voter,rho_1_over_2pi,0,1650,20,0.8845041548099258,0.24859213390325358,0.05558689100794051,0.884375,0.16568395177264453,0.037048057894442994
voter,rho_1_over_2pi,0,1700,20,0.8845041548099258,0.24859213390325358,0.05558689100794051,0.884375,0.16568395177264453,0.037048057894442994
voter,rho_1_over_2pi,0,1750,20,0.8851983086860054,0.24888732050973206,0.05565289673975385,0.884375,0.16568395177264453,0.037048057894442994
voter,rho_1_over_2pi,0,1800,20,0.8851983086860054,0.24888732050973206,0.05565289673975385,0.884375,0.16568395177264453,0.037048057894442994
voter,rho_1_over_2pi,0,1850,20,0.8851983086860054,0.24888732050973206,0.05565289673975385,0.884375,0.16568395177264453,0.037048057894442994
voter,rho_1_over_2pi,0,1900,20,0.8851983086860054,0.24888732050973206,0.05565289673975385,0.884375,0.16568395177264453,0.037048057894442994
voter,rho_1_over_2pi,0,1950,20,0.8851983086860054,0.24888732050973206,0.05565289673975385,0.884375,0.16568395177264453,0.037048057894442994
voter,rho_1_over_2pi,0,2000,20,0.8851983086860054,0.24888732050973206,0.05565289673975385,0.884375,0.16568395177264453,0.037048057894442994
voter,rho_1_over_2pi,0,2050,20,0.8851983086860054,0.24888732050973206,0.05565289673975385,0.884375,0.16568395177264453,0.037048057894442994
voter,rho_1_over_2pi,0,2100,20,0.8851983086860054,0.24888732050973206,0.05565289673975385,0.884375,0.16568395177264453,0.037048057894442994
voter,rho_1_over_2pi,0,2150,20,0.8851983086860054,0.24888732050973206,0.05565289673975385,0.884375,0.16568395177264453,0.037048057894442994
voter,rho_1_over_2pi,0,2200,20,0.8851983086860054,0.24888732050973206,0.05565289673975385,0.884375,0.16568395177264453,0.037048057894442994
voter,rho_1_over_2pi,0,2250,20,0.8851983086860054,0.24888732050973206,0.05565289673975385,0.884375,0.16568395177264453,0.037048057894442994
