model,rho_label,eta,realizations,va_mean,va_stdev_between_realizations,va_stderr,S_mean,S_stdev_between_realizations,S_stderr,t_eq_heuristic_estimate
vicsek,rho_2,0,3,0.9998914824119773,0.0001879546487991133,0.00010851566707960965,1.0,0.0,0.0,200
vicsek,rho_2,1,3,0.9141638090946188,0.04667100789358249,0.026945518970711003,0.9898675496688741,0.015449175761481143,0.00891958578464898,475
vicsek,rho_2,2,3,0.6656209400114136,0.10161190175174308,0.05866565882923867,0.9537306843267107,0.020050272693488563,0.011576030336911024,600
vicsek,rho_2,3,3,0.4019219380999977,0.18329781850499405,0.10582704485572948,0.9729028697571743,0.005544487510493363,0.003201111356701861,sin_evidencia
vicsek,rho_2,4,3,0.15899344760407857,0.01814928684629052,0.010478495646305567,0.9380573951434878,0.024081962923792947,0.013903727776666446,sin_evidencia
vicsek,rho_2,6,3,0.06493527947391653,0.0008991425853985797,0.000519120213719726,0.9880794701986755,0.013418606061765436,0.007747235821909819,600
vicsek,rho_4,0,3,0.9999985765513747,2.4075948574482476e-06,1.3900255390473045e-06,1.0,0.0,0.0,125
vicsek,rho_4,1,3,0.9472963334918343,0.001680741246694329,0.0009703764112170781,0.9998454746136866,0.0002676458201540902,0.00015452538631344215,200
vicsek,rho_4,2,3,0.7906736218411847,0.019104065592286952,0.01102973741232314,0.9980077262693158,0.002487983341670678,0.0014364378520528706,150
vicsek,rho_4,3,3,0.5474410528857544,0.03688995017204793,0.021298422662223756,0.9959933774834436,0.00048862101203225,0.0002821054728285269,sin_evidencia
vicsek,rho_4,4,3,0.1899474156700751,0.028179933063568866,0.01626969193999712,0.9978532008830022,0.002913969997318332,0.001682381362362232,575
vicsek,rho_4,6,3,0.04542254972427945,0.0008764051099508898,0.0005059927261493098,1.0,0.0,0.0,175
vicsek,rho_8,0,3,0.9999999927052862,1.01738780973175e-08,5.873891258188696e-09,1.0,0.0,0.0,125
vicsek,rho_8,1,3,0.9540552235070026,0.0007674389865533456,0.0004430811054731877,0.999823399558499,0.00030588093731894194,0.00017660044150106619,100
vicsek,rho_8,2,3,0.8113006396777255,0.017056698322769962,0.009847689368137477,0.9999806843267108,3.345572751923724e-05,1.9315673289166394e-05,150
vicsek,rho_8,3,3,0.6009829853348807,0.01962916591360288,0.01133290422418645,0.9997902869757175,0.0003349666866555451,0.000193393106710136,300
vicsek,rho_8,4,3,0.3412301033283332,0.01269737734100946,0.007330834225834066,0.9999034216335541,0.0001672786375963144,9.657836644590598e-05,sin_evidencia
vicsek,rho_8,6,3,0.031632663660433054,0.0005054014765862684,0.00029179367855591647,1.0,0.0,0.0,0
voter,rho_2,0,3,0.8868385901578097,0.17865954510540188,0.10314913645989987,0.9885320088300221,0.019863143367153,0.011467991169977914,sin_evidencia
voter,rho_2,1,3,0.24103859100788458,0.052539133573306605,0.030333482911538274,0.9869977924944813,0.020112652924331814,0.011612045579980487,600
voter,rho_2,2,3,0.1061190940611042,0.014465552279594368,0.008351690502600413,0.9750110375275938,0.02523770448559057,0.014570995478483943,550
voter,rho_2,3,3,0.0829118063344817,0.0017158226150424747,0.0009906306486764205,0.9983443708609272,0.0009200294032747875,0.0005311792236430693,425
voter,rho_2,4,3,0.06709359461499666,0.004367056940302127,0.0025213215000498565,0.9797019867549669,0.03007147604176103,0.017361774787640113,500
voter,rho_2,6,3,0.062162060141472714,0.0005588741657944678,0.0003226661500645635,0.9862582781456953,0.007105253539965941,0.004102220043959878,600
voter,rho_4,0,3,0.8830613451623218,0.10302342062511902,0.05948059963074851,1.0,0.0,0.0,sin_evidencia
voter,rho_4,1,3,0.13603074295123935,0.04533801054324,0.026175912591661705,1.0,0.0,0.0,sin_evidencia
voter,rho_4,2,3,0.0800495771094633,0.011545977585767852,0.006666073267200455,1.0,0.0,0.0,600
voter,rho_4,3,3,0.058496677517171504,0.004021489360374891,0.0023218079647556594,1.0,0.0,0.0,125
voter,rho_4,4,3,0.0481323967680369,0.0006234920330692912,0.00035997329313014237,1.0,0.0,0.0,200
voter,rho_4,6,3,0.04347528176170293,0.0016359251873317318,0.0009445018472800644,1.0,0.0,0.0,0
voter,rho_8,0,3,0.5209126498267552,0.1893551631462164,0.10932425441491354,0.999994481236203,9.558779291228953e-06,5.518763796915256e-06,sin_evidencia
voter,rho_8,1,3,0.10021190258781065,0.014696880034179707,0.00848524764398129,1.0,0.0,0.0,475
voter,rho_8,2,3,0.05225301926965608,0.007865821102245082,0.004541333930778637,1.0,0.0,0.0,400
voter,rho_8,3,3,0.042444356768300585,0.0015840390888000313,0.0009145453943255876,1.0,0.0,0.0,0
voter,rho_8,4,3,0.03542714097622845,0.0010455880037419435,0.0006036705154218546,1.0,0.0,0.0,50
voter,rho_8,6,3,0.030061897546843467,0.0010989379629600818,0.0006344721287377022,1.0,0.0,0.0,0
