model,rho_nominal,rho_label,N,eta,eta_index,steps,base_seed,realization,returncode,elapsed_s
vicsek,2.0,rho_2,200,0.0,0,600,800000,0,0,0.1959
vicsek,2.0,rho_2,200,0.0,0,600,800001,1,0,0.1943
vicsek,2.0,rho_2,200,0.0,0,600,800002,2,0,0.2007
vicsek,2.0,rho_2,200,1.0,1,600,800100,0,0,0.1982
vicsek,2.0,rho_2,200,1.0,1,600,800101,1,0,0.2251
vicsek,2.0,rho_2,200,1.0,1,600,800102,2,0,0.1976
vicsek,2.0,rho_2,200,2.0,2,600,800200,0,0,0.2045
vicsek,2.0,rho_2,200,2.0,2,600,800201,1,0,0.2083
vicsek,2.0,rho_2,200,2.0,2,600,800202,2,0,0.2113
vicsek,2.0,rho_2,200,3.0,3,600,800300,0,0,0.2127
vicsek,2.0,rho_2,200,3.0,3,600,800301,1,0,0.2033
vicsek,2.0,rho_2,200,3.0,3,600,800302,2,0,0.1965
vicsek,2.0,rho_2,200,4.0,4,600,800400,0,0,0.1902
vicsek,2.0,rho_2,200,4.0,4,600,800401,1,0,0.1936
vicsek,2.0,rho_2,200,4.0,4,600,800402,2,0,0.2081
vicsek,2.0,rho_2,200,6.0,5,600,800500,0,0,0.1823
vicsek,2.0,rho_2,200,6.0,5,600,800501,1,0,0.1819
vicsek,2.0,rho_2,200,6.0,5,600,800502,2,0,0.1834
vicsek,4.0,rho_4,400,0.0,0,600,810000,0,0,0.473
vicsek,4.0,rho_4,400,0.0,0,600,810001,1,0,0.4554
vicsek,4.0,rho_4,400,0.0,0,600,810002,2,0,0.4965
vicsek,4.0,rho_4,400,1.0,1,600,810100,0,0,0.4711
vicsek,4.0,rho_4,400,1.0,1,600,810101,1,0,0.4696
vicsek,4.0,rho_4,400,1.0,1,600,810102,2,0,0.5687
vicsek,4.0,rho_4,400,2.0,2,600,810200,0,0,0.571
vicsek,4.0,rho_4,400,2.0,2,600,810201,1,0,0.4899
vicsek,4.0,rho_4,400,2.0,2,600,810202,2,0,0.4779
vicsek,4.0,rho_4,400,3.0,3,600,810300,0,0,0.524
vicsek,4.0,rho_4,400,3.0,3,600,810301,1,0,0.4839
vicsek,4.0,rho_4,400,3.0,3,600,810302,2,0,0.4746
vicsek,4.0,rho_4,400,4.0,4,600,810400,0,0,0.4521
vicsek,4.0,rho_4,400,4.0,4,600,810401,1,0,0.4684
vicsek,4.0,rho_4,400,4.0,4,600,810402,2,0,0.456
vicsek,4.0,rho_4,400,6.0,5,600,810500,0,0,0.4178
vicsek,4.0,rho_4,400,6.0,5,600,810501,1,0,0.4201
vicsek,4.0,rho_4,400,6.0,5,600,810502,2,0,0.4299
vicsek,8.0,rho_8,800,0.0,0,600,820000,0,0,1.5649
vicsek,8.0,rho_8,800,0.0,0,600,820001,1,0,1.3405
vicsek,8.0,rho_8,800,0.0,0,600,820002,2,0,1.2222
vicsek,8.0,rho_8,800,1.0,1,600,820100,0,0,1.3508
vicsek,8.0,rho_8,800,1.0,1,600,820101,1,0,1.3048
vicsek,8.0,rho_8,800,1.0,1,600,820102,2,0,1.3112
vicsek,8.0,rho_8,800,2.0,2,600,820200,0,0,1.392
vicsek,8.0,rho_8,800,2.0,2,600,820201,1,0,1.4353
vicsek,8.0,rho_8,800,2.0,2,600,820202,2,0,1.3999
vicsek,8.0,rho_8,800,3.0,3,600,820300,0,0,1.3703
vicsek,8.0,rho_8,800,3.0,3,600,820301,1,0,1.2887
vicsek,8.0,rho_8,800,3.0,3,600,820302,2,0,1.2645
vicsek,8.0,rho_8,800,4.0,4,600,820400,0,0,1.2349
vicsek,8.0,rho_8,800,4.0,4,600,820401,1,0,1.2535
vicsek,8.0,rho_8,800,4.0,4,600,820402,2,0,1.2841
vicsek,8.0,rho_8,800,6.0,5,600,820500,0,0,1.1288
vicsek,8.0,rho_8,800,6.0,5,600,820501,1,0,1.1281
vicsek,8.0,rho_8,800,6.0,5,600,820502,2,0,1.1648
voter,2.0,rho_2,200,0.0,0,600,850000,0,0,0.1992
voter,2.0,rho_2,200,0.0,0,600,850001,1,0,0.1853
voter,2.0,rho_2,200,0.0,0,600,850002,2,0,0.1813
voter,2.0,rho_2,200,1.0,1,600,850100,0,0,0.1854
voter,2.0,rho_2,200,1.0,1,600,850101,1,0,0.1828
voter,2.0,rho_2,200,1.0,1,600,850102,2,0,0.1785
voter,2.0,rho_2,200,2.0,2,600,850200,0,0,0.1766
voter,2.0,rho_2,200,2.0,2,600,850201,1,0,0.1766
voter,2.0,rho_2,200,2.0,2,600,850202,2,0,0.176
voter,2.0,rho_2,200,3.0,3,600,850300,0,0,0.1759
voter,2.0,rho_2,200,3.0,3,600,850301,1,0,0.1743
