model,rho_label,eta,t,va_mean,va_stdev
vicsek,rho_2,0,0,0.06554223557722376,0.027712879324780584
vicsek,rho_2,0,25,0.48654885500138834,0.11429596872929645
vicsek,rho_2,0,50,0.5094711778177353,0.10604282793126428
vicsek,rho_2,0,75,0.6171853744503205,0.17385202470856584
vicsek,rho_2,0,100,0.6534848455322849,0.25954340726477854
vicsek,rho_2,0,125,0.7180817548684028,0.27318175814840406
vicsek,rho_2,0,150,0.8369993058443335,0.16824388477710508
vicsek,rho_2,0,175,0.9369498558281163,0.07162167449151317
vicsek,rho_2,0,200,0.9806549253396476,0.022606492019375268
vicsek,rho_2,0,225,0.9906078435157806,0.011936345668837639
vicsek,rho_2,0,250,0.9931825674462916,0.009251420569317865
vicsek,rho_2,0,275,0.9944176554293342,0.007782235559956656
vicsek,rho_2,0,300,0.9966157385700208,0.004753916796914505
vicsek,rho_2,0,325,0.997527557616098,0.003487384356805449
vicsek,rho_2,0,350,0.9981802634154772,0.0025708889191027764
vicsek,rho_2,0,375,0.9986858997551548,0.0018576732542738108
vicsek,rho_2,0,400,0.9990761400776225,0.0013063199744406287
vicsek,rho_2,0,425,0.9993845626806849,0.0008702966158129691
vicsek,rho_2,0,450,0.999617827588238,0.0005404545128352153
vicsek,rho_2,0,475,0.9997772714586385,0.0003149799533037416
vicsek,rho_2,0,500,0.9998752175943323,0.00017646716652285624
vicsek,rho_2,0,525,0.9999333362439135,9.427620997869086e-05
vicsek,rho_2,0,550,0.9999652428796301,4.915380114509958e-05
vicsek,rho_2,0,575,0.9999822505411803,2.510146150074898e-05
vicsek,rho_2,0,600,0.9999911707287644,1.2486453152185606e-05
vicsek,rho_2,1,0,0.05280990972763133,0.020356701090883694
vicsek,rho_2,1,25,0.36339693806641726,0.07971200169600491
vicsek,rho_2,1,50,0.4596799341737934,0.04354123358776102
vicsek,rho_2,1,75,0.6066476615017321,0.059807797942153317
vicsek,rho_2,1,100,0.7232232492436851,0.05086655990500507
vicsek,rho_2,1,125,0.8124539476519681,0.060839173259018664
vicsek,rho_2,1,150,0.8377630338922168,0.09774397005349456
vicsek,rho_2,1,175,0.8483854224902717,0.11633310112864598
vicsek,rho_2,1,200,0.8680202523503119,0.10266764265054847
vicsek,rho_2,1,225,0.8446724330579948,0.11446949408317458
vicsek,rho_2,1,250,0.8232194108321149,0.11717668118976672
