model,rho_label,eta,realizations,va_mean,va_stdev_between_realizations,va_stderr,S_mean,S_stdev_between_realizations,S_stderr,t_eq_heuristic_estimate
vicsek,rho_2,0,20,1.0000000000000004,1.5402666406621116e-15,3.444140911995723e-16,1.0,0.0,0.0,200
vicsek,rho_2,0.5,20,0.9819596216284786,0.003584949928808753,0.0008016191736749403,0.9968914780292943,0.004284352157350496,0.0009580102663383584,200
vicsek,rho_2,1,20,0.9296234019547134,0.009068420224232047,0.0020277604069916743,0.9838931424766978,0.013559818498088873,0.003032067592428582,150
vicsek,rho_2,1.5,20,0.8455191056184977,0.021399206408493465,0.004785008019394052,0.9694823568575233,0.02026105427810768,0.00453050946616617,250
vicsek,rho_2,2,20,0.7377693997916797,0.050688568191035156,0.011334308415728815,0.9574280958721705,0.026838662216484403,0.006001307314121429,2850
vicsek,rho_2,2.5,20,0.6213460615646793,0.0494824688306396,0.011064616399982467,0.9538322237017309,0.024078550637584004,0.005384127602530873,sin_evidencia
vicsek,rho_2,3,20,0.46033360711462346,0.06055071611295036,0.013539551731484883,0.9216041944074567,0.040261546611900706,0.009002755510348633,3000
vicsek,rho_2,3.5,20,0.33615876831052466,0.04678531550270671,0.010461514581282694,0.9101521304926765,0.04878858164291413,0.010909458507935435,3000
vicsek,rho_2,4,20,0.19344366860575893,0.027999466129792313,0.006260870959991856,0.9058435419440747,0.0358302040085178,0.008011877181073126,2700
vicsek,rho_2,4.5,20,0.11180114423608453,0.01405533374495109,0.003142868170015733,0.951007656458056,0.025511615582929453,0.005704570665927318,800
vicsek,rho_2,5,20,0.0760256855208091,0.0018709047225726316,0.00041834701390977894,0.9788781624500666,0.018419395361786568,0.004118702013339909,0
vicsek,rho_2,5.5,20,0.06654860296869522,0.001433275051726893,0.000320490044611586,0.9893365512649801,0.006861190153306685,0.0015342087589345949,0
vicsek,rho_2,6,20,0.06299095970370647,0.0010992577087208097,0.00024580149614903936,0.9929304260985352,0.004895174094900612,0.0010945942037893775,0
vicsek,rho_4,0,20,0.9999999999999998,4.232970739883223e-15,9.465210321146466e-16,1.0,0.0,0.0,200
vicsek,rho_4,0.5,20,0.9864166210468674,0.0008209996371874395,0.00018358109982537788,0.9994692077230359,0.0010344871178033202,0.00023131835172560567,150
vicsek,rho_4,1,20,0.945708171319606,0.0020626561175718255,0.00046122392930964,0.9983350532623169,0.0018643175825181365,0.0004168740846158627,150
vicsek,rho_4,1.5,20,0.8786988159137412,0.00797234456345309,0.0017826704383931997,0.9979237683089215,0.002069731612355271,0.00046280605804066295,150
vicsek,rho_4,2,20,0.793838662244133,0.00922670885537105,0.0020631548209208944,0.9956772636484688,0.0038998764045869443,0.000872038874450388,150
vicsek,rho_4,2.5,20,0.679771550318804,0.029230238825036288,0.006536080101133472,0.9926775965379495,0.004774628644696476,0.001067639421685901,2400
vicsek,rho_4,3,20,0.5639313474604649,0.027685586103123248,0.0061906852523507085,0.9912378495339548,0.005211142840358886,0.0011652469631503804,2600
vicsek,rho_4,3.5,20,0.41967654360263495,0.0489056819637822,0.01093564293570024,0.9891681091877496,0.007258408085668961,0.0016230293887989913,3000
vicsek,rho_4,4,20,0.25539677779516695,0.0406891995748366,0.009098381619939018,0.9919632157123836,0.0058169740185952,0.0013007149328928991,2400
vicsek,rho_4,4.5,20,0.1360297491383144,0.016610900981494058,0.003714310376213869,0.9976348202396805,0.0018811464892662954,0.0004206371425634515,2250
vicsek,rho_4,5,20,0.06603657683658325,0.0030436577853850447,0.0006805825708367426,0.999602862849534,0.0005117457873391182,0.00011442983676894196,0
vicsek,rho_4,5.5,20,0.05011275372821574,0.001154340263102469,0.0002581183297462113,0.9999618841544609,7.771364413300275e-05,1.7377299106062184e-05,0
