model,rho_label,rho_nominal,N,eta,base_seed,realization,steps,va_t0,S_t0,t_window_start,va_window_mean,va_window_stdev,S_window_mean,S_window_stdev
vicsek,rho_2,2,200,0,920000,0,3000,0.05548577924330845,1.0,2250,1.0000000000000038,6.191910924872687e-17,1.0,0.0
vicsek,rho_2,2,200,0,920001,1,3000,0.02904888181211723,1.0,2250,1.000000000000002,0.0,1.0,0.0
vicsek,rho_2,2,200,0,920002,2,3000,0.10692448256691295,0.995,2250,1.0000000000000024,0.0,1.0,0.0
vicsek,rho_2,2,200,0,920003,3,3000,0.09417129012066114,0.99,2250,1.0000000000000022,0.0,1.0,0.0
vicsek,rho_2,2,200,0,920004,4,3000,0.12417775344126483,1.0,2250,1.0,3.1093724564823904e-16,1.0,0.0
vicsek,rho_2,2,200,0,920005,5,3000,0.09515645827552456,0.99,2250,1.0,3.090637552836669e-16,1.0,0.0
vicsek,rho_2,2,200,0,920006,6,3000,0.049825467545021845,0.96,2250,1.0000000000000022,0.0,1.0,0.0
vicsek,rho_2,2,200,0,920007,7,3000,0.11721699066424326,1.0,2250,1.0,4.2399464244692624e-16,1.0,0.0
vicsek,rho_2,2,200,0,920008,8,3000,0.05318142936877777,1.0,2250,1.0000000000000024,0.0,1.0,0.0
vicsek,rho_2,2,200,0,920009,9,3000,0.030649727740839107,1.0,2250,0.9999999999999991,0.0,1.0,0.0
vicsek,rho_2,2,200,0,920010,10,3000,0.11003790733661009,1.0,2250,1.0,3.97290825319976e-16,1.0,0.0
vicsek,rho_2,2,200,0,920011,11,3000,0.02382550278430977,1.0,2250,0.9999999999999989,0.0,1.0,0.0
vicsek,rho_2,2,200,0,920012,12,3000,0.08670418388482609,0.975,2250,0.9999999999999972,5.776737632398255e-15,1.0,0.0
vicsek,rho_2,2,200,0,920013,13,3000,0.018945594484427213,1.0,2250,1.0000000000000002,4.791787472502346e-16,1.0,0.0
vicsek,rho_2,2,200,0,920014,14,3000,0.09781453550690966,1.0,2250,0.9999999999999997,7.546405118836209e-16,1.0,0.0
vicsek,rho_2,2,200,0,920015,15,3000,0.06735578354236636,0.97,2250,1.0,4.2007019944905753e-16,1.0,0.0
vicsek,rho_2,2,200,0,920016,16,3000,0.051086873733503235,1.0,2250,1.0000000000000016,0.0,1.0,0.0
vicsek,rho_2,2,200,0,920017,17,3000,0.0785800554006651,0.995,2250,1.0000000000000004,0.0,1.0,0.0
vicsek,rho_2,2,200,0,920018,18,3000,0.11263962089817832,0.99,2250,1.0,4.573213708577045e-16,1.0,0.0
vicsek,rho_2,2,200,0,920019,19,3000,0.05163132509314739,0.995,2250,1.0,4.079778751095861e-16,1.0,0.0
vicsek,rho_2,2,200,0.5,921000,0,3000,0.02513873896528886,1.0,2250,0.9773620686978779,0.016068169998424694,0.9885885486018641,0.01714098589620727
vicsek,rho_2,2,200,0.5,921001,1,3000,0.05339748350348094,1.0,2250,0.9796482253435184,0.004545858158770214,0.9995206391478029,0.0014720792894291582
vicsek,rho_2,2,200,0.5,921002,2,3000,0.06369073818907994,0.99,2250,0.982605231453411,0.0038523315017617416,0.997017310252996,0.0045749818953911975
vicsek,rho_2,2,200,0.5,921003,3,3000,0.04657095010379984,1.0,2250,0.9843852838667317,0.0028461628693819624,1.0,0.0
vicsek,rho_2,2,200,0.5,921004,4,3000,0.03318540364500778,0.995,2250,0.9787087959217623,0.010983026879790416,0.9979227696404794,0.005181078017777323
vicsek,rho_2,2,200,0.5,921005,5,3000,0.07961736126410739,1.0,2250,0.980462650135202,0.008194580501630626,0.9965645805592542,0.013939980620893537
vicsek,rho_2,2,200,0.5,921006,6,3000,0.035592537144065683,1.0,2250,0.9840405098269494,0.0028555077088586673,0.9987083888149134,0.00218856036516978
vicsek,rho_2,2,200,0.5,921007,7,3000,0.12780518734952867,0.98,2250,0.9835725143164519,0.003658630569101766,0.9996870838881491,0.001211059068005548
vicsek,rho_2,2,200,0.5,921008,8,3000,0.029523517179069755,0.99,2250,0.9845591671724307,0.0028395976809404673,0.9927896138482024,0.012908092559037194
vicsek,rho_2,2,200,0.5,921009,9,3000,0.04369319578040622,1.0,2250,0.9850715935467439,0.002591486930924479,0.9993675099866844,0.0016620488710125101
vicsek,rho_2,2,200,0.5,921010,10,3000,0.07787176994750165,1.0,2250,0.9820420631658315,0.007004583588675309,1.0,0.0
vicsek,rho_2,2,200,0.5,921011,11,3000,0.055046489731425806,0.995,2250,0.9849743895599175,0.002995548845508573,0.9988149134487351,0.0032320945807108887
vicsek,rho_2,2,200,0.5,921012,12,3000,0.016656313903365857,0.95,2250,0.9773559149533434,0.009355624730550611,0.9834354194407458,0.027659153736330287
vicsek,rho_2,2,200,0.5,921013,13,3000,0.02810118095487428,1.0,2250,0.985624762926575,0.002710880085108949,0.9962383488681757,0.005479453882489416
vicsek,rho_2,2,200,0.5,921014,14,3000,0.03954179687955467,1.0,2250,0.982230396935262,0.008723255794922394,0.997503328894807,0.006557513826664914
vicsek,rho_2,2,200,0.5,921015,15,3000,0.11892485116873512,1.0,2250,0.9744571836573445,0.012918803281761017,1.0,0.0
vicsek,rho_2,2,200,0.5,921016,16,3000,0.014496436905936765,0.96,2250,0.98694731858463,0.0017575506038746212,1.0,0.0
vicsek,rho_2,2,200,0.5,921017,17,3000,0.028129214651840182,1.0,2250,0.9763943386995904,0.008266477948733012,0.9999667110519308,0.00040661601823175725
vicsek,rho_2,2,200,0.5,921018,18,3000,0.06877819604469546,0.985,2250,0.9824228548573932,0.00411778267835086,0.9949001331557922,0.005097910852055503
vicsek,rho_2,2,200,0.5,921019,19,3000,0.07458538178114904,1.0,2250,0.9863271689486046,0.0019125227977369545,0.9968042609853529,0.006141932706401892
vicsek,rho_2,2,200,1,922000,0,3000,0.027145714428160262,1.0,2250,0.9225362661633093,0.03005350578077884,0.9793608521970706,0.04266728195553935
vicsek,rho_2,2,200,1,922001,1,3000,0.03844567025740771,0.99,2250,0.9223472791298207,0.02971939452092566,0.96465379494008,0.05534193415495353
vicsek,rho_2,2,200,1,922002,2,3000,0.03961779736079603,0.94,2250,0.9363126773290661,0.013112905614426025,0.9986617842876165,0.0029146978677944374
vicsek,rho_2,2,200,1,922003,3,3000,0.0837324977187936,1.0,2250,0.932267888107292,0.015571812914322792,0.9875299600532623,0.027838058323276096
vicsek,rho_2,2,200,1,922004,4,3000,0.11918798537373837,1.0,2250,0.918041866957398,0.021026488680329997,0.9913448735019973,0.02319206203342343
