model,rho_label,eta,t,realizations,va_mean,va_stdev,va_stderr,S_mean,S_stdev,S_stderr
vicsek,rho_1_over_2pi,0,0,20,0.2286924802138774,0.09897414280606331,0.022131291132912935,0.16875,0.040019526483955306,0.008948638164547721
vicsek,rho_1_over_2pi,0,50,20,0.3834550494178498,0.1914859518661166,0.04281756051088894,0.265625,0.07874751980221345,0.017608480733726006
vicsek,rho_1_over_2pi,0,100,20,0.5365872068673432,0.17581837984553964,0.03931418490285056,0.39375,0.13419319095989932,0.03000650971039451
vicsek,rho_1_over_2pi,0,150,20,0.6334352570444743,0.17359903129211388,0.03881792347972798,0.41875,0.14803399102908765,0.0331014066921634
vicsek,rho_1_over_2pi,0,200,20,0.7308800278253684,0.16836455158867625,0.03764745823535503,0.50625,0.1884351678960167,0.042135384476707935
vicsek,rho_1_over_2pi,0,250,20,0.807106618740016,0.11866713107174758,0.026534777177130504,0.58125,0.19970681635838072,0.04465580169474063
vicsek,rho_1_over_2pi,0,300,20,0.8394092943948884,0.13188227829205929,0.02948977392885894,0.6,0.19605483926697653,0.04383919479187545
vicsek,rho_1_over_2pi,0,350,20,0.8686682167409201,0.12140399070892641,0.027146757596491232,0.61875,0.21000372020514305,0.046958259390654594
vicsek,rho_1_over_2pi,0,400,20,0.909078746569316,0.0955491742247713,0.021365444876055937,0.68125,0.1884351678960167,0.042135384476707935
vicsek,rho_1_over_2pi,0,450,20,0.9234457831715602,0.08938277329220744,0.01998659570988285,0.68125,0.19151941807555703,0.042825043782814744
vicsek,rho_1_over_2pi,0,500,20,0.9377216539642189,0.0719020301365517,0.01607778271055681,0.721875,0.19210491111629605,0.042955964006759294
vicsek,rho_1_over_2pi,0,550,20,0.9418358438214003,0.07376107096142884,0.016493476876294065,0.721875,0.19612954105641506,0.043855898619797995
vicsek,rho_1_over_2pi,0,600,20,0.9558657900021019,0.06338740083246061,0.014173853717840868,0.759375,0.19791392541961264,0.04425489909320774
vicsek,rho_1_over_2pi,0,650,20,0.9622242511569936,0.063430576166273,0.014183508015976442,0.75,0.2044428404224516,0.04571480886977435
vicsek,rho_1_over_2pi,0,700,20,0.9639652347958734,0.06400521282951506,0.014312000680113733,0.753125,0.20773612318275317,0.0464512092818906
vicsek,rho_1_over_2pi,0,750,20,0.9662829805511366,0.06381236327760346,0.014268878209363262,0.771875,0.20660480845081994,0.04619823961743564
vicsek,rho_1_over_2pi,0,800,20,0.9667395209229506,0.06395858730454719,0.014301574895782255,0.771875,0.20660480845081994,0.04619823961743564
vicsek,rho_1_over_2pi,0,850,20,0.9668697743579278,0.06401173800703194,0.014313459754163033,0.778125,0.19811119825744328,0.044299010640758106
vicsek,rho_1_over_2pi,0,900,20,0.9668749823196622,0.0640138257236777,0.0143139265817968,0.778125,0.19811119825744328,0.044299010640758106
vicsek,rho_1_over_2pi,0,950,20,0.9776904722781559,0.048461518175847366,0.010836324893403632,0.784375,0.20298071798818723,0.0453878683543301
vicsek,rho_1_over_2pi,0,1000,20,0.978082225188667,0.04861061386323559,0.010869663702618845,0.7875,0.2057759704144291,0.046012905798264905
vicsek,rho_1_over_2pi,0,1050,20,0.9795491123503887,0.048796606501879995,0.010911252920951188,0.790625,0.2084869225515116,0.04661909312449138
vicsek,rho_1_over_2pi,0,1100,20,0.9795732600754121,0.048806605463341146,0.010913488756704342,0.790625,0.2084869225515116,0.04661909312449138
vicsek,rho_1_over_2pi,0,1150,20,0.9854328508844489,0.04296710391926625,0.009607736515977697,0.790625,0.2084869225515116,0.04661909312449138
vicsek,rho_1_over_2pi,0,1200,20,0.9868147203674159,0.04296380663956309,0.009606999221821988,0.796875,0.21275260721081657,0.047572929211369776
vicsek,rho_1_over_2pi,0,1250,20,0.9870940094386939,0.04299784689691961,0.009614610854764062,0.803125,0.203749041408788,0.04555967069404695
vicsek,rho_1_over_2pi,0,1300,20,0.9881153083770646,0.04308638917955987,0.009634409511050726,0.821875,0.203749041408788,0.04555967069404695
vicsek,rho_1_over_2pi,0,1350,20,0.9957293894839758,0.01094830279737524,0.0024481149293182143,0.83125,0.20738325028796323,0.04637230450387386
vicsek,rho_1_over_2pi,0,1400,20,0.9982989969667772,0.0029778916254347286,0.0006658768104099395,0.834375,0.2056572922971612,0.045986368564499634
vicsek,rho_1_over_2pi,0,1450,20,0.9986150479548412,0.0021276682561440457,0.0004757610854306521,0.85625,0.19872641369480806,0.044436576994633596
vicsek,rho_1_over_2pi,0,1500,20,0.9988687841820161,0.00184578566624224,0.0004127302221612387,0.85625,0.19872641369480806,0.044436576994633596
vicsek,rho_1_over_2pi,0,1550,20,0.9989467726453608,0.0018555122584605298,0.0004149051543001904,0.859375,0.19751878866325603,0.04416654382844553
vicsek,rho_1_over_2pi,0,1600,20,0.9991692786662562,0.0016361354764056553,0.0003658510145642048,0.909375,0.1599255197740498,0.035760433355176216
vicsek,rho_1_over_2pi,0,1650,20,0.9992924647735479,0.0016298813447231716,0.000364452548205978,0.909375,0.1599255197740498,0.035760433355176216
vicsek,rho_1_over_2pi,0,1700,20,0.9993138771314977,0.001637368748133155,0.00036612678250594663,0.921875,0.1567180489764979,0.03504322108125907
vicsek,rho_1_over_2pi,0,1750,20,0.9993198418268449,0.0016397370393787275,0.00036665634852750843,0.921875,0.1567180489764979,0.03504322108125907
vicsek,rho_1_over_2pi,0,1800,20,0.9993205670099521,0.0016400359634144187,0.00036672318997389984,0.921875,0.1567180489764979,0.03504322108125907
vicsek,rho_1_over_2pi,0,1850,20,0.9993206695396886,0.0016400784007183716,0.0003667326792435419,0.921875,0.1567180489764979,0.03504322108125907
vicsek,rho_1_over_2pi,0,1900,20,0.9993206841719676,0.0016400844606315917,0.00036673403428133164,0.921875,0.1567180489764979,0.03504322108125907
vicsek,rho_1_over_2pi,0,1950,20,0.999320686271394,0.0016400853301798506,0.00036673422871823333,0.921875,0.1567180489764979,0.03504322108125907
vicsek,rho_1_over_2pi,0,2000,20,0.9993206865741943,0.0016400854555966794,0.0003667342567622888,0.921875,0.1567180489764979,0.03504322108125907
vicsek,rho_1_over_2pi,0,2050,20,0.9993206866180916,0.0016400854737786106,0.00036673426082789223,0.921875,0.1567180489764979,0.03504322108125907
vicsek,rho_1_over_2pi,0,2100,20,0.9994673648475583,0.001325573245562158,0.00029640718862320066,0.94375,0.13390178303517844,0.029941348917508707
vicsek,rho_1_over_2pi,0,2150,20,0.9995666152565548,0.0012608595231065201,0.0002819367603744146,0.94375,0.13390178303517844,0.029941348917508707
vicsek,rho_1_over_2pi,0,2200,20,0.999580900819476,0.0012635235984226091,0.00028253246572481,0.94375,0.13390178303517844,0.029941348917508707
vicsek,rho_1_over_2pi,0,2250,20,0.9996025919281563,0.0012608993176080451,0.00028194565869546864,0.94375,0.13390178303517844,0.029941348917508707
vicsek,rho_1_over_2pi,0,2300,20,0.9996028874837052,0.0012609915067533458,0.00028196627281503665,0.94375,0.13390178303517844,0.029941348917508707
vicsek,rho_1_over_2pi,0,2350,20,0.9996029299910741,0.00126100487327981,0.0002819692616612163,0.94375,0.13390178303517844,0.029941348917508707
vicsek,rho_1_over_2pi,0,2400,20,0.9996029361045563,0.0012610067979040198,0.00028196969202027276,0.94375,0.13390178303517844,0.029941348917508707
vicsek,rho_1_over_2pi,0,2450,20,0.9996029369838075,0.0012610070747527524,0.0002819697539255313,0.94375,0.13390178303517844,0.029941348917508707
vicsek,rho_1_over_2pi,0,2500,20,0.9996029371102628,0.001261007114570547,0.00028196976282906085,0.94375,0.13390178303517844,0.029941348917508707
vicsek,rho_1_over_2pi,0,2550,20,0.9996029371284498,0.0012610071202972264,0.0002819697641095853,0.94375,0.13390178303517844,0.029941348917508707
vicsek,rho_1_over_2pi,0,2600,20,0.9996029371310655,0.001261007121120847,0.00028196976429375244,0.94375,0.13390178303517844,0.029941348917508707
vicsek,rho_1_over_2pi,0,2650,20,0.9996029371314418,0.0012610071212393107,0.0002819697643202417,0.94375,0.13390178303517844,0.029941348917508707
vicsek,rho_1_over_2pi,0,2700,20,0.9996029371314957,0.001261007121256351,0.0002819697643240521,0.94375,0.13390178303517844,0.029941348917508707
vicsek,rho_1_over_2pi,0,2750,20,0.9996029371315036,0.001261007121258793,0.0002819697643245981,0.94375,0.13390178303517844,0.029941348917508707
vicsek,rho_1_over_2pi,0,2800,20,0.9996029371315046,0.0012610071212591355,0.0002819697643246747,0.94375,0.13390178303517844,0.029941348917508707
vicsek,rho_1_over_2pi,0,2850,20,0.9996029371315048,0.001261007121259188,0.00028196976432468647,0.94375,0.13390178303517844,0.029941348917508707
vicsek,rho_1_over_2pi,0,2900,20,0.9996029371315048,0.0012610071212591984,0.00028196976432468874,0.94375,0.13390178303517844,0.029941348917508707
vicsek,rho_1_over_2pi,0,2950,20,0.9996029371315048,0.001261007121259202,0.0002819697643246896,0.94375,0.13390178303517844,0.029941348917508707
vicsek,rho_1_over_2pi,0,3000,20,0.9996029371315048,0.0012610071212592038,0.00028196976432469,0.94375,0.13390178303517844,0.029941348917508707
vicsek,rho_1_over_2pi,0.050000000000000003,0,20,0.22390187815585122,0.11424705631699596,0.025546418415404972,0.153125,0.03684320663297374,0.008238391454040043
vicsek,rho_1_over_2pi,0.050000000000000003,50,20,0.428070174858085,0.1832374968672437,0.040973149902206164,0.23125,0.059621200088559104,0.013331705629813463
vicsek,rho_1_over_2pi,0.050000000000000003,100,20,0.5764884672944512,0.21170327692195626,0.04733829182569566,0.340625,0.14041651211663106,0.03139808662562099
vicsek,rho_1_over_2pi,0.050000000000000003,150,20,0.6882281364897522,0.1893110111155251,0.042331228974353236,0.421875,0.15293355379052695,0.03419698223162389
vicsek,rho_1_over_2pi,0.050000000000000003,200,20,0.7753892251144132,0.1636293443496261,0.0365886337079485,0.459375,0.16685861342765618,0.03731072022555984
vicsek,rho_1_over_2pi,0.050000000000000003,250,20,0.8042191656476257,0.15874229095339448,0.035495855347583996,0.484375,0.1542053723934416,0.03448136951674048
vicsek,rho_1_over_2pi,0.050000000000000003,300,20,0.8381572482585181,0.16661591758210348,0.03725645178470858,0.49375,0.1529654781315052,0.03420412073128032
vicsek,rho_1_over_2pi,0.050000000000000003,350,20,0.8633149198921286,0.17088832552890323,0.03821179124437403,0.5125,0.16606662819483028,0.03713362694378237
vicsek,rho_1_over_2pi,0.050000000000000003,400,20,0.8754146397557413,0.17080153960181613,0.03819238532112832,0.55,0.18915932438026944,0.042297310789221575
vicsek,rho_1_over_2pi,0.050000000000000003,450,20,0.8885572098888475,0.15769132282450438,0.03526085172974559,0.590625,0.19811119825744328,0.044299010640758106
vicsek,rho_1_over_2pi,0.050000000000000003,500,20,0.9025857674414794,0.14575186116485722,0.03259110694117324,0.6,0.20097418988516907,0.04493919503061887
vicsek,rho_1_over_2pi,0.050000000000000003,550,20,0.9239047182487552,0.13550390279727592,0.030299593787123286,0.640625,0.22262198201210948,0.049779788506481217
vicsek,rho_1_over_2pi,0.050000000000000003,600,20,0.9428210194084047,0.08434814388063964,0.018860818349304316,0.68125,0.19455478020341727,0.043503771388237134
vicsek,rho_1_over_2pi,0.050000000000000003,650,20,0.9571046469678407,0.06721664668369862,0.01503009912043359,0.709375,0.19493087717188368,0.043587869226999386
vicsek,rho_1_over_2pi,0.050000000000000003,700,20,0.964455878823242,0.06698362809426782,0.014977994579834753,0.725,0.18895270572288717,0.04225110945288892
vicsek,rho_1_over_2pi,0.050000000000000003,750,20,0.9676161543472018,0.0641196488785738,0.014337589358590917,0.74375,0.1721872164244489,0.0385022320781536
vicsek,rho_1_over_2pi,0.050000000000000003,800,20,0.9780433741303952,0.04045925426989872,0.009046964286644216,0.771875,0.18985500223855045,0.04245286908737735
vicsek,rho_1_over_2pi,0.050000000000000003,850,20,0.9827361161818725,0.03692547935947568,0.008256788194955301,0.796875,0.18527323572227047,0.04142835494863391
vicsek,rho_1_over_2pi,0.050000000000000003,900,20,0.9833690873808527,0.0353877703736936,0.007912946012773203,0.778125,0.18272567382554647,0.040858702790837594
vicsek,rho_1_over_2pi,0.050000000000000003,950,20,0.9822920585098129,0.03698223441809668,0.008269479011869654,0.796875,0.18527323572227047,0.04142835494863391
vicsek,rho_1_over_2pi,0.050000000000000003,1000,20,0.9813811102041227,0.03958043877282607,0.008850455167530745,0.803125,0.18985500223855045,0.04245286908737735
vicsek,rho_1_over_2pi,0.050000000000000003,1050,20,0.9815834448767184,0.0385997837249632,0.008631174032580775,0.809375,0.18272567382554647,0.040858702790837594
vicsek,rho_1_over_2pi,0.050000000000000003,1100,20,0.9800218113616674,0.043581953716162844,0.009745221110158969,0.825,0.18498310733685927,0.04136348026943574
vicsek,rho_1_over_2pi,0.050000000000000003,1150,20,0.9824970824275466,0.03885678252319077,0.008688640710878034,0.840625,0.1859046714716981,0.04156954827454828
vicsek,rho_1_over_2pi,0.050000000000000003,1200,20,0.9848500261976942,0.03468542093439911,0.0077558959037510675,0.859375,0.17552933337479523,0.03924955214712647
vicsek,rho_1_over_2pi,0.050000000000000003,1250,20,0.9933216786888636,0.008584515466459481,0.0019195560136901716,0.875,0.1734304615688951,0.03878023014372143
vicsek,rho_1_over_2pi,0.050000000000000003,1300,20,0.9932670057714852,0.009158164465708649,0.002047827829444758,0.875,0.1734304615688951,0.03878023014372143
vicsek,rho_1_over_2pi,0.050000000000000003,1350,20,0.9944401677118352,0.0082478850966126,0.0018442831746633193,0.85625,0.1855102759956979,0.041481358765112795
vicsek,rho_1_over_2pi,0.050000000000000003,1400,20,0.996014314602467,0.008389768130898454,0.0018760091856150295,0.88125,0.18635064394844467,0.041669270751958205
