model,rho_label,eta,realizations,va_mean,va_stdev_between_realizations,va_stderr,S_mean,S_stdev_between_realizations,S_stderr,t_eq_heuristic_estimate
vicsek,rho_1_over_2pi,0.59999999999999998,20,0.8436620060774942,0.0796091237613162,0.017801141235949676,0.7769861758827449,0.11179546239225166,0.024998225348509595,sin_evidencia
vicsek,rho_1_over_2pi,0.80000000000000004,20,0.7722002092591698,0.0908849852298206,0.02032250051079432,0.7144382911392405,0.11324409923364585,0.025322150393716394,sin_evidencia
vicsek,rho_1_over_2pi,1.2,20,0.6768937989031383,0.09021788780589789,0.020173332992043703,0.6752810626249167,0.11786613475446554,0.026355668955613542,sin_evidencia
vicsek,rho_1_over_2pi,1.3999999999999999,20,0.6290912839868816,0.07960194765915948,0.017799536610726086,0.6191872085276482,0.1179292441592576,0.026369780647527,sin_evidencia
vicsek,rho_1_over_2pi,1.6000000000000001,20,0.5527903976729879,0.09095098093889402,0.020337257599965467,0.5563874083944038,0.13190889900797564,0.02949572650189881,sin_evidencia
vicsek,rho_1_over_2pi,1.8,20,0.49699781305313745,0.06051800938989304,0.01353223828587714,0.5345561292471686,0.10005391716848258,0.02237273602038603,sin_evidencia
vicsek,rho_1_over_2pi,2.2000000000000002,20,0.40526117550821156,0.05249918917181231,0.01173917557517932,0.4284164723517655,0.09451889796624029,0.02113506810108799,3000
vicsek,rho_1_over_2pi,2.3999999999999999,20,0.3965407441011852,0.05220194318989619,0.011672709353019008,0.4343271152564957,0.08455729039374255,0.018907584931359828,sin_evidencia
vicsek,rho_1_over_2pi,2.6000000000000001,20,0.3688732748391955,0.05098749263430505,0.01140114995325759,0.40921469020652895,0.10330779659198554,0.023100325578540075,sin_evidencia
vicsek,rho_1_over_2pi,2.7999999999999998,20,0.3306036493536305,0.03983042646716338,0.00890635411533841,0.3611529813457695,0.08940235871382425,0.019990975143293167,sin_evidencia
vicsek,rho_1_over_2pi,3.2000000000000002,20,0.291024206131466,0.03244986223394224,0.007256009781559802,0.3194557794803464,0.09914408943319411,0.02216929235399406,2950
vicsek,rho_1_over_2pi,3.3999999999999999,20,0.2704990784319408,0.017067391028634006,0.0038163846538595697,0.26644112258494335,0.06190317917807886,0.013841971666553389,sin_evidencia
vicsek,rho_1_over_2pi,3.6000000000000001,20,0.26401476054123457,0.011513782976578549,0.0025745601413809504,0.26520652898067953,0.05663321572159023,0.012663572013788555,3000
vicsek,rho_1_over_2pi,3.7999999999999998,20,0.2511428072966696,0.009489299735265366,0.0021218719266924116,0.24799925049966687,0.04858158969007981,0.010863173700202138,2900
vicsek,rho_1_over_2pi,4.2000000000000002,20,0.23786293891837312,0.005544791429180703,0.0012398530556706263,0.23097518321119254,0.05073968576257055,0.011345738652208599,3000
vicsek,rho_1_over_2pi,4.4000000000000004,20,0.23366602306144907,0.0049721816709123855,0.0011118136212638582,0.20977681545636245,0.04287529167376475,0.009587206673766871,3000
vicsek,rho_1_over_2pi,4.5999999999999996,20,0.23247063348964186,0.004322174331230785,0.0009664675615236727,0.21579988341105932,0.06021694237547047,0.013464917654873962,3000
vicsek,rho_1_over_2pi,4.7999999999999998,20,0.22768669168523434,0.005041279325549603,0.0011272643265493204,0.18974433710859426,0.048677111406107615,0.0108845330052387,3000
vicsek,rho_1_over_2pi,5.2000000000000002,20,0.2270988567062191,0.0037726273377696753,0.0008435851181027053,0.21522943037974684,0.062392860851927884,0.013951467817559618,sin_evidencia
vicsek,rho_1_over_2pi,5.4000000000000004,20,0.22489707470702253,0.0033982093942344018,0.0007598627207286504,0.1889136409060626,0.03771690433272426,0.008433756198882779,sin_evidencia
vicsek,rho_1_over_2pi,5.5999999999999996,20,0.2243154997035393,0.002721526101593063,0.0006085517365702087,0.1848892405063291,0.0482219823307093,0.010782763050125972,2600
vicsek,rho_1_over_2pi,5.7999999999999998,20,0.22256799463271598,0.0026883245524911806,0.0006011276444951981,0.16393862425049968,0.022439865089323635,0.005017706374565204,2900
vicsek,rho_1_over_2pi,6.2000000000000002,20,0.22207026491024484,0.003288655948750983,0.0007353658256016262,0.1629163890739507,0.04002798628644962,0.008950529833893071,3000
vicsek,rho_1_over_3pi,0.59999999999999998,20,0.8418906592011174,0.06357505361639317,0.014215814155944894,0.7734540609290776,0.10339388652963098,0.023119575873815468,sin_evidencia
vicsek,rho_1_over_3pi,0.80000000000000004,20,0.7624601308618588,0.098546667717833,0.022035704797315866,0.7211253103991279,0.12849024795384575,0.028731292887060236,sin_evidencia
