model,rho_nominal,rho_label,N,eta,eta_index,steps,base_seed,realization,returncode,elapsed_s
vicsek,0.3183098861837907,rho_1_over_pi,32,0.6,0,3000,2100000,0,0,0.1903
vicsek,0.3183098861837907,rho_1_over_pi,32,0.6,0,3000,2100001,1,0,0.1971
vicsek,0.3183098861837907,rho_1_over_pi,32,0.6,0,3000,2100002,2,0,0.2086
vicsek,0.3183098861837907,rho_1_over_pi,32,0.6,0,3000,2100003,3,0,0.1907
vicsek,0.3183098861837907,rho_1_over_pi,32,0.6,0,3000,2100004,4,0,0.1924
vicsek,0.3183098861837907,rho_1_over_pi,32,0.6,0,3000,2100005,5,0,0.205
vicsek,0.3183098861837907,rho_1_over_pi,32,0.6,0,3000,2100006,6,0,0.1985
vicsek,0.3183098861837907,rho_1_over_pi,32,0.6,0,3000,2100007,7,0,0.1853
vicsek,0.3183098861837907,rho_1_over_pi,32,0.6,0,3000,2100008,8,0,0.2187
vicsek,0.3183098861837907,rho_1_over_pi,32,0.6,0,3000,2100009,9,0,0.1903
vicsek,0.3183098861837907,rho_1_over_pi,32,0.6,0,3000,2100010,10,0,0.1795
vicsek,0.3183098861837907,rho_1_over_pi,32,0.6,0,3000,2100011,11,0,0.1808
vicsek,0.3183098861837907,rho_1_over_pi,32,0.6,0,3000,2100012,12,0,0.2051
vicsek,0.3183098861837907,rho_1_over_pi,32,0.6,0,3000,2100013,13,0,0.1825
vicsek,0.3183098861837907,rho_1_over_pi,32,0.6,0,3000,2100014,14,0,0.1862
vicsek,0.3183098861837907,rho_1_over_pi,32,0.6,0,3000,2100015,15,0,0.1946
vicsek,0.3183098861837907,rho_1_over_pi,32,0.6,0,3000,2100016,16,0,0.1865
vicsek,0.3183098861837907,rho_1_over_pi,32,0.6,0,3000,2100017,17,0,0.1927
vicsek,0.3183098861837907,rho_1_over_pi,32,0.6,0,3000,2100018,18,0,0.1962
vicsek,0.3183098861837907,rho_1_over_pi,32,0.6,0,3000,2100019,19,0,0.1963
vicsek,0.3183098861837907,rho_1_over_pi,32,0.8,1,3000,2100100,0,0,0.1971
vicsek,0.3183098861837907,rho_1_over_pi,32,0.8,1,3000,2100101,1,0,0.2239
vicsek,0.3183098861837907,rho_1_over_pi,32,0.8,1,3000,2100102,2,0,0.2363
vicsek,0.3183098861837907,rho_1_over_pi,32,0.8,1,3000,2100103,3,0,0.2116
vicsek,0.3183098861837907,rho_1_over_pi,32,0.8,1,3000,2100104,4,0,0.2137
vicsek,0.3183098861837907,rho_1_over_pi,32,0.8,1,3000,2100105,5,0,0.2188
vicsek,0.3183098861837907,rho_1_over_pi,32,0.8,1,3000,2100106,6,0,0.2161
vicsek,0.3183098861837907,rho_1_over_pi,32,0.8,1,3000,2100107,7,0,0.2166
vicsek,0.3183098861837907,rho_1_over_pi,32,0.8,1,3000,2100108,8,0,0.2112
vicsek,0.3183098861837907,rho_1_over_pi,32,0.8,1,3000,2100109,9,0,0.2111
vicsek,0.3183098861837907,rho_1_over_pi,32,0.8,1,3000,2100110,10,0,0.2017
vicsek,0.3183098861837907,rho_1_over_pi,32,0.8,1,3000,2100111,11,0,0.2172
vicsek,0.3183098861837907,rho_1_over_pi,32,0.8,1,3000,2100112,12,0,0.213
vicsek,0.3183098861837907,rho_1_over_pi,32,0.8,1,3000,2100113,13,0,0.2138
vicsek,0.3183098861837907,rho_1_over_pi,32,0.8,1,3000,2100114,14,0,0.2012
vicsek,0.3183098861837907,rho_1_over_pi,32,0.8,1,3000,2100115,15,0,0.2087
vicsek,0.3183098861837907,rho_1_over_pi,32,0.8,1,3000,2100116,16,0,0.1871
vicsek,0.3183098861837907,rho_1_over_pi,32,0.8,1,3000,2100117,17,0,0.2024
vicsek,0.3183098861837907,rho_1_over_pi,32,0.8,1,3000,2100118,18,0,0.2089
vicsek,0.3183098861837907,rho_1_over_pi,32,0.8,1,3000,2100119,19,0,0.2135
vicsek,0.3183098861837907,rho_1_over_pi,32,1.2,2,3000,2100200,0,0,0.1971
vicsek,0.3183098861837907,rho_1_over_pi,32,1.2,2,3000,2100201,1,0,0.1909
vicsek,0.3183098861837907,rho_1_over_pi,32,1.2,2,3000,2100202,2,0,0.2206
vicsek,0.3183098861837907,rho_1_over_pi,32,1.2,2,3000,2100203,3,0,0.2122
vicsek,0.3183098861837907,rho_1_over_pi,32,1.2,2,3000,2100204,4,0,0.2228
vicsek,0.3183098861837907,rho_1_over_pi,32,1.2,2,3000,2100205,5,0,0.1999
vicsek,0.3183098861837907,rho_1_over_pi,32,1.2,2,3000,2100206,6,0,0.2052
vicsek,0.3183098861837907,rho_1_over_pi,32,1.2,2,3000,2100207,7,0,0.2238
vicsek,0.3183098861837907,rho_1_over_pi,32,1.2,2,3000,2100208,8,0,0.2136
vicsek,0.3183098861837907,rho_1_over_pi,32,1.2,2,3000,2100209,9,0,0.2032
vicsek,0.3183098861837907,rho_1_over_pi,32,1.2,2,3000,2100210,10,0,0.2095
vicsek,0.3183098861837907,rho_1_over_pi,32,1.2,2,3000,2100211,11,0,0.2078
vicsek,0.3183098861837907,rho_1_over_pi,32,1.2,2,3000,2100212,12,0,0.1894
vicsek,0.3183098861837907,rho_1_over_pi,32,1.2,2,3000,2100213,13,0,0.2115
vicsek,0.3183098861837907,rho_1_over_pi,32,1.2,2,3000,2100214,14,0,0.19
vicsek,0.3183098861837907,rho_1_over_pi,32,1.2,2,3000,2100215,15,0,0.2047
vicsek,0.3183098861837907,rho_1_over_pi,32,1.2,2,3000,2100216,16,0,0.2136
vicsek,0.3183098861837907,rho_1_over_pi,32,1.2,2,3000,2100217,17,0,0.2081
vicsek,0.3183098861837907,rho_1_over_pi,32,1.2,2,3000,2100218,18,0,0.2129
vicsek,0.3183098861837907,rho_1_over_pi,32,1.2,2,3000,2100219,19,0,0.2255
