model,rho_label,eta,t,realizations,va_mean,va_stdev,va_stderr,S_mean,S_stdev,S_stderr
vicsek,rho_1_over_2pi,0.59999999999999998,0,20,0.21687189469449403,0.13504232844636013,0.03019638262459148,0.175,0.05077524002897475,0.011353688827865593
vicsek,rho_1_over_2pi,0.59999999999999998,50,20,0.40079265233039135,0.14823961892220167,0.033147386486870704,0.2625,0.06434768838116875,0.014388580541526672
vicsek,rho_1_over_2pi,0.59999999999999998,100,20,0.426681184102678,0.21548387369608216,0.048183658963941854,0.34375,0.10551214385083833,0.023593232610221095
vicsek,rho_1_over_2pi,0.59999999999999998,150,20,0.4532494497290407,0.24656398800544937,0.05513338379836276,0.34375,0.09164298936634488,0.020491995388443752
vicsek,rho_1_over_2pi,0.59999999999999998,200,20,0.4862086282016633,0.2872583040239057,0.06423290948987544,0.390625,0.1263597913697233,0.028254908312539257
vicsek,rho_1_over_2pi,0.59999999999999998,250,20,0.5957469169598045,0.16769569512028856,0.037497897382304496,0.440625,0.14983715118421065,0.03350460556028081
vicsek,rho_1_over_2pi,0.59999999999999998,300,20,0.6076868696282912,0.22916052887424215,0.05124185203226088,0.45625,0.16189792308735773,0.03620147614393645
vicsek,rho_1_over_2pi,0.59999999999999998,350,20,0.659741493210855,0.22174793644348323,0.04958434597579314,0.503125,0.18272567382554647,0.040858702790837594
vicsek,rho_1_over_2pi,0.59999999999999998,400,20,0.635200005957014,0.22285828569378052,0.04983262761603621,0.540625,0.1825117718806105,0.04081087286189797
vicsek,rho_1_over_2pi,0.59999999999999998,450,20,0.7188214699754129,0.2003687018869304,0.04480380379825667,0.553125,0.18985500223855045,0.04245286908737735
vicsek,rho_1_over_2pi,0.59999999999999998,500,20,0.7415526786223519,0.1980008021506632,0.044274325320836944,0.58125,0.20549102778466996,0.045949190689282
vicsek,rho_1_over_2pi,0.59999999999999998,550,20,0.7660378459426478,0.1340937317295485,0.029984269950389088,0.61875,0.22351943427809584,0.04998046493381189
vicsek,rho_1_over_2pi,0.59999999999999998,600,20,0.7451336805673305,0.21414847088977032,0.047885053818716126,0.6125,0.22061703243403488,0.049331468151677785
vicsek,rho_1_over_2pi,0.59999999999999998,650,20,0.7105979968843303,0.20844410179573009,0.046609518112413845,0.634375,0.22644932518115393,0.050635608456401505
vicsek,rho_1_over_2pi,0.59999999999999998,700,20,0.7896872974081615,0.12109148792032692,0.027076879848644562,0.64375,0.2092583630347901,0.04679159246061198
vicsek,rho_1_over_2pi,0.59999999999999998,750,20,0.746941411600715,0.19631098410193282,0.04389647051818023,0.640625,0.20622632439870522,0.04611360801054283
vicsek,rho_1_over_2pi,0.59999999999999998,800,20,0.8227985356691214,0.16336048138630138,0.036528514121685896,0.69375,0.1985297521783574,0.044392602142699404
vicsek,rho_1_over_2pi,0.59999999999999998,850,20,0.7548269828305806,0.19435560431887253,0.043459234306505064,0.66875,0.18232440182268528,0.04076897564325108
vicsek,rho_1_over_2pi,0.59999999999999998,900,20,0.7365751616497768,0.2123509104921765,0.047483107094447995,0.659375,0.2010470638308354,0.04495549014024872
vicsek,rho_1_over_2pi,0.59999999999999998,950,20,0.7390394746036061,0.25104151563949967,0.05613458941444978,0.66875,0.20165332256127097,0.04509105371356939
