model,rho_label,rho_nominal,N,eta,base_seed,realization,steps,va_t0,S_t0,t_window_start,va_window_mean,va_window_stdev,S_window_mean,S_window_stdev
vicsek,rho_2,2,200,1,2000000,0,3000,0.01933181279822534,0.975,1500,0.9066472854549033,0.03828914809330353,0.9862558294470353,0.03696071488348713
vicsek,rho_2,2,200,1,2000001,1,3000,0.07618996966228557,0.955,1500,0.9319006786965632,0.021807019502162735,0.9914523650899401,0.03658365281971623
vicsek,rho_2,2,200,1,2000002,2,3000,0.10323107553161401,1.0,1500,0.935507093205544,0.016592865705303456,0.9923084610259826,0.035379603033708074
vicsek,rho_2,2,200,1,2000003,3,3000,0.07631151907395871,0.995,1500,0.9366135019208218,0.012164783346057133,0.9893870752831445,0.014014033826047753
vicsek,rho_2,2,200,1,2000004,4,3000,0.01759632765679262,1.0,1500,0.9438620019298413,0.009511351930993879,0.9983544303797468,0.009219560464679179
vicsek,rho_2,2,200,1,2000005,5,3000,0.03289795472705018,1.0,1500,0.936604797002066,0.012730016399982912,0.9944870086608927,0.009231099012934521
vicsek,rho_2,2,200,1,2000006,6,3000,0.13423753038026232,0.995,1500,0.9196911639515217,0.024930233504669257,0.9816688874083943,0.027900609229269617
vicsek,rho_2,2,200,1,2000007,7,3000,0.017828124116210833,0.99,1500,0.9326845389391928,0.020272231449626206,0.9706195869420386,0.04540970339022206
vicsek,rho_2,2,200,1,2000008,8,3000,0.030740696354037946,1.0,1500,0.9051673356001296,0.04879556899325364,0.9711558960692871,0.0754119025321435
vicsek,rho_2,2,200,1,2000009,9,3000,0.03807511221443403,1.0,1500,0.9285779089429013,0.022099054411833356,0.9821419053964023,0.05048689498332223
vicsek,rho_2,2,200,1,2000010,10,3000,0.14057770672360806,1.0,1500,0.9365986192759852,0.014588207721301129,0.9891239173884077,0.02519177545437151
vicsek,rho_2,2,200,1,2000011,11,3000,0.0371270718833858,1.0,1500,0.9375227853215952,0.013818531399237043,0.9920053297801465,0.02314488095810379
vicsek,rho_2,2,200,1,2000012,12,3000,0.0034546865398469573,1.0,1500,0.9276402412528388,0.02470223919555626,0.9794203864090606,0.0591830105544803
vicsek,rho_2,2,200,1,2000013,13,3000,0.07433149170178942,1.0,1500,0.9107363202736328,0.02931880069298369,0.9794970019986675,0.06461047759558232
vicsek,rho_2,2,200,1,2000014,14,3000,0.06511094034737196,0.985,1500,0.9430183474514549,0.010468387697283685,0.999983344437042,0.00028809791219773045
vicsek,rho_2,2,200,1,2000015,15,3000,0.014880672676871489,1.0,1500,0.932615005244795,0.017525661740929677,0.9804497001998668,0.01723609332093794
vicsek,rho_2,2,200,1,2000016,16,3000,0.05752942913651521,1.0,1500,0.9342100298048623,0.019736949608656493,0.9777581612258495,0.07955020627338372
vicsek,rho_2,2,200,1,2000017,17,3000,0.08843775715301282,0.895,1500,0.929015189683984,0.033065913182114014,0.9800366422385077,0.05725582797026181
vicsek,rho_2,2,200,1,2000018,18,3000,0.13722296147379423,1.0,1500,0.9369163137685103,0.021483429303573904,0.9868254497001998,0.026576204559375666
vicsek,rho_2,2,200,1,2000019,19,3000,0.06085340757939123,1.0,1500,0.9310877638138098,0.018450650299805256,0.990919387075283,0.010991221918023441
vicsek,rho_2,2,200,3,2000100,0,3000,0.06424982827105304,0.995,1500,0.3995839682196564,0.1626300163170334,0.9481412391738842,0.10600967253549415
vicsek,rho_2,2,200,3,2000101,1,3000,0.06908625791310502,1.0,1500,0.41583459689599933,0.14896450552432303,0.9323351099267155,0.11777837575693006
vicsek,rho_2,2,200,3,2000102,2,3000,0.02419991049903814,1.0,1500,0.4841800006531883,0.10582863363995854,0.9537974683544302,0.05518097190589806
vicsek,rho_2,2,200,3,2000103,3,3000,0.06739911920846395,0.96,1500,0.47911840002102996,0.11087958402053462,0.9313124583610926,0.06298331820758155
vicsek,rho_2,2,200,3,2000104,4,3000,0.10481904975697982,1.0,1500,0.5163700533546469,0.0854835550501655,0.9465023317788142,0.08447958507451928
vicsek,rho_2,2,200,3,2000105,5,3000,0.09004217950996864,1.0,1500,0.5614860474706322,0.06701185934275798,0.962711525649567,0.03449033205214851
vicsek,rho_2,2,200,3,2000106,6,3000,0.06555424737231214,0.99,1500,0.47735142424240307,0.1312395720717588,0.9077981345769487,0.1495113021487152
vicsek,rho_2,2,200,3,2000107,7,3000,0.10568906413738682,0.995,1500,0.43714746541849037,0.12870376744229628,0.9172485009993337,0.1266856662533774
vicsek,rho_2,2,200,3,2000108,8,3000,0.02699852513497988,1.0,1500,0.5688173383839239,0.054227911386163445,0.9489373750832778,0.03518940956890315
vicsek,rho_2,2,200,3,2000109,9,3000,0.054456944049265876,0.965,1500,0.4647753463430424,0.11803390331044603,0.9085842771485677,0.09512226638517557
vicsek,rho_2,2,200,3,2000110,10,3000,0.03582588634160203,0.98,1500,0.3740503747880408,0.13515964657487126,0.9144437041972018,0.13101817871285756
vicsek,rho_2,2,200,3,2000111,11,3000,0.0767805263916172,0.975,1500,0.4537051198121433,0.10651511948406109,0.9497335109926716,0.08591318226174889
vicsek,rho_2,2,200,3,2000112,12,3000,0.05632591590422681,1.0,1500,0.5005599396297775,0.08905365632560276,0.9565256495669553,0.04096728730635725
vicsek,rho_2,2,200,3,2000113,13,3000,0.04825221737156353,0.995,1500,0.46332252598495255,0.16763907860830213,0.9146502331778815,0.09280222382275091
vicsek,rho_2,2,200,3,2000114,14,3000,0.10101260783579422,1.0,1500,0.4134203169395625,0.1645336945373381,0.8830379746835444,0.18668332575304955
vicsek,rho_2,2,200,3,2000115,15,3000,0.009980473697949147,1.0,1500,0.514157890440516,0.07864608615215532,0.9492604930046635,0.038131134818261456
vicsek,rho_2,2,200,3,2000116,16,3000,0.03167969056726715,0.995,1500,0.48423826470641235,0.09601203010598885,0.9260592938041305,0.09932052877901422
vicsek,rho_2,2,200,3,2000117,17,3000,0.026401842781050972,0.995,1500,0.47596579949263634,0.10507358904979563,0.924450366422385,0.10093688885228329
vicsek,rho_2,2,200,3,2000118,18,3000,0.0988340720013208,0.99,1500,0.48654937045121405,0.0920994175388924,0.9188774150566289,0.08215345095152597
vicsek,rho_2,2,200,3,2000119,19,3000,0.03354833268332192,0.98,1500,0.5118063301230759,0.07719287138461094,0.9481745502998001,0.07443233211339283
vicsek,rho_2,2,200,5,2000200,0,3000,0.06291256325526093,1.0,1500,0.0762548480832124,0.0411831237594226,0.987618254497002,0.016938582078870307
vicsek,rho_2,2,200,5,2000201,1,3000,0.026887325457277567,1.0,1500,0.07842900985340849,0.039870376313597314,0.9772751499000666,0.027581329836633032
vicsek,rho_2,2,200,5,2000202,2,3000,0.08021562560154903,0.935,1500,0.07746818442735698,0.03986131136297427,0.9851165889407063,0.012065350506099182
vicsek,rho_2,2,200,5,2000203,3,3000,0.1008866672537065,1.0,1500,0.07350968149100558,0.038771911671050055,0.9949100599600266,0.011283779934194636
vicsek,rho_2,2,200,5,2000204,4,3000,0.060798368173980204,0.96,1500,0.0762029111702658,0.038795171734945434,0.9913357761492337,0.016715608618878476
vicsek,rho_2,2,200,5,2000205,5,3000,0.051801887032238376,1.0,1500,0.07744585742589517,0.03909675837513847,0.9905029980013323,0.02644926807717214
vicsek,rho_2,2,200,5,2000206,6,3000,0.02717341562845094,0.99,1500,0.07559166983023853,0.03857684906455708,0.9845736175882746,0.026485538588723743
vicsek,rho_2,2,200,5,2000207,7,3000,0.01461578110759717,0.995,1500,0.07493816583230441,0.03755577726172983,0.9477748167888074,0.11115848049905372
vicsek,rho_2,2,200,5,2000208,8,3000,0.06089544255814922,0.985,1500,0.0774973816377153,0.03970282379120836,0.9639207195203198,0.052370213711859105
vicsek,rho_2,2,200,5,2000209,9,3000,0.02207024534999646,0.995,1500,0.07724263967041683,0.040021614423757,0.9782511658894071,0.02502409645463512
vicsek,rho_2,2,200,5,2000210,10,3000,0.12566726277729515,0.99,1500,0.07650779916920913,0.040359335881241326,0.9890273151232511,0.021687316422068083
vicsek,rho_2,2,200,5,2000211,11,3000,0.05768713895385167,0.995,1500,0.07507351020939404,0.03974165820148899,0.9828447701532311,0.04437104192364139
vicsek,rho_2,2,200,5,2000212,12,3000,0.022413752310628955,0.99,1500,0.07502770012419262,0.039124887326926164,0.990786142571619,0.013194651768303778
vicsek,rho_2,2,200,5,2000213,13,3000,0.041529254976204834,0.99,1500,0.0755086987989508,0.03983390886309623,0.99190872751499,0.02022700116335409
vicsek,rho_2,2,200,5,2000214,14,3000,0.055610456913572096,0.955,1500,0.07607720731359738,0.039668421064726754,0.9904063957361758,0.028770058305421578
vicsek,rho_2,2,200,5,2000215,15,3000,0.02519878124984459,0.99,1500,0.07929723715481979,0.04309439612346349,0.9851232511658895,0.025287187225899104
vicsek,rho_2,2,200,5,2000216,16,3000,0.03292952800987805,1.0,1500,0.07616054488324298,0.039357698696655695,0.9804963357761491,0.03206272198577481
vicsek,rho_2,2,200,5,2000217,17,3000,0.04764139408153696,1.0,1500,0.0780819033972707,0.03969485744814089,0.960896069287142,0.0522066040350192
vicsek,rho_2,2,200,5,2000218,18,3000,0.06756806183046303,0.995,1500,0.07561622684486052,0.03818333210313594,0.9914823451032644,0.022753154742357624
vicsek,rho_2,2,200,5,2000219,19,3000,0.05125461330787295,0.995,1500,0.07287406028505063,0.03804465279624347,0.9932878081279147,0.012244719507687636
vicsek,rho_4,4,400,1,2030000,0,3000,0.068225391981828,1.0,1500,0.9491743451105772,0.005069318205498786,0.9974999999999999,0.002227859457302531
vicsek,rho_4,4,400,1,2030001,1,3000,0.067316415598331,1.0,1500,0.9499935052508187,0.0053854736508566255,0.9999633577614923,0.00030043791809007344
vicsek,rho_4,4,400,1,2030002,2,3000,0.07834052230061926,1.0,1500,0.942684067552556,0.01036175830541976,0.9996435709526982,0.0012767616168696042
vicsek,rho_4,4,400,1,2030003,3,3000,0.07586593882402236,1.0,1500,0.9455777041062206,0.007244598795314019,0.9993520986009327,0.0017791384723517528
vicsek,rho_4,4,400,1,2030004,4,3000,0.04847191854629138,1.0,1500,0.941684120406026,0.010953699078415039,0.9981745502998002,0.009859886762516852
vicsek,rho_4,4,400,1,2030005,5,3000,0.022797765448731987,1.0,1500,0.9522593282858072,0.004470034170084571,0.9956195869420386,0.008466191892413214
vicsek,rho_4,4,400,1,2030006,6,3000,0.025921040132967314,1.0,1500,0.9443162521459681,0.006583894317371447,0.999983344437042,0.00020337526795955146
vicsek,rho_4,4,400,1,2030007,7,3000,0.030815940278251405,1.0,1500,0.9488294934980027,0.005023161132428483,0.9991922051965356,0.0017675170313829558
vicsek,rho_4,4,400,1,2030008,8,3000,0.04593991258115548,1.0,1500,0.9430800739213783,0.008156148779388887,0.9997168554297136,0.0008530087665326877
vicsek,rho_4,4,400,1,2030009,9,3000,0.048612681991896826,1.0,1500,0.9492931908506188,0.004873710908985834,0.9988141239173884,0.003535688474207407
vicsek,rho_4,4,400,1,2030010,10,3000,0.030753334532288443,1.0,1500,0.9448717409758367,0.007717268354570085,0.999240506329114,0.002813806402807101
vicsek,rho_4,4,400,1,2030011,11,3000,0.05833571354831789,1.0,1500,0.9464914845346847,0.009153855740156681,0.9998984010659561,0.0005861811746032234
vicsek,rho_4,4,400,1,2030012,12,3000,0.09587038529912113,1.0,1500,0.9358372048139456,0.015606261703979314,0.9998301132578282,0.0006487208141419258
vicsek,rho_4,4,400,1,2030013,13,3000,0.046315623460623276,1.0,1500,0.9457220856287565,0.007632259192308704,0.9951132578281146,0.006447308398788419
vicsek,rho_4,4,400,1,2030014,14,3000,0.04606252044288536,1.0,1500,0.9402264355952197,0.011098090884053767,0.9989273817455031,0.003218459893196919
vicsek,rho_4,4,400,1,2030015,15,3000,0.07058115489064279,1.0,1500,0.9456086196613576,0.00777287083400473,0.9988324450366421,0.002189796751132281
vicsek,rho_4,4,400,1,2030016,16,3000,0.04234583145599947,1.0,1500,0.9456953025041921,0.007027892088854743,0.9969187208527648,0.0041868090135823
vicsek,rho_4,4,400,1,2030017,17,3000,0.04385164982598662,1.0,1500,0.9460612088043201,0.006681022382568188,0.99836109260493,0.004126238154931337
vicsek,rho_4,4,400,1,2030018,18,3000,0.05666041335598357,1.0,1500,0.9403804934283406,0.0094404918182721,0.9993587608261159,0.0021286969323206337
