model,rho_nominal,rho_label,N,eta,eta_index,steps,base_seed,realization,returncode,elapsed_s
vicsek,2.0,rho_2,200,1.0,0,3000,2000000,0,0,1.331
vicsek,2.0,rho_2,200,1.0,0,3000,2000001,1,0,1.3033
vicsek,2.0,rho_2,200,1.0,0,3000,2000002,2,0,1.3946
vicsek,2.0,rho_2,200,1.0,0,3000,2000003,3,0,1.3696
vicsek,2.0,rho_2,200,1.0,0,3000,2000004,4,0,1.3269
vicsek,2.0,rho_2,200,1.0,0,3000,2000005,5,0,1.3033
vicsek,2.0,rho_2,200,1.0,0,3000,2000006,6,0,1.292
vicsek,2.0,rho_2,200,1.0,0,3000,2000007,7,0,1.3619
vicsek,2.0,rho_2,200,1.0,0,3000,2000008,8,0,1.5208
vicsek,2.0,rho_2,200,1.0,0,3000,2000009,9,0,1.4174
vicsek,2.0,rho_2,200,1.0,0,3000,2000010,10,0,1.3488
vicsek,2.0,rho_2,200,1.0,0,3000,2000011,11,0,1.4096
vicsek,2.0,rho_2,200,1.0,0,3000,2000012,12,0,1.3103
vicsek,2.0,rho_2,200,1.0,0,3000,2000013,13,0,1.2928
vicsek,2.0,rho_2,200,1.0,0,3000,2000014,14,0,1.4175
vicsek,2.0,rho_2,200,1.0,0,3000,2000015,15,0,1.3714
vicsek,2.0,rho_2,200,1.0,0,3000,2000016,16,0,1.3681
vicsek,2.0,rho_2,200,1.0,0,3000,2000017,17,0,1.3619
vicsek,2.0,rho_2,200,1.0,0,3000,2000018,18,0,1.3412
vicsek,2.0,rho_2,200,1.0,0,3000,2000019,19,0,1.4122
vicsek,2.0,rho_2,200,3.0,1,3000,2000100,0,0,1.3818
vicsek,2.0,rho_2,200,3.0,1,3000,2000101,1,0,1.4842
vicsek,2.0,rho_2,200,3.0,1,3000,2000102,2,0,1.5046
vicsek,2.0,rho_2,200,3.0,1,3000,2000103,3,0,1.5053
vicsek,2.0,rho_2,200,3.0,1,3000,2000104,4,0,1.5597
vicsek,2.0,rho_2,200,3.0,1,3000,2000105,5,0,1.6873
vicsek,2.0,rho_2,200,3.0,1,3000,2000106,6,0,1.4467
vicsek,2.0,rho_2,200,3.0,1,3000,2000107,7,0,1.356
vicsek,2.0,rho_2,200,3.0,1,3000,2000108,8,0,1.6452
vicsek,2.0,rho_2,200,3.0,1,3000,2000109,9,0,1.5584
vicsek,2.0,rho_2,200,3.0,1,3000,2000110,10,0,1.4921
vicsek,2.0,rho_2,200,3.0,1,3000,2000111,11,0,1.4001
vicsek,2.0,rho_2,200,3.0,1,3000,2000112,12,0,1.4956
vicsek,2.0,rho_2,200,3.0,1,3000,2000113,13,0,1.5244
vicsek,2.0,rho_2,200,3.0,1,3000,2000114,14,0,1.4435
vicsek,2.0,rho_2,200,3.0,1,3000,2000115,15,0,1.5511
vicsek,2.0,rho_2,200,3.0,1,3000,2000116,16,0,1.49
vicsek,2.0,rho_2,200,3.0,1,3000,2000117,17,0,1.4626
vicsek,2.0,rho_2,200,3.0,1,3000,2000118,18,0,1.5457
vicsek,2.0,rho_2,200,3.0,1,3000,2000119,19,0,1.5426
vicsek,2.0,rho_2,200,5.0,2,3000,2000200,0,0,1.2238
vicsek,2.0,rho_2,200,5.0,2,3000,2000201,1,0,1.2041
vicsek,2.0,rho_2,200,5.0,2,3000,2000202,2,0,1.2155
vicsek,2.0,rho_2,200,5.0,2,3000,2000203,3,0,1.2096
vicsek,2.0,rho_2,200,5.0,2,3000,2000204,4,0,1.2068
vicsek,2.0,rho_2,200,5.0,2,3000,2000205,5,0,1.2326
vicsek,2.0,rho_2,200,5.0,2,3000,2000206,6,0,1.221
vicsek,2.0,rho_2,200,5.0,2,3000,2000207,7,0,1.2524
vicsek,2.0,rho_2,200,5.0,2,3000,2000208,8,0,1.2325
vicsek,2.0,rho_2,200,5.0,2,3000,2000209,9,0,1.2175
vicsek,2.0,rho_2,200,5.0,2,3000,2000210,10,0,1.2298
vicsek,2.0,rho_2,200,5.0,2,3000,2000211,11,0,1.1961
vicsek,2.0,rho_2,200,5.0,2,3000,2000212,12,0,1.219
vicsek,2.0,rho_2,200,5.0,2,3000,2000213,13,0,1.2103
vicsek,2.0,rho_2,200,5.0,2,3000,2000214,14,0,1.2015
vicsek,2.0,rho_2,200,5.0,2,3000,2000215,15,0,1.2503
vicsek,2.0,rho_2,200,5.0,2,3000,2000216,16,0,1.2196
vicsek,2.0,rho_2,200,5.0,2,3000,2000217,17,0,1.2304
vicsek,2.0,rho_2,200,5.0,2,3000,2000218,18,0,1.2197
vicsek,2.0,rho_2,200,5.0,2,3000,2000219,19,0,1.1955
vicsek,4.0,rho_4,400,1.0,0,3000,2030000,0,0,3.4725
vicsek,4.0,rho_4,400,1.0,0,3000,2030001,1,0,3.5407
vicsek,4.0,rho_4,400,1.0,0,3000,2030002,2,0,3.1401
vicsek,4.0,rho_4,400,1.0,0,3000,2030003,3,0,3.0444
vicsek,4.0,rho_4,400,1.0,0,3000,2030004,4,0,3.4573
vicsek,4.0,rho_4,400,1.0,0,3000,2030005,5,0,4.8509
vicsek,4.0,rho_4,400,1.0,0,3000,2030006,6,0,3.2528
vicsek,4.0,rho_4,400,1.0,0,3000,2030007,7,0,3.4822
vicsek,4.0,rho_4,400,1.0,0,3000,2030008,8,0,3.1358
vicsek,4.0,rho_4,400,1.0,0,3000,2030009,9,0,3.8446
vicsek,4.0,rho_4,400,1.0,0,3000,2030010,10,0,3.3138
vicsek,4.0,rho_4,400,1.0,0,3000,2030011,11,0,3.1725
vicsek,4.0,rho_4,400,1.0,0,3000,2030012,12,0,3.3012
vicsek,4.0,rho_4,400,1.0,0,3000,2030013,13,0,3.2688
vicsek,4.0,rho_4,400,1.0,0,3000,2030014,14,0,3.2929
vicsek,4.0,rho_4,400,1.0,0,3000,2030015,15,0,3.1684
vicsek,4.0,rho_4,400,1.0,0,3000,2030016,16,0,3.4353
vicsek,4.0,rho_4,400,1.0,0,3000,2030017,17,0,3.2061
vicsek,4.0,rho_4,400,1.0,0,3000,2030018,18,0,3.2115
vicsek,4.0,rho_4,400,1.0,0,3000,2030019,19,0,3.5176
vicsek,4.0,rho_4,400,3.0,1,3000,2030100,0,0,3.6145
vicsek,4.0,rho_4,400,3.0,1,3000,2030101,1,0,3.7147
vicsek,4.0,rho_4,400,3.0,1,3000,2030102,2,0,3.8972
vicsek,4.0,rho_4,400,3.0,1,3000,2030103,3,0,3.5937
vicsek,4.0,rho_4,400,3.0,1,3000,2030104,4,0,3.6827
vicsek,4.0,rho_4,400,3.0,1,3000,2030105,5,0,3.6454
vicsek,4.0,rho_4,400,3.0,1,3000,2030106,6,0,3.3798
vicsek,4.0,rho_4,400,3.0,1,3000,2030107,7,0,3.6521
vicsek,4.0,rho_4,400,3.0,1,3000,2030108,8,0,3.7692
vicsek,4.0,rho_4,400,3.0,1,3000,2030109,9,0,3.7909
vicsek,4.0,rho_4,400,3.0,1,3000,2030110,10,0,3.5684
vicsek,4.0,rho_4,400,3.0,1,3000,2030111,11,0,3.9699
vicsek,4.0,rho_4,400,3.0,1,3000,2030112,12,0,3.6913
vicsek,4.0,rho_4,400,3.0,1,3000,2030113,13,0,3.5065
vicsek,4.0,rho_4,400,3.0,1,3000,2030114,14,0,3.4371
vicsek,4.0,rho_4,400,3.0,1,3000,2030115,15,0,4.089
vicsek,4.0,rho_4,400,3.0,1,3000,2030116,16,0,4.3648
vicsek,4.0,rho_4,400,3.0,1,3000,2030117,17,0,3.8156
vicsek,4.0,rho_4,400,3.0,1,3000,2030118,18,0,4.3081
vicsek,4.0,rho_4,400,3.0,1,3000,2030119,19,0,3.6997
vicsek,4.0,rho_4,400,5.0,2,3000,2030200,0,0,2.9172
vicsek,4.0,rho_4,400,5.0,2,3000,2030201,1,0,2.9314
vicsek,4.0,rho_4,400,5.0,2,3000,2030202,2,0,2.9837
vicsek,4.0,rho_4,400,5.0,2,3000,2030203,3,0,2.8664
vicsek,4.0,rho_4,400,5.0,2,3000,2030204,4,0,2.9496
vicsek,4.0,rho_4,400,5.0,2,3000,2030205,5,0,2.9469
vicsek,4.0,rho_4,400,5.0,2,3000,2030206,6,0,2.9372
vicsek,4.0,rho_4,400,5.0,2,3000,2030207,7,0,2.9323
vicsek,4.0,rho_4,400,5.0,2,3000,2030208,8,0,2.9669
vicsek,4.0,rho_4,400,5.0,2,3000,2030209,9,0,2.9394
