model,rho_label,eta,t,realizations,va_mean,va_stdev,va_stderr,S_mean,S_stdev,S_stderr
vicsek,rho_2,1,0,20,0.06129831238652293,0.041494502479850245,0.009278452823747875,0.9894999999999999,0.024336187047275915,0.005441736855085883
vicsek,rho_2,1,10,20,0.30691558960939336,0.1598651350597841,0.03574693092258622,0.9984999999999999,0.0027838821814150133,0.0006224949798994371
vicsek,rho_2,1,20,20,0.40292468763340017,0.20600083831588617,0.046063187789626474,0.99475,0.017498214194597107,0.003912719642397086
vicsek,rho_2,1,30,20,0.44272820479644964,0.23902111857878602,0.05344674692002035,0.99225,0.01873999733191016,0.004190390793231581
vicsek,rho_2,1,40,20,0.4934275400654336,0.26057683803617654,0.05826675232108435,0.99025,0.019904459299363048,0.004450772404875361
vicsek,rho_2,1,50,20,0.5616531329467517,0.2680546859849368,0.059938849954967885,0.9875,0.02112463017427761,0.004723610906922797
vicsek,rho_2,1,60,20,0.6076501284473435,0.26003220794333687,0.0581449693300662,0.9887499999999999,0.02084916065456833,0.004662014049742879
vicsek,rho_2,1,70,20,0.6673641988639089,0.2343730131219328,0.05240739894320919,0.99,0.019874606914351788,0.0044440972086577935
vicsek,rho_2,1,80,20,0.7207822591343651,0.20090976551439094,0.04492478930337211,0.99325,0.01371814491831896,0.0030674704562554493
vicsek,rho_2,1,90,20,0.7500646527112859,0.18093249089102859,0.04045773489707014,0.99075,0.01719556628901766,0.003845045513384728
vicsek,rho_2,1,100,20,0.791985016862484,0.15017862299988838,0.03358096097950638,0.99125,0.016422164899915007,0.0036721077053920984
vicsek,rho_2,1,110,20,0.8163596249094296,0.1280953662296863,0.02864299464923095,0.99125,0.01556237449748593,0.0034798527267687666
vicsek,rho_2,1,120,20,0.8446794837620535,0.09831974153436471,0.021984962560104897,0.99175,0.013534677683639175,0.0030264459354166586
vicsek,rho_2,1,130,20,0.8688585530292364,0.08304679622527539,0.01856982816732887,0.992,0.014265342617687119,0.003189827581547319
vicsek,rho_2,1,140,20,0.8845705943625022,0.06470261472245459,0.014467944484138713,0.992,0.013171939872319502,0.0029453352950046304
vicsek,rho_2,1,150,20,0.8914469760086705,0.06160107597492084,0.013774419336705212,0.9945,0.012237238250520428,0.002736329658502428
vicsek,rho_2,1,160,20,0.8963170295208969,0.06443509787178553,0.014408125897816447,0.99225,0.013827056809024846,0.0030918238953730882
vicsek,rho_2,1,170,20,0.8979033663373098,0.06401299791683408,0.014313741478559343,0.993,0.013076696830622032,0.0029240383034426914
vicsek,rho_2,1,180,20,0.8960165663687985,0.07252467724176488,0.016217010835881823,0.97525,0.058341130431283215,0.013045473352853089
vicsek,rho_2,1,190,20,0.9006004749512954,0.06582337300935555,0.01471855365572439,0.976,0.058493589392342824,0.013079564212923916
vicsek,rho_2,1,200,20,0.90914392241756,0.05019764011244482,0.01122453356014968,0.9775,0.05898092912119985,0.01318853668910998
vicsek,rho_2,1,210,20,0.9073309852921495,0.04543745308358826,0.010160123381936077,0.97575,0.05880635594899586,0.013149500941100388
vicsek,rho_2,1,220,20,0.9109413387431365,0.035572953025179745,0.00795435411247087,0.9807499999999999,0.05880635594899586,0.013149500941100388
vicsek,rho_2,1,230,20,0.9171346110816703,0.03119204666847177,0.006974753670804872,0.9804999999999999,0.05873457244247208,0.013133449661075342
vicsek,rho_2,1,240,20,0.9216393070687896,0.0232045429840697,0.005188693549919567,0.978,0.05891519328662175,0.013173837709642549
vicsek,rho_2,1,250,20,0.9209932436368685,0.030217005942358193,0.006756727936362801,0.9807499999999999,0.058593408332337185,0.013101884406450853
vicsek,rho_2,1,260,20,0.9218304848417297,0.026737243410158543,0.005978629379607279,0.9672499999999999,0.0890572147554593,0.01991379860800043
vicsek,rho_2,1,270,20,0.9232749594765826,0.023159166647414513,0.005178547092586475,0.9817500000000001,0.07068017756061454,0.015804568168728935
vicsek,rho_2,1,280,20,0.9211954598521416,0.022705058319024248,0.005077005383443532,0.9810000000000001,0.06278136666241028,0.014038340357748848
vicsek,rho_2,1,290,20,0.9244016925706179,0.0267798184434561,0.005988149446467044,0.9797499999999999,0.06303719140317088,0.014095544508815543
