model,rho_label,rho_nominal,N,eta,base_seed,realization,steps,va_t0,S_t0,t_window_start,va_window_mean,va_window_stdev,S_window_mean,S_window_stdev
voter,rho_2,2,200,0,970000,0,5000,0.06382040686889973,0.955,3750,0.9999999999999991,0.0,1.0,0.0
voter,rho_2,2,200,0,970001,1,5000,0.08400703720084239,0.995,3750,0.9999999999999998,0.0,1.0,0.0
voter,rho_2,2,200,0,970002,2,5000,0.05249917898265198,0.995,3750,0.9999999999999998,0.0,1.0,0.0
voter,rho_2,2,200,0,970003,3,5000,0.034258537438866185,0.99,3750,0.9999999999999994,0.0,1.0,0.0
voter,rho_2,2,200,0,970004,4,5000,0.021339561933214294,0.99,3750,1.0000000000000029,0.0,1.0,0.0
voter,rho_2,2,200,0,970005,5,5000,0.028762152258839598,1.0,3750,0.9999999999999986,0.0,1.0,0.0
voter,rho_2,2,200,0,970006,6,5000,0.05752867411243205,1.0,3750,1.0000000000000038,0.0,1.0,0.0
voter,rho_2,2,200,0,970007,7,5000,0.013253898978328873,1.0,3750,0.9999999999999972,0.0,1.0,0.0
voter,rho_2,2,200,0,970008,8,5000,0.10373745615327269,0.995,3750,0.9999999999999978,0.0,1.0,0.0
voter,rho_2,2,200,0,970009,9,5000,0.04565105835364104,0.925,3750,0.999999999999996,0.0,0.865,0.0
voter,rho_2,2,200,0,970010,10,5000,0.10538088582265434,1.0,3750,1.0000000000000013,0.0,1.0,0.0
voter,rho_2,2,200,0,970011,11,5000,0.04478774708894154,0.985,3750,0.9999999999999978,0.0,0.9600000000000001,0.0
voter,rho_2,2,200,0,970012,12,5000,0.06275085339491111,1.0,3750,1.000000000000004,0.0,0.9849999999999999,0.0
voter,rho_2,2,200,0,970013,13,5000,0.01629777969808401,1.0,3750,0.9999999999999958,0.0,1.0,0.0
voter,rho_2,2,200,0,970014,14,5000,0.026463725511464416,1.0,3750,1.0000000000000016,0.0,1.0,0.0
voter,rho_2,2,200,0,970015,15,5000,0.029920665198043452,1.0,3750,1.0000000000000029,0.0,1.0,0.0
voter,rho_2,2,200,0,970016,16,5000,0.058573543353691644,1.0,3750,1.0000000000000009,0.0,1.0,0.0
voter,rho_2,2,200,0,970017,17,5000,0.08527233156034983,1.0,3750,0.9999999999999972,0.0,0.9849999999999999,0.0
voter,rho_2,2,200,0,970018,18,5000,0.04091182756490612,0.935,3750,1.000000000000002,0.0,0.955,0.0
voter,rho_2,2,200,0,970019,19,5000,0.0323852302955382,0.985,3750,1.0000000000000024,0.0,1.0,0.0
voter,rho_2,2,200,0.050000000000000003,970100,0,5000,0.09778967705894115,0.99,3750,0.9762416714775879,0.011970985738473475,1.0,0.0
voter,rho_2,2,200,0.050000000000000003,970101,1,5000,0.07962718156548156,0.995,3750,0.9839830264408302,0.00922880269914953,0.9919104716227017,0.020647666148102647
voter,rho_2,2,200,0.050000000000000003,970102,2,5000,0.09056671981377754,0.99,3750,0.9851172522760159,0.013250698095553237,1.0,0.0
voter,rho_2,2,200,0.050000000000000003,970103,3,5000,0.1364369777218602,1.0,3750,0.9665929227916188,0.016829426221344996,1.0,0.0
voter,rho_2,2,200,0.050000000000000003,970104,4,5000,0.023401443412330546,0.995,3750,0.9779839708186514,0.013042553547006317,0.988029576338929,0.028129367491786524
voter,rho_2,2,200,0.050000000000000003,970105,5,5000,0.10536243325991199,1.0,3750,0.9630445127475582,0.028847416315416662,0.9775539568345324,0.07302154729417576
voter,rho_2,2,200,0.050000000000000003,970106,6,5000,0.05179169039676408,0.78,3750,0.9840583893146768,0.016988688292243634,0.9858792965627499,0.047133946703827784
voter,rho_2,2,200,0.050000000000000003,970107,7,5000,0.013491148354454585,1.0,3750,0.9706940260802198,0.02641445893423066,0.9997082334132694,0.0020618930705173025
voter,rho_2,2,200,0.050000000000000003,970108,8,5000,0.06955941107841727,0.985,3750,0.9834556649453858,0.010765558144013906,1.0,0.0
voter,rho_2,2,200,0.050000000000000003,970109,9,5000,0.041765371387814276,1.0,3750,0.9737688567707934,0.02563810519429261,0.9857593924860112,0.01731539786744693
voter,rho_2,2,200,0.050000000000000003,970110,10,5000,0.004316958393097633,1.0,3750,0.9595454026037319,0.02768747362344067,0.9519944044764188,0.07756716983361112
voter,rho_2,2,200,0.050000000000000003,970111,11,5000,0.06445190927349187,1.0,3750,0.9778376927286632,0.013960078091842045,0.9898800959232613,0.014183957972997803
voter,rho_2,2,200,0.050000000000000003,970112,12,5000,0.027154772160673527,1.0,3750,0.986039127223684,0.005897655109833741,0.9981574740207834,0.0038691608611827965
voter,rho_2,2,200,0.050000000000000003,970113,13,5000,0.06172650261105674,0.985,3750,0.9346542002252345,0.051834103240431535,0.9960551558752998,0.006603852413729555
voter,rho_2,2,200,0.050000000000000003,970114,14,5000,0.03356537485722521,1.0,3750,0.977206553847836,0.02259918138450472,0.9951958433253397,0.004996163066986498
voter,rho_2,2,200,0.050000000000000003,970115,15,5000,0.07859847024728835,1.0,3750,0.955922238388167,0.04626032644726713,0.999996003197442,0.00014130830958963793
voter,rho_2,2,200,0.050000000000000003,970116,16,5000,0.008723397017330721,0.995,3750,0.9857568490839088,0.0086937086902414,0.9896123101518784,0.012521347731762479
voter,rho_2,2,200,0.050000000000000003,970117,17,5000,0.07317910989960075,1.0,3750,0.9867663214373592,0.008142012041580654,0.9973780975219825,0.006750087181371589
voter,rho_2,2,200,0.050000000000000003,970118,18,5000,0.07534779474382419,0.985,3750,0.986828013731232,0.010432979177364469,0.9490647482014388,0.06543591610899116
voter,rho_2,2,200,0.050000000000000003,970119,19,5000,0.04092176198179124,0.965,3750,0.9897521609251209,0.0051100236334333925,0.9978657074340527,0.005240151117301009
voter,rho_2,2,200,0.10000000000000001,970200,0,5000,0.06935348062532679,1.0,3750,0.9562479556888533,0.021363381461202827,1.0,0.0
voter,rho_2,2,200,0.10000000000000001,970201,1,5000,0.11768486561578172,0.965,3750,0.8877344390615216,0.0707846346898625,0.9752238209432453,0.048799229218204676
voter,rho_2,2,200,0.10000000000000001,970202,2,5000,0.02415815288115897,0.985,3750,0.925962162417113,0.05440460640691501,0.9999800159872102,0.00031546902095397496
voter,rho_2,2,200,0.10000000000000001,970203,3,5000,0.12128044105693613,1.0,3750,0.9514099235759795,0.025503704225797997,0.9763189448441247,0.039852082029074885
voter,rho_2,2,200,0.10000000000000001,970204,4,5000,0.035218683152699104,1.0,3750,0.9346181055075372,0.025850166012953337,0.9704156674660271,0.054861455129507755
voter,rho_2,2,200,0.10000000000000001,970205,5,5000,0.04026560445013974,0.99,3750,0.7409158925362623,0.15006440599628454,0.9875459632294166,0.026145477943192087
voter,rho_2,2,200,0.10000000000000001,970206,6,5000,0.085892546784643,0.99,3750,0.9516793792963225,0.03936830904100263,0.9989048760991208,0.0031228100567463105
voter,rho_2,2,200,0.10000000000000001,970207,7,5000,0.02446598362311403,1.0,3750,0.9420273779868,0.035446548738919184,0.9914948041566746,0.01519930780711288
voter,rho_2,2,200,0.10000000000000001,970208,8,5000,0.04381590758943306,0.995,3750,0.9700697975876206,0.016766372437805033,0.999996003197442,0.00014130830958963793
voter,rho_2,2,200,0.10000000000000001,970209,9,5000,0.08135289616108982,0.975,3750,0.8649726224861921,0.10533428846658946,0.9774820143884891,0.042119300182940744
voter,rho_2,2,200,0.10000000000000001,970210,10,5000,0.057691663118,1.0,3750,0.8547417592294271,0.09913716719261749,0.9637290167865707,0.051190691730202915
voter,rho_2,2,200,0.10000000000000001,970211,11,5000,0.05437338704463818,0.99,3750,0.8805995288349009,0.117638158593051,0.9921902478017586,0.008044079254315283
voter,rho_2,2,200,0.10000000000000001,970212,12,5000,0.0487068360599977,0.985,3750,0.946632535017118,0.03616468728745012,1.0,0.0
voter,rho_2,2,200,0.10000000000000001,970213,13,5000,0.08300179591275293,1.0,3750,0.9355915071079177,0.042529779211639474,0.9980775379696243,0.003938118336557574
voter,rho_2,2,200,0.10000000000000001,970214,14,5000,0.022980843421403784,1.0,3750,0.8970248320588922,0.09180515881964132,0.9756434852118305,0.041935649709410015
voter,rho_2,2,200,0.10000000000000001,970215,15,5000,0.044601313692895835,0.99,3750,0.9339307095487868,0.046879224487815216,0.976974420463629,0.020278303121855835
voter,rho_2,2,200,0.10000000000000001,970216,16,5000,0.009365291286074228,1.0,3750,0.9265030096287146,0.050502169598650164,0.9826139088729017,0.023812357961259318
voter,rho_2,2,200,0.10000000000000001,970217,17,5000,0.031136440512059518,0.96,3750,0.9453570341698215,0.039824696927999885,0.9952238209432455,0.012591387123147526
voter,rho_2,2,200,0.10000000000000001,970218,18,5000,0.06946085823876111,1.0,3750,0.9202930116240309,0.07086444467521133,0.9795203836930456,0.04160462748481401
voter,rho_2,2,200,0.10000000000000001,970219,19,5000,0.07263633810219382,0.99,3750,0.9379789638470688,0.042917782180375286,0.9707314148681055,0.051211975856625916
voter,rho_2,2,200,0.14999999999999999,970300,0,5000,0.07464365864725392,1.0,3750,0.7440620369180461,0.14606133166154003,0.9643764988009592,0.05251137952166542
voter,rho_2,2,200,0.14999999999999999,970301,1,5000,0.03321950532089027,1.0,3750,0.7694653356153561,0.2383433588859008,0.9969784172661871,0.006016126560330805
voter,rho_2,2,200,0.14999999999999999,970302,2,5000,0.05987018470360285,0.975,3750,0.8720431945715396,0.044873763165775675,0.9989128697042367,0.004507875939045352
voter,rho_2,2,200,0.14999999999999999,970303,3,5000,0.03231095090126561,0.995,3750,0.8978899561862108,0.05442629266964529,0.9848601119104716,0.03151072951881025
voter,rho_2,2,200,0.14999999999999999,970304,4,5000,0.07330543275162156,1.0,3750,0.8782094352502549,0.07205134513645263,0.9426099120703436,0.08146271521681478
voter,rho_2,2,200,0.14999999999999999,970305,5,5000,0.04021103225065894,0.99,3750,0.8446351680199614,0.09999292227790928,0.9717665867306156,0.04938183696464389
voter,rho_2,2,200,0.14999999999999999,970306,6,5000,0.04350500230240204,1.0,3750,0.8567412327837903,0.09948084940574528,0.9849160671462829,0.019656648813219286
voter,rho_2,2,200,0.14999999999999999,970307,7,5000,0.039026023917992786,0.995,3750,0.8761453274784794,0.08974291637415957,0.9938449240607513,0.005930985663570221
voter,rho_2,2,200,0.14999999999999999,970308,8,5000,0.03493405310578626,0.98,3750,0.8773625456434883,0.06740308663484586,0.9945163868904877,0.012722281481641482
voter,rho_2,2,200,0.14999999999999999,970309,9,5000,0.033804848984866215,0.945,3750,0.8201797567342458,0.11656393553975433,0.9883852917665867,0.03864965193916744
voter,rho_2,2,200,0.14999999999999999,970310,10,5000,0.1002341172663676,0.995,3750,0.8909538331812925,0.076525065238941,0.9934132693844924,0.011481933806612134
voter,rho_2,2,200,0.14999999999999999,970311,11,5000,0.06116387576813442,1.0,3750,0.8789660320608862,0.05816645613064037,0.9841446842525979,0.0397703721847967
voter,rho_2,2,200,0.14999999999999999,970312,12,5000,0.06550003173441983,1.0,3750,0.924897959895635,0.03940714316718627,0.964664268585132,0.03801487984162392
voter,rho_2,2,200,0.14999999999999999,970313,13,5000,0.0787486819712187,0.99,3750,0.8735177390242413,0.07792106466713723,0.9893525179856115,0.03579546590493265
voter,rho_2,2,200,0.14999999999999999,970314,14,5000,0.04349398438169933,0.995,3750,0.816408014738969,0.12344169062877909,0.9689368505195844,0.08183710014525618
voter,rho_2,2,200,0.14999999999999999,970315,15,5000,0.06638695297034278,1.0,3750,0.8830794660009949,0.061560601122387794,0.9745323741007195,0.023733321188814164
voter,rho_2,2,200,0.14999999999999999,970316,16,5000,0.06419682447950334,0.99,3750,0.8044777986449638,0.11438856784312046,0.9585611510791368,0.05144988226658794
voter,rho_2,2,200,0.14999999999999999,970317,17,5000,0.013727153182401227,0.995,3750,0.8391725142913753,0.16005427615149934,0.9845323741007195,0.021155687192777696
voter,rho_2,2,200,0.14999999999999999,970318,18,5000,0.02712774480345143,0.995,3750,0.8631811446828912,0.06345246936813878,0.999996003197442,0.00014130830958963793
voter,rho_2,2,200,0.14999999999999999,970319,19,5000,0.050560254351031085,0.99,3750,0.8921639446554275,0.04854960827616187,0.999060751398881,0.0062182130372195445
voter,rho_2,2,200,0.20000000000000001,970400,0,5000,0.037714222407027195,1.0,3750,0.740564038644233,0.1713292627761248,0.9891366906474821,0.026405611064371868
voter,rho_2,2,200,0.20000000000000001,970401,1,5000,0.06284832630782135,1.0,3750,0.6897187046068896,0.157595976672819,0.9406035171862509,0.14510358863402353
voter,rho_2,2,200,0.20000000000000001,970402,2,5000,0.06297974227023265,0.995,3750,0.8119982498932707,0.08620941729882528,0.9832733812949641,0.07496986073658272
voter,rho_2,2,200,0.20000000000000001,970403,3,5000,0.0444421171217397,0.995,3750,0.79952137506847,0.16250498161446958,0.9777138289368504,0.017431183656785136
voter,rho_2,2,200,0.20000000000000001,970404,4,5000,0.03876129578048402,1.0,3750,0.7325513554518625,0.16197420460367992,0.9407274180655475,0.08619794876069756
voter,rho_2,2,200,0.20000000000000001,970405,5,5000,0.10685758864700831,1.0,3750,0.8041534726714654,0.11170365908042587,0.9760791366906475,0.060116082521002354
voter,rho_2,2,200,0.20000000000000001,970406,6,5000,0.046721299311331316,1.0,3750,0.7459454145029699,0.2088472884481456,0.988361310951239,0.014544528706966965
voter,rho_2,2,200,0.20000000000000001,970407,7,5000,0.09613793089490114,0.995,3750,0.6646801885171765,0.2485012830865196,0.9806394884092725,0.042488428003477595
voter,rho_2,2,200,0.20000000000000001,970408,8,5000,0.04746538111244507,1.0,3750,0.8101024077184175,0.08429025617732148,0.9961950439648282,0.030743366824976696
voter,rho_2,2,200,0.20000000000000001,970409,9,5000,0.04632351583567993,0.99,3750,0.6959642728570973,0.2757475340893007,0.9673980815347721,0.10354876497059247
voter,rho_2,2,200,0.20000000000000001,970410,10,5000,0.03843465639357464,1.0,3750,0.8104738727858013,0.0815518471198159,0.9389088729016787,0.09154694868840417
voter,rho_2,2,200,0.20000000000000001,970411,11,5000,0.07061828113163843,1.0,3750,0.7101722331734632,0.1535107317164889,0.950775379696243,0.059899982462739386
voter,rho_2,2,200,0.20000000000000001,970412,12,5000,0.06386858133147079,0.99,3750,0.6103757583666399,0.12885049435618331,0.9320863309352517,0.08033778944355548
voter,rho_2,2,200,0.20000000000000001,970413,13,5000,0.09024848306570356,1.0,3750,0.6091115148138303,0.233353874043328,0.969212629896083,0.037540273502605075
voter,rho_2,2,200,0.20000000000000001,970414,14,5000,0.05275747786438137,0.995,3750,0.719017380810086,0.13879626107793744,0.9859272581934452,0.01569911890931654
voter,rho_2,2,200,0.20000000000000001,970415,15,5000,0.07296994678929869,0.995,3750,0.6796776168602455,0.1843105700972793,0.9741526778577138,0.02645376399531313
voter,rho_2,2,200,0.20000000000000001,970416,16,5000,0.10009209766861757,0.985,3750,0.5978860063887832,0.24001946713185848,0.9535531574740208,0.07742963704595242
voter,rho_2,2,200,0.20000000000000001,970417,17,5000,0.12857336655444274,0.985,3750,0.7307308324911204,0.17010612030266958,0.9637769784172662,0.05395122272975383
voter,rho_2,2,200,0.20000000000000001,970418,18,5000,0.09731452177328398,1.0,3750,0.7414197173538154,0.10700674980248533,0.9973181454836131,0.006562579410506381
voter,rho_2,2,200,0.20000000000000001,970419,19,5000,0.007776894345620644,1.0,3750,0.7535229233363661,0.16070504904168095,0.9840607513988808,0.042153002334712586
voter,rho_4,4,400,0,1000000,0,5000,0.08362990005430827,1.0,3750,0.999999999999996,0.0,1.0,0.0
voter,rho_4,4,400,0,1000001,1,5000,0.06635628700365072,1.0,3750,1.0000000000000049,0.0,1.0,0.0
