model,rho_nominal,rho_label,N,eta,eta_index,steps,base_seed,realization,returncode,elapsed_s
voter,8.0,rho_2,800,0.0,4,5000,970000,0,0,1.8502
voter,8.0,rho_2,800,0.0,4,5000,970001,1,0,1.8568
voter,8.0,rho_2,800,0.0,4,5000,970002,2,0,1.8511
voter,8.0,rho_2,800,0.0,4,5000,970003,3,0,1.8404
voter,8.0,rho_2,800,0.0,4,5000,970004,4,0,1.8587
voter,8.0,rho_2,800,0.0,4,5000,970005,5,0,1.8465
voter,8.0,rho_2,800,0.0,4,5000,970006,6,0,1.9437
voter,8.0,rho_2,800,0.0,4,5000,970007,7,0,1.9214
voter,8.0,rho_2,800,0.0,4,5000,970008,8,0,2.0929
voter,8.0,rho_2,800,0.0,4,5000,970009,9,0,1.8614
voter,8.0,rho_2,800,0.0,4,5000,970010,10,0,1.9258
voter,8.0,rho_2,800,0.0,4,5000,970011,11,0,1.8764
voter,8.0,rho_2,800,0.0,4,5000,970012,12,0,1.851
voter,8.0,rho_2,800,0.0,4,5000,970013,13,0,1.8777
voter,8.0,rho_2,800,0.0,4,5000,970014,14,0,1.8994
voter,8.0,rho_2,800,0.0,4,5000,970015,15,0,1.922
voter,8.0,rho_2,800,0.0,4,5000,970016,16,0,1.8109
voter,8.0,rho_2,800,0.0,4,5000,970017,17,0,2.0655
voter,8.0,rho_2,800,0.0,4,5000,970018,18,0,1.9048
voter,8.0,rho_2,800,0.0,4,5000,970019,19,0,1.8881
voter,8.0,rho_2,800,0.05,4,5000,970100,0,0,2.0758
voter,8.0,rho_2,800,0.05,4,5000,970101,1,0,1.859
voter,8.0,rho_2,800,0.05,4,5000,970102,2,0,2.183
voter,8.0,rho_2,800,0.05,4,5000,970103,3,0,2.0564
voter,8.0,rho_2,800,0.05,4,5000,970104,4,0,1.9309
voter,8.0,rho_2,800,0.05,4,5000,970105,5,0,2.029
voter,8.0,rho_2,800,0.05,4,5000,970106,6,0,2.1428
voter,8.0,rho_2,800,0.05,4,5000,970107,7,0,1.9406
voter,8.0,rho_2,800,0.05,4,5000,970108,8,0,2.0822
voter,8.0,rho_2,800,0.05,4,5000,970109,9,0,1.9868
voter,8.0,rho_2,800,0.05,4,5000,970110,10,0,1.9122
voter,8.0,rho_2,800,0.05,4,5000,970111,11,0,2.2128
voter,8.0,rho_2,800,0.05,4,5000,970112,12,0,1.9261
voter,8.0,rho_2,800,0.05,4,5000,970113,13,0,1.8447
voter,8.0,rho_2,800,0.05,4,5000,970114,14,0,1.9496
voter,8.0,rho_2,800,0.05,4,5000,970115,15,0,2.0074
voter,8.0,rho_2,800,0.05,4,5000,970116,16,0,2.1758
voter,8.0,rho_2,800,0.05,4,5000,970117,17,0,2.0082
voter,8.0,rho_2,800,0.05,4,5000,970118,18,0,1.9739
voter,8.0,rho_2,800,0.05,4,5000,970119,19,0,2.0174
voter,8.0,rho_2,800,0.1,4,5000,970200,0,0,2.2273
voter,8.0,rho_2,800,0.1,4,5000,970201,1,0,2.0186
