model,rho_label,eta,t,va_mean,va_stdev
voter,rho_2,0,0,0.05038012758847867,0.026687985120332717
voter,rho_2,0,50,0.3664649583108606,0.16437880081443382
voter,rho_2,0,100,0.4730087408514735,0.17484965906673558
voter,rho_2,0,150,0.5448790009196827,0.2172669659224706
voter,rho_2,0,200,0.61256800043866,0.2746654295571522
voter,rho_2,0,250,0.7287878760370754,0.2707985715629232
voter,rho_2,0,300,0.7927864227419162,0.2739157770124774
voter,rho_2,0,350,0.8388214217921874,0.2589960815654656
voter,rho_2,0,400,0.8900415162201725,0.1924799866796585
voter,rho_2,0,450,0.8998364827398779,0.19431150473256256
voter,rho_2,0,500,0.9000673749435875,0.19131697728886618
voter,rho_2,0,550,0.8923462852706006,0.21775743027738084
voter,rho_2,0,600,0.885479744532417,0.246144512997369
voter,rho_2,0,650,0.901886723453093,0.21053736054101926
voter,rho_2,0,700,0.9203139008237388,0.20542869434628563
voter,rho_2,0,750,0.9562488483004584,0.10915012741378045
voter,rho_2,0,800,0.9591269712308372,0.1257254926588655
voter,rho_2,0,850,0.9844990434812745,0.06516292657076085
voter,rho_2,0,900,1.0,2.461191921806555e-15
voter,rho_2,0,950,1.0,2.461191921806555e-15
voter,rho_2,0,1000,1.0,2.461191921806555e-15
voter,rho_2,0,1050,1.0,2.461191921806555e-15
voter,rho_2,0,1100,1.0,2.461191921806555e-15
voter,rho_2,0,1150,1.0,2.461191921806555e-15
voter,rho_2,0,1200,1.0,2.461191921806555e-15
voter,rho_2,0,1250,1.0,2.461191921806555e-15
voter,rho_2,0,1300,1.0,2.461191921806555e-15
voter,rho_2,0,1350,1.0,2.461191921806555e-15
voter,rho_2,0,1400,1.0,2.461191921806555e-15
voter,rho_2,0,1450,1.0,2.461191921806555e-15
voter,rho_2,0,1500,1.0,2.461191921806555e-15
voter,rho_2,0,1550,1.0,2.461191921806555e-15
voter,rho_2,0,1600,1.0,2.461191921806555e-15
voter,rho_2,0,1650,1.0,2.461191921806555e-15
voter,rho_2,0,1700,1.0,2.461191921806555e-15
voter,rho_2,0,1750,1.0,2.461191921806555e-15
voter,rho_2,0,1800,1.0,2.461191921806555e-15
voter,rho_2,0,1850,1.0,2.461191921806555e-15
voter,rho_2,0,1900,1.0,2.461191921806555e-15
voter,rho_2,0,1950,1.0,2.461191921806555e-15
voter,rho_2,0,2000,1.0,2.461191921806555e-15
voter,rho_2,0,2050,1.0,2.461191921806555e-15
voter,rho_2,0,2100,1.0,2.461191921806555e-15
voter,rho_2,0,2150,1.0,2.461191921806555e-15
voter,rho_2,0,2200,1.0,2.461191921806555e-15
voter,rho_2,0,2250,1.0,2.461191921806555e-15
voter,rho_2,0,2300,1.0,2.461191921806555e-15
voter,rho_2,0,2350,1.0,2.461191921806555e-15
voter,rho_2,0,2400,1.0,2.461191921806555e-15
voter,rho_2,0,2450,1.0,2.461191921806555e-15
voter,rho_2,0,2500,1.0,2.461191921806555e-15
voter,rho_2,0,2550,1.0,2.461191921806555e-15
voter,rho_2,0,2600,1.0,2.461191921806555e-15
voter,rho_2,0,2650,1.0,2.461191921806555e-15
voter,rho_2,0,2700,1.0,2.461191921806555e-15
voter,rho_2,0,2750,1.0,2.461191921806555e-15
voter,rho_2,0,2800,1.0,2.461191921806555e-15
voter,rho_2,0,2850,1.0,2.461191921806555e-15
voter,rho_2,0,2900,1.0,2.461191921806555e-15
voter,rho_2,0,2950,1.0,2.461191921806555e-15
voter,rho_2,0,3000,1.0,2.461191921806555e-15
