model,rho_label,eta,realizations,va_mean,va_stdev_between_realizations,va_stderr,S_mean,S_stdev_between_realizations,S_stderr,t_eq_heuristic_estimate
voter,rho_2,0,20,1.000000000000001,2.469663474514965e-15,5.522335410563781e-16,0.9949999999999999,0.013178930553209385,0.002946898458772509,1150
voter,rho_2,0.20000000000000001,20,0.7078436503744419,0.08951738483227835,0.020016695765298298,0.9644384154460719,0.02673024633733897,0.00597706478656047,sin_evidencia
voter,rho_2,0.40000000000000002,20,0.4525599637349183,0.07857562964076727,0.0175700449251603,0.9506704394141146,0.04108721965840302,0.009187381616265484,sin_evidencia
voter,rho_2,0.5,20,0.4174638938079768,0.0627166655799009,0.014023872755877966,0.9551118508655125,0.027365537947798276,0.006119120309212704,2900
voter,rho_2,0.59999999999999998,20,0.3305135848412303,0.050343940046015695,0.011257247219806497,0.9560006657789615,0.024233220832287575,0.005418712909475904,3000
voter,rho_2,0.80000000000000004,20,0.2588500234115511,0.02700765086784719,0.0060390943253087505,0.9573528628495339,0.020700871264491653,0.004628855534087537,2950
voter,rho_2,1,20,0.2110145739452174,0.01979838353520418,0.004427053142932914,0.9599747003994674,0.022556103404309604,0.00504369805195507,2700
voter,rho_2,1.2,20,0.17180388389306347,0.013605317027250714,0.0030422413728367955,0.9388315579227695,0.06366992196782792,0.01423702736421704,2850
voter,rho_2,1.3999999999999999,20,0.14991229270904294,0.011007741931691498,0.0024614059238037035,0.9498685086551266,0.04796557798443047,0.010725429295325387,2300
voter,rho_2,1.5,20,0.14296454334113917,0.007888038328858076,0.00176381899124505,0.9642406790945406,0.04031030788780183,0.009013658863107085,sin_evidencia
voter,rho_2,2,20,0.10965288054684139,0.00496659122273868,0.0011105635590497487,0.9599730359520638,0.034094404853183685,0.0076237406904117455,50
voter,rho_2,2.5,20,0.0914834125222588,0.0025096097036562946,0.0005611657894368577,0.9743535286284952,0.011728877877404537,0.002622656823366999,1500
voter,rho_2,3,20,0.08083032448377583,0.0021602622033866886,0.00048304931359961117,0.9874890146471371,0.008077075254247106,0.0018060889327877925,0
voter,rho_2,3.5,20,0.07505408836578478,0.0014329130231648024,0.0003204090925641229,0.9870286284953396,0.008571847442874363,0.001916723357502482,0
voter,rho_2,4,20,0.06927351805890598,0.0012052679074320682,0.0002695060972117028,0.9906324900133155,0.0045731085105149985,0.001022578149799435,0
voter,rho_2,5,20,0.0646415636539103,0.0016170824623981562,0.00036159063111450247,0.9893132490013314,0.007147604207063581,0.0015982528883257648,0
voter,rho_2,6,20,0.06296752413051218,0.0012064805218196654,0.000269777246031819,0.9922669773635153,0.005791272166902443,0.0012949678241396371,0
voter,rho_4,0,20,0.9999999999999989,3.77308656387271e-15,8.43687804181048e-16,0.99975,0.0011180339887498958,0.0002500000000000002,1000
voter,rho_4,0.20000000000000001,20,0.6631323462442547,0.10414516887818868,0.023287567713982542,0.9968746671105192,0.0026359597443447813,0.0005894185174307898,sin_evidencia
voter,rho_4,0.40000000000000002,20,0.3621551343643311,0.0720070442200265,0.016101264573481256,0.9962043941411451,0.003400135210770894,0.0007602933463974294,3000
voter,rho_4,0.5,20,0.2765727138007729,0.04250624315083885,0.00950468491534105,0.9962947736351531,0.004292137962985125,0.0009597512254042216,sin_evidencia
voter,rho_4,0.59999999999999998,20,0.24376492804000605,0.03287954421088138,0.007352089592474044,0.993590878828229,0.007127189935483446,0.0015936881184293325,2700
voter,rho_4,0.80000000000000004,20,0.1950810476449918,0.022133488544006017,0.00494919849636103,0.996477862849534,0.002608893853456721,0.0005833664002410602,2900
voter,rho_4,1,20,0.1537039329101428,0.013486504482639413,0.003015674080203736,0.9969698735019973,0.002381811623479469,0.0005325892699699227,2300
voter,rho_4,1.2,20,0.13291882416365713,0.008763767184906887,0.0019596379164433767,0.9978789946737683,0.002651747776196821,0.0005929488286759991,900
voter,rho_4,1.3999999999999999,20,0.11179507810283303,0.007125510462151376,0.001593312576775642,0.9986126830892144,0.0019243145471486084,0.00043028981375160125,50
voter,rho_4,1.5,20,0.10821553006332689,0.004626148374073906,0.0010344382238429378,0.9988129161118507,0.0019805742978226933,0.00044286987644204554,1900
voter,rho_4,2,20,0.0813418637966086,0.0036035566839694474,0.000805779770612941,0.9996195073235686,0.000655957322419203,0.00014667651632680845,0
voter,rho_4,2.5,20,0.06742404750259748,0.002569262100725891,0.0005745044709237003,0.9998813249001332,0.00017597720791915196,3.9349699939783805e-05,0
voter,rho_4,3,20,0.058700281795507826,0.0020948073678841773,0.000468413167435643,0.9999059587217044,0.00013643927579713386,3.0508749548323308e-05,0
voter,rho_4,3.5,20,0.05303417701039709,0.0013427216896998806,0.0003002416973032312,0.9999650466045272,6.866940483160983e-05,1.5354945717793206e-05,0
voter,rho_4,4,20,0.04935437141376963,0.0008366251220786232,0.00018707506446518615,0.9999873501997337,1.860046675281684e-05,4.159190807252323e-06,0
