model,rho_label,rho_nominal,N,eta,base_seed,realization,steps,va_t0,S_t0,t_window_start,va_window_mean,va_window_stdev,S_window_mean,S_window_stdev
voter,rho_2,2,200,0,900000,0,3000,0.09175293112954985,1.0,2250,1.000000000000004,0.0,1.0,0.0
voter,rho_2,2,200,0,900001,1,3000,0.05727980278714,1.0,2250,0.9999999999999974,0.0,1.0,0.0
voter,rho_2,2,200,0,900002,2,3000,0.08551623872875043,0.995,2250,0.9999999999999976,0.0,1.0,0.0
voter,rho_2,2,200,0,900003,3,3000,0.03562749034649039,0.985,2250,1.0000000000000042,0.0,1.0,0.0
voter,rho_2,2,200,0,900004,4,3000,0.04813452098010619,1.0,2250,1.0000000000000042,0.0,0.9700000000000001,0.0
voter,rho_2,2,200,0,900005,5,3000,0.06838652302011028,0.985,2250,1.0000000000000009,0.0,1.0,0.0
voter,rho_2,2,200,0,900006,6,3000,0.10274324290947873,1.0,2250,1.0000000000000018,0.0,1.0,0.0
voter,rho_2,2,200,0,900007,7,3000,0.051155826055996466,1.0,2250,1.0000000000000038,0.0,1.0,0.0
voter,rho_2,2,200,0,900008,8,3000,0.028432238867138273,0.98,2250,1.0000000000000029,0.0,1.0,0.0
voter,rho_2,2,200,0,900009,9,3000,0.07466038256489166,1.0,2250,1.0000000000000042,0.0,1.0,0.0
voter,rho_2,2,200,0,900010,10,3000,0.08967671507841535,1.0,2250,1.0000000000000002,0.0,0.95,0.0
voter,rho_2,2,200,0,900011,11,3000,0.06081135342439713,0.99,2250,1.0000000000000016,0.0,0.98,0.0
voter,rho_2,2,200,0,900012,12,3000,0.06199733339602607,1.0,2250,1.0000000000000018,0.0,1.0,0.0
voter,rho_2,2,200,0,900013,13,3000,0.030792339366243215,1.0,2250,0.9999999999999976,0.0,1.0,0.0
voter,rho_2,2,200,0,900014,14,3000,0.06409463137738776,1.0,2250,1.000000000000002,0.0,1.0,0.0
voter,rho_2,2,200,0,900015,15,3000,0.05350400020068165,1.0,2250,1.0000000000000009,0.0,1.0,0.0
voter,rho_2,2,200,0,900016,16,3000,0.014957759360513755,1.0,2250,0.9999999999999983,0.0,1.0,0.0
voter,rho_2,2,200,0,900017,17,3000,0.08284631346080254,1.0,2250,0.9999999999999971,0.0,1.0,0.0
voter,rho_2,2,200,0,900018,18,3000,0.032682769303321535,0.995,2250,1.0000000000000018,0.0,1.0,0.0
voter,rho_2,2,200,0,900019,19,3000,0.03299176502103061,1.0,2250,0.9999999999999994,0.0,1.0,0.0
voter,rho_2,2,200,0.20000000000000001,901100,0,3000,0.046945637774861375,1.0,2250,0.7900864225014499,0.13693069261128565,0.9952330226364846,0.007003349116888027
voter,rho_2,2,200,0.20000000000000001,901101,1,3000,0.06062726462263398,1.0,2250,0.7109234812619404,0.22243283554926127,0.9809254327563248,0.041517997384708835
voter,rho_2,2,200,0.20000000000000001,901102,2,3000,0.08554911283217269,1.0,2250,0.4588149903875806,0.20882014567987395,0.9818774966711051,0.031572264659518505
voter,rho_2,2,200,0.20000000000000001,901103,3,3000,0.0671702347921964,1.0,2250,0.7803009578353765,0.15201505888541733,0.9879627163781625,0.056017200088934405
voter,rho_2,2,200,0.20000000000000001,901104,4,3000,0.046054232893760094,1.0,2250,0.6136443184464406,0.16795876454731157,0.9843408788282291,0.041297187592972705
voter,rho_2,2,200,0.20000000000000001,901105,5,3000,0.03558730649025385,0.97,2250,0.7444698466518737,0.10502456205217967,0.9898268974700399,0.012007404321920444
voter,rho_2,2,200,0.20000000000000001,901106,6,3000,0.07827852971908572,1.0,2250,0.7333365931152647,0.16212291795166045,0.994607190412783,0.014532626463230999
voter,rho_2,2,200,0.20000000000000001,901107,7,3000,0.0362118205884307,1.0,2250,0.5981819194143543,0.17293977739575145,0.9729427430093208,0.06552102495370897
voter,rho_2,2,200,0.20000000000000001,901108,8,3000,0.06483931693062252,1.0,2250,0.6391785352758131,0.18661602802519373,0.9110652463382157,0.15564691597962124
voter,rho_2,2,200,0.20000000000000001,901109,9,3000,0.10525904207540007,1.0,2250,0.8557524021638693,0.09432405160976877,0.9522703062583222,0.06974324347508877
voter,rho_2,2,200,0.20000000000000001,901110,10,3000,0.06493106610827819,1.0,2250,0.663998724430893,0.13710945670217972,0.9674833555259654,0.09124886984283861
voter,rho_2,2,200,0.20000000000000001,901111,11,3000,0.013096474201963172,1.0,2250,0.6788776676271493,0.17596202368570335,0.9832689747003994,0.028837892735152377
voter,rho_2,2,200,0.20000000000000001,901112,12,3000,0.11097174877763616,1.0,2250,0.8111265673806111,0.07400588747996403,0.9298535286284952,0.07268150875735303
voter,rho_2,2,200,0.20000000000000001,901113,13,3000,0.04816670697290466,1.0,2250,0.7065614683494552,0.21490495599267487,0.9867509986684421,0.025252979330129217
voter,rho_2,2,200,0.20000000000000001,901114,14,3000,0.02122827204990565,1.0,2250,0.6569816005597423,0.13010336457320149,0.9708921438082556,0.08177990226808778
voter,rho_2,2,200,0.20000000000000001,901115,15,3000,0.021528002576290554,0.99,2250,0.7479420780172416,0.11820038623917575,0.9610785619174433,0.0390435989159224
voter,rho_2,2,200,0.20000000000000001,901116,16,3000,0.04562135372592658,0.995,2250,0.8093973911906729,0.05462051586573678,0.9102596537949401,0.16501068991522416
voter,rho_2,2,200,0.20000000000000001,901117,17,3000,0.02070588599201776,0.985,2250,0.7100272209700714,0.2053193485660781,0.9418242343541944,0.07985256720102918
voter,rho_2,2,200,0.20000000000000001,901118,18,3000,0.08698399095870854,0.995,2250,0.7115776168873275,0.15644269670890656,0.9458322237017309,0.07453678401090057
voter,rho_2,2,200,0.20000000000000001,901119,19,3000,0.05808711781656986,0.99,2250,0.7356932050217097,0.1645214399516544,0.9404727030625831,0.10258773771092487
