model,rho_nominal,rho_label,N,eta,eta_index,steps,base_seed,realization,returncode,elapsed_s
voter,2.0,rho_2,200,0.0,0,3000,900000,0,0,1.2496
voter,2.0,rho_2,200,0.0,0,3000,900001,1,0,1.1805
voter,2.0,rho_2,200,0.0,0,3000,900002,2,0,1.2027
voter,2.0,rho_2,200,0.0,0,3000,900003,3,0,1.2073
voter,2.0,rho_2,200,0.0,0,3000,900004,4,0,1.1319
voter,2.0,rho_2,200,0.0,0,3000,900005,5,0,1.1201
voter,2.0,rho_2,200,0.0,0,3000,900006,6,0,1.1093
voter,2.0,rho_2,200,0.0,0,3000,900007,7,0,1.1637
voter,2.0,rho_2,200,0.0,0,3000,900008,8,0,1.1604
voter,2.0,rho_2,200,0.0,0,3000,900009,9,0,1.2136
voter,2.0,rho_2,200,0.0,0,3000,900010,10,0,1.3578
voter,2.0,rho_2,200,0.0,0,3000,900011,11,0,1.1861
voter,2.0,rho_2,200,0.0,0,3000,900012,12,0,1.1516
voter,2.0,rho_2,200,0.0,0,3000,900013,13,0,1.0853
voter,2.0,rho_2,200,0.0,0,3000,900014,14,0,1.1653
voter,2.0,rho_2,200,0.0,0,3000,900015,15,0,1.1118
voter,2.0,rho_2,200,0.0,0,3000,900016,16,0,1.193
voter,2.0,rho_2,200,0.0,0,3000,900017,17,0,1.1308
voter,2.0,rho_2,200,0.0,0,3000,900018,18,0,1.109
voter,2.0,rho_2,200,0.0,0,3000,900019,19,0,1.1685
voter,2.0,rho_2,200,0.5,1,3000,900100,0,0,1.4228
voter,2.0,rho_2,200,0.5,1,3000,900101,1,0,1.2334
voter,2.0,rho_2,200,0.5,1,3000,900102,2,0,1.2702
voter,2.0,rho_2,200,0.5,1,3000,900103,3,0,1.2304
voter,2.0,rho_2,200,0.5,1,3000,900104,4,0,1.3035
voter,2.0,rho_2,200,0.5,1,3000,900105,5,0,1.2477
voter,2.0,rho_2,200,0.5,1,3000,900106,6,0,1.2394
voter,2.0,rho_2,200,0.5,1,3000,900107,7,0,1.3021
voter,2.0,rho_2,200,0.5,1,3000,900108,8,0,1.2825
voter,2.0,rho_2,200,0.5,1,3000,900109,9,0,1.3181
voter,2.0,rho_2,200,0.5,1,3000,900110,10,0,1.2983
voter,2.0,rho_2,200,0.5,1,3000,900111,11,0,1.2472
voter,2.0,rho_2,200,0.5,1,3000,900112,12,0,1.316
voter,2.0,rho_2,200,0.5,1,3000,900113,13,0,1.251
voter,2.0,rho_2,200,0.5,1,3000,900114,14,0,1.2829
voter,2.0,rho_2,200,0.5,1,3000,900115,15,0,1.2778
voter,2.0,rho_2,200,0.5,1,3000,900116,16,0,1.3042
voter,2.0,rho_2,200,0.5,1,3000,900117,17,0,1.1793
voter,2.0,rho_2,200,0.5,1,3000,900118,18,0,1.2931
voter,2.0,rho_2,200,0.5,1,3000,900119,19,0,1.2778
voter,2.0,rho_2,200,1.0,2,3000,900200,0,0,1.1897
voter,2.0,rho_2,200,1.0,2,3000,900201,1,0,1.1962
voter,2.0,rho_2,200,1.0,2,3000,900202,2,0,1.1821
voter,2.0,rho_2,200,1.0,2,3000,900203,3,0,1.1874
voter,2.0,rho_2,200,1.0,2,3000,900204,4,0,1.2111
voter,2.0,rho_2,200,1.0,2,3000,900205,5,0,1.219
voter,2.0,rho_2,200,1.0,2,3000,900206,6,0,1.2507
voter,2.0,rho_2,200,1.0,2,3000,900207,7,0,1.1725
voter,2.0,rho_2,200,1.0,2,3000,900208,8,0,1.2057
voter,2.0,rho_2,200,1.0,2,3000,900209,9,0,1.1818
voter,2.0,rho_2,200,1.0,2,3000,900210,10,0,1.2851
voter,2.0,rho_2,200,1.0,2,3000,900211,11,0,1.2368
voter,2.0,rho_2,200,1.0,2,3000,900212,12,0,1.1515
voter,2.0,rho_2,200,1.0,2,3000,900213,13,0,1.2287
voter,2.0,rho_2,200,1.0,2,3000,900214,14,0,1.167
voter,2.0,rho_2,200,1.0,2,3000,900215,15,0,1.1731
voter,2.0,rho_2,200,1.0,2,3000,900216,16,0,1.181
voter,2.0,rho_2,200,1.0,2,3000,900217,17,0,1.1713
voter,2.0,rho_2,200,1.0,2,3000,900218,18,0,1.1607
voter,2.0,rho_2,200,1.0,2,3000,900219,19,0,1.1775
voter,2.0,rho_2,200,1.5,3,3000,900300,0,0,1.1928
voter,2.0,rho_2,200,1.5,3,3000,900301,1,0,1.1716
voter,2.0,rho_2,200,1.5,3,3000,900302,2,0,1.1788
voter,2.0,rho_2,200,1.5,3,3000,900303,3,0,1.1459
voter,2.0,rho_2,200,1.5,3,3000,900304,4,0,1.1509
voter,2.0,rho_2,200,1.5,3,3000,900305,5,0,1.1911
voter,2.0,rho_2,200,1.5,3,3000,900306,6,0,1.1415
voter,2.0,rho_2,200,1.5,3,3000,900307,7,0,1.1425
voter,2.0,rho_2,200,1.5,3,3000,900308,8,0,1.1407
voter,2.0,rho_2,200,1.5,3,3000,900309,9,0,1.1295
voter,2.0,rho_2,200,1.5,3,3000,900310,10,0,1.1423
voter,2.0,rho_2,200,1.5,3,3000,900311,11,0,1.1388
voter,2.0,rho_2,200,1.5,3,3000,900312,12,0,1.1643
voter,2.0,rho_2,200,1.5,3,3000,900313,13,0,1.1575
voter,2.0,rho_2,200,1.5,3,3000,900314,14,0,1.2002
voter,2.0,rho_2,200,1.5,3,3000,900315,15,0,1.1573
voter,2.0,rho_2,200,1.5,3,3000,900316,16,0,1.1762
voter,2.0,rho_2,200,1.5,3,3000,900317,17,0,1.1379
voter,2.0,rho_2,200,1.5,3,3000,900318,18,0,1.1819
voter,2.0,rho_2,200,1.5,3,3000,900319,19,0,1.1432
voter,2.0,rho_2,200,2.0,4,3000,900400,0,0,1.1252
voter,2.0,rho_2,200,2.0,4,3000,900401,1,0,1.1375
voter,2.0,rho_2,200,2.0,4,3000,900402,2,0,1.1473
voter,2.0,rho_2,200,2.0,4,3000,900403,3,0,1.1432
voter,2.0,rho_2,200,2.0,4,3000,900404,4,0,1.1338
voter,2.0,rho_2,200,2.0,4,3000,900405,5,0,1.1323
voter,2.0,rho_2,200,2.0,4,3000,900406,6,0,1.1522
voter,2.0,rho_2,200,2.0,4,3000,900407,7,0,1.1533
voter,2.0,rho_2,200,2.0,4,3000,900408,8,0,1.1215
voter,2.0,rho_2,200,2.0,4,3000,900409,9,0,1.1295
voter,2.0,rho_2,200,2.0,4,3000,900410,10,0,1.1243
voter,2.0,rho_2,200,2.0,4,3000,900411,11,0,1.1399
voter,2.0,rho_2,200,2.0,4,3000,900412,12,0,1.1295
voter,2.0,rho_2,200,2.0,4,3000,900413,13,0,1.1133
voter,2.0,rho_2,200,2.0,4,3000,900414,14,0,1.1283
voter,2.0,rho_2,200,2.0,4,3000,900415,15,0,1.1358
voter,2.0,rho_2,200,2.0,4,3000,900416,16,0,1.1335
voter,2.0,rho_2,200,2.0,4,3000,900417,17,0,1.1525
voter,2.0,rho_2,200,2.0,4,3000,900418,18,0,1.1312
voter,2.0,rho_2,200,2.0,4,3000,900419,19,0,1.1676
voter,2.0,rho_2,200,2.5,5,3000,900500,0,0,1.1284
voter,2.0,rho_2,200,2.5,5,3000,900501,1,0,1.138
voter,2.0,rho_2,200,2.5,5,3000,900502,2,0,1.1198
voter,2.0,rho_2,200,2.5,5,3000,900503,3,0,1.1165
voter,2.0,rho_2,200,2.5,5,3000,900504,4,0,1.1101
voter,2.0,rho_2,200,2.5,5,3000,900505,5,0,1.1165
voter,2.0,rho_2,200,2.5,5,3000,900506,6,0,1.1589
voter,2.0,rho_2,200,2.5,5,3000,900507,7,0,1.1472
voter,2.0,rho_2,200,2.5,5,3000,900508,8,0,1.1277
voter,2.0,rho_2,200,2.5,5,3000,900509,9,0,1.1019
voter,2.0,rho_2,200,2.5,5,3000,900510,10,0,1.1351
voter,2.0,rho_2,200,2.5,5,3000,900511,11,0,1.1281
voter,2.0,rho_2,200,2.5,5,3000,900512,12,0,1.1612
voter,2.0,rho_2,200,2.5,5,3000,900513,13,0,1.1529
voter,2.0,rho_2,200,2.5,5,3000,900514,14,0,1.1676
voter,2.0,rho_2,200,2.5,5,3000,900515,15,0,1.1685
voter,2.0,rho_2,200,2.5,5,3000,900516,16,0,1.1836
voter,2.0,rho_2,200,2.5,5,3000,900517,17,0,1.1608
voter,2.0,rho_2,200,2.5,5,3000,900518,18,0,1.193
voter,2.0,rho_2,200,2.5,5,3000,900519,19,0,1.19
voter,2.0,rho_2,200,3.0,6,3000,900600,0,0,1.1245
voter,2.0,rho_2,200,3.0,6,3000,900601,1,0,1.1207
voter,2.0,rho_2,200,3.0,6,3000,900602,2,0,1.0808
voter,2.0,rho_2,200,3.0,6,3000,900603,3,0,1.1082
voter,2.0,rho_2,200,3.0,6,3000,900604,4,0,1.1141
voter,2.0,rho_2,200,3.0,6,3000,900605,5,0,1.1193
voter,2.0,rho_2,200,3.0,6,3000,900606,6,0,1.0984
voter,2.0,rho_2,200,3.0,6,3000,900607,7,0,1.1051
voter,2.0,rho_2,200,3.0,6,3000,900608,8,0,1.1063
voter,2.0,rho_2,200,3.0,6,3000,900609,9,0,1.1082
voter,2.0,rho_2,200,3.0,6,3000,900610,10,0,1.0934
voter,2.0,rho_2,200,3.0,6,3000,900611,11,0,1.1048
voter,2.0,rho_2,200,3.0,6,3000,900612,12,0,1.1049
voter,2.0,rho_2,200,3.0,6,3000,900613,13,0,1.0935
voter,2.0,rho_2,200,3.0,6,3000,900614,14,0,1.1113
voter,2.0,rho_2,200,3.0,6,3000,900615,15,0,1.099
voter,2.0,rho_2,200,3.0,6,3000,900616,16,0,1.1016
voter,2.0,rho_2,200,3.0,6,3000,900617,17,0,1.1096
voter,2.0,rho_2,200,3.0,6,3000,900618,18,0,1.1065
voter,2.0,rho_2,200,3.0,6,3000,900619,19,0,1.1198
voter,2.0,rho_2,200,3.5,7,3000,900700,0,0,1.1077
voter,2.0,rho_2,200,3.5,7,3000,900701,1,0,1.0682
voter,2.0,rho_2,200,3.5,7,3000,900702,2,0,1.1026
voter,2.0,rho_2,200,3.5,7,3000,900703,3,0,1.0943
voter,2.0,rho_2,200,3.5,7,3000,900704,4,0,1.0924
voter,2.0,rho_2,200,3.5,7,3000,900705,5,0,1.1066
voter,2.0,rho_2,200,3.5,7,3000,900706,6,0,1.1226
voter,2.0,rho_2,200,3.5,7,3000,900707,7,0,1.096
voter,2.0,rho_2,200,3.5,7,3000,900708,8,0,1.0872
voter,2.0,rho_2,200,3.5,7,3000,900709,9,0,1.0937
voter,2.0,rho_2,200,3.5,7,3000,900710,10,0,1.0827
voter,2.0,rho_2,200,3.5,7,3000,900711,11,0,1.1071
voter,2.0,rho_2,200,3.5,7,3000,900712,12,0,1.0908
voter,2.0,rho_2,200,3.5,7,3000,900713,13,0,1.104
voter,2.0,rho_2,200,3.5,7,3000,900714,14,0,1.1019
voter,2.0,rho_2,200,3.5,7,3000,900715,15,0,1.1038
voter,2.0,rho_2,200,3.5,7,3000,900716,16,0,1.1258
voter,2.0,rho_2,200,3.5,7,3000,900717,17,0,1.0957
voter,2.0,rho_2,200,3.5,7,3000,900718,18,0,1.0948
voter,2.0,rho_2,200,3.5,7,3000,900719,19,0,1.0977
voter,2.0,rho_2,200,4.0,8,3000,900800,0,0,1.1113
voter,2.0,rho_2,200,4.0,8,3000,900801,1,0,1.0974
voter,2.0,rho_2,200,4.0,8,3000,900802,2,0,1.097
voter,2.0,rho_2,200,4.0,8,3000,900803,3,0,1.1112
voter,2.0,rho_2,200,4.0,8,3000,900804,4,0,1.0842
voter,2.0,rho_2,200,4.0,8,3000,900805,5,0,1.1183
voter,2.0,rho_2,200,4.0,8,3000,900806,6,0,1.1102
voter,2.0,rho_2,200,4.0,8,3000,900807,7,0,1.0861
voter,2.0,rho_2,200,4.0,8,3000,900808,8,0,1.0803
voter,2.0,rho_2,200,4.0,8,3000,900809,9,0,1.1054
voter,2.0,rho_2,200,4.0,8,3000,900810,10,0,1.0786
voter,2.0,rho_2,200,4.0,8,3000,900811,11,0,1.0784
voter,2.0,rho_2,200,4.0,8,3000,900812,12,0,1.0806
voter,2.0,rho_2,200,4.0,8,3000,900813,13,0,1.0788
voter,2.0,rho_2,200,4.0,8,3000,900814,14,0,1.0912
voter,2.0,rho_2,200,4.0,8,3000,900815,15,0,1.0891
voter,2.0,rho_2,200,4.0,8,3000,900816,16,0,1.0972
voter,2.0,rho_2,200,4.0,8,3000,900817,17,0,1.0871
voter,2.0,rho_2,200,4.0,8,3000,900818,18,0,1.1059
voter,2.0,rho_2,200,4.0,8,3000,900819,19,0,1.1099
voter,2.0,rho_2,200,5.0,9,3000,900900,0,0,1.0948
voter,2.0,rho_2,200,5.0,9,3000,900901,1,0,1.0824
voter,2.0,rho_2,200,5.0,9,3000,900902,2,0,1.096
voter,2.0,rho_2,200,5.0,9,3000,900903,3,0,1.0817
voter,2.0,rho_2,200,5.0,9,3000,900904,4,0,1.1101
voter,2.0,rho_2,200,5.0,9,3000,900905,5,0,1.1297
voter,2.0,rho_2,200,5.0,9,3000,900906,6,0,1.1613
voter,2.0,rho_2,200,5.0,9,3000,900907,7,0,1.1282
voter,2.0,rho_2,200,5.0,9,3000,900908,8,0,1.1295
voter,2.0,rho_2,200,5.0,9,3000,900909,9,0,1.1519
voter,2.0,rho_2,200,5.0,9,3000,900910,10,0,1.1552
voter,2.0,rho_2,200,5.0,9,3000,900911,11,0,1.1609
voter,2.0,rho_2,200,5.0,9,3000,900912,12,0,1.1705
voter,2.0,rho_2,200,5.0,9,3000,900913,13,0,1.2099
voter,2.0,rho_2,200,5.0,9,3000,900914,14,0,1.1681
voter,2.0,rho_2,200,5.0,9,3000,900915,15,0,1.1547
voter,2.0,rho_2,200,5.0,9,3000,900916,16,0,1.1701
voter,2.0,rho_2,200,5.0,9,3000,900917,17,0,1.1395
voter,2.0,rho_2,200,5.0,9,3000,900918,18,0,1.2312
voter,2.0,rho_2,200,5.0,9,3000,900919,19,0,1.2552
voter,2.0,rho_2,200,6.0,10,3000,901000,0,0,1.0782
voter,2.0,rho_2,200,6.0,10,3000,901001,1,0,1.0956
voter,2.0,rho_2,200,6.0,10,3000,901002,2,0,1.1204
voter,2.0,rho_2,200,6.0,10,3000,901003,3,0,1.1366
voter,2.0,rho_2,200,6.0,10,3000,901004,4,0,1.1294
voter,2.0,rho_2,200,6.0,10,3000,901005,5,0,1.1262
voter,2.0,rho_2,200,6.0,10,3000,901006,6,0,1.1233
voter,2.0,rho_2,200,6.0,10,3000,901007,7,0,1.0858
voter,2.0,rho_2,200,6.0,10,3000,901008,8,0,1.1678
voter,2.0,rho_2,200,6.0,10,3000,901009,9,0,1.1696
voter,2.0,rho_2,200,6.0,10,3000,901010,10,0,1.0723
voter,2.0,rho_2,200,6.0,10,3000,901011,11,0,1.21
voter,2.0,rho_2,200,6.0,10,3000,901012,12,0,1.1129
voter,2.0,rho_2,200,6.0,10,3000,901013,13,0,1.1412
voter,2.0,rho_2,200,6.0,10,3000,901014,14,0,1.1281
voter,2.0,rho_2,200,6.0,10,3000,901015,15,0,1.2127
voter,2.0,rho_2,200,6.0,10,3000,901016,16,0,1.154
voter,2.0,rho_2,200,6.0,10,3000,901017,17,0,1.1479
voter,2.0,rho_2,200,6.0,10,3000,901018,18,0,1.1391
voter,2.0,rho_2,200,6.0,10,3000,901019,19,0,1.1773
voter,4.0,rho_4,400,0.0,0,3000,930000,0,0,2.8772
voter,4.0,rho_4,400,0.0,0,3000,930001,1,0,3.2017
voter,4.0,rho_4,400,0.0,0,3000,930002,2,0,3.2185
voter,4.0,rho_4,400,0.0,0,3000,930003,3,0,2.7984
voter,4.0,rho_4,400,0.0,0,3000,930004,4,0,2.5765
voter,4.0,rho_4,400,0.0,0,3000,930005,5,0,2.799
