model,rho_label,eta,t,va_mean,va_stdev
voter,rho_2,0,0,0.05840220886892359,0.023834119276796538
voter,rho_2,0,50,0.32069600661242126,0.15453413295624513
voter,rho_2,0,100,0.4037930900132502,0.14753852603651724
voter,rho_2,0,150,0.4448545205074728,0.24033263645264635
voter,rho_2,0,200,0.5540018170442971,0.24948169794154115
voter,rho_2,0,250,0.6454589708113377,0.24912033363337
voter,rho_2,0,300,0.6879183147125646,0.31416882333789453
voter,rho_2,0,350,0.760208981379155,0.2636951220594548
voter,rho_2,0,400,0.7872745106199901,0.26063779217480093
voter,rho_2,0,450,0.838018655876678,0.21637787283813523
voter,rho_2,0,500,0.8774745728962214,0.1641091430301661
voter,rho_2,0,550,0.8933979825389906,0.19788722333504952
voter,rho_2,0,600,0.8935732221715931,0.22267020723960176
voter,rho_2,0,650,0.91941301247901,0.1681545988711094
voter,rho_2,0,700,0.9346401512289001,0.12715228515666163
voter,rho_2,0,750,0.9317287586451555,0.13092619313711393
voter,rho_2,0,800,0.9344090639118587,0.13750863982439424
voter,rho_2,0,850,0.9321758960929829,0.18197702315355282
voter,rho_2,0,900,0.9336325763894957,0.18094688254142802
voter,rho_2,0,950,0.9353200388503307,0.1529796607938441
voter,rho_2,0,1000,0.9463186408784559,0.12709637339632776
voter,rho_2,0,1050,0.9654646536960337,0.10933460725741902
voter,rho_2,0,1100,0.969592658208609,0.09452070444414269
voter,rho_2,0,1150,0.9766973172581457,0.0699125115511742
voter,rho_2,0,1200,0.9805383632959771,0.06268191264320375
voter,rho_2,0,1250,0.9966416381093856,0.01463876009703179
voter,rho_2,0,1300,0.997396033127588,0.011350428449176915
voter,rho_2,0,1350,0.9928055465669889,0.031359895468510014
voter,rho_2,0,1400,0.9979768794448625,0.008818578050449668
voter,rho_2,0,1450,1.000000000000001,2.4071301986983717e-15
voter,rho_2,0,1500,1.000000000000001,2.4071301986983717e-15
voter,rho_2,0,1550,1.000000000000001,2.4071301986983717e-15
voter,rho_2,0,1600,1.000000000000001,2.4071301986983717e-15
voter,rho_2,0,1650,1.000000000000001,2.4071301986983717e-15
voter,rho_2,0,1700,1.000000000000001,2.4071301986983717e-15
voter,rho_2,0,1750,1.000000000000001,2.4071301986983717e-15
voter,rho_2,0,1800,1.000000000000001,2.4071301986983717e-15
voter,rho_2,0,1850,1.000000000000001,2.4071301986983717e-15
voter,rho_2,0,1900,1.000000000000001,2.4071301986983717e-15
voter,rho_2,0,1950,1.000000000000001,2.4071301986983717e-15
voter,rho_2,0,2000,1.000000000000001,2.4071301986983717e-15
voter,rho_2,0,2050,1.000000000000001,2.4071301986983717e-15
voter,rho_2,0,2100,1.000000000000001,2.4071301986983717e-15
voter,rho_2,0,2150,1.000000000000001,2.4071301986983717e-15
voter,rho_2,0,2200,1.000000000000001,2.4071301986983717e-15
voter,rho_2,0,2250,1.000000000000001,2.4071301986983717e-15
voter,rho_2,0,2300,1.000000000000001,2.4071301986983717e-15
voter,rho_2,0,2350,1.000000000000001,2.4071301986983717e-15
voter,rho_2,0,2400,1.000000000000001,2.4071301986983717e-15
voter,rho_2,0,2450,1.000000000000001,2.4071301986983717e-15
voter,rho_2,0,2500,1.000000000000001,2.4071301986983717e-15
voter,rho_2,0,2550,1.000000000000001,2.4071301986983717e-15
voter,rho_2,0,2600,1.000000000000001,2.4071301986983717e-15
voter,rho_2,0,2650,1.000000000000001,2.4071301986983717e-15
voter,rho_2,0,2700,1.000000000000001,2.4071301986983717e-15
voter,rho_2,0,2750,1.000000000000001,2.4071301986983717e-15
voter,rho_2,0,2800,1.000000000000001,2.4071301986983717e-15
voter,rho_2,0,2850,1.000000000000001,2.4071301986983717e-15
voter,rho_2,0,2900,1.000000000000001,2.4071301986983717e-15
voter,rho_2,0,2950,1.000000000000001,2.4071301986983717e-15
voter,rho_2,0,3000,1.000000000000001,2.4071301986983717e-15
voter,rho_2,0.20000000000000001,0,0.05589215589498092,0.027136736172420933
voter,rho_2,0.20000000000000001,50,0.4052492608387032,0.13737987529146106
voter,rho_2,0.20000000000000001,100,0.5429369411309168,0.16888349580259215
voter,rho_2,0.20000000000000001,150,0.6150221320287561,0.18345250660399148
voter,rho_2,0.20000000000000001,200,0.6621346087043227,0.1973727166427164
voter,rho_2,0.20000000000000001,250,0.7544528110794798,0.1259816840096728
voter,rho_2,0.20000000000000001,300,0.7367051595677944,0.1461477181759558
voter,rho_2,0.20000000000000001,350,0.728039793896516,0.22121542807666897
voter,rho_2,0.20000000000000001,400,0.769264777246026,0.1676163534028045
voter,rho_2,0.20000000000000001,450,0.7591199442664485,0.1143570111884426
voter,rho_2,0.20000000000000001,500,0.6917272562919445,0.21538291385740604
