model,rho_label,rho_nominal,N,eta,base_seed,realization,steps,va_t0,S_t0,t_window_start,va_window_mean,va_window_stdev,S_window_mean,S_window_stdev
voter,rho_1_over_2pi,0.15915494309189535,16,0,970000,0,3000,0.20862053633350924,0.125,2250,0.5068827293438584,5.5511102019309764e-17,1.0,0.0
voter,rho_1_over_2pi,0.15915494309189535,16,0,970001,1,3000,0.1834655239200901,0.125,2250,1.0000000000000002,0.0,1.0,0.0
voter,rho_1_over_2pi,0.15915494309189535,16,0,970002,2,3000,0.05154787614743742,0.125,2250,0.9999999999999996,0.0,1.0,0.0
voter,rho_1_over_2pi,0.15915494309189535,16,0,970003,3,3000,0.6169309000874951,0.125,2250,0.9075842065472908,0.0,1.0,0.0
voter,rho_1_over_2pi,0.15915494309189535,16,0,970004,4,3000,0.0945589427048949,0.1875,2250,1.0000000000000002,0.0,0.625,0.0
voter,rho_1_over_2pi,0.15915494309189535,16,0,970005,5,3000,0.1774230909939967,0.125,2250,0.9999999999999999,0.0,1.0,0.0
voter,rho_1_over_2pi,0.15915494309189535,16,0,970006,6,3000,0.29855709752912046,0.25,2250,0.9999999999999997,0.0,1.0,0.0
voter,rho_1_over_2pi,0.15915494309189535,16,0,970007,7,3000,0.04834053887461272,0.25,2250,0.9999999999999999,0.0,1.0,0.0
voter,rho_1_over_2pi,0.15915494309189535,16,0,970008,8,3000,0.22235809770243353,0.125,2250,0.1487311987211633,4.1633326514482323e-17,1.0,0.0
voter,rho_1_over_2pi,0.15915494309189535,16,0,970009,9,3000,0.02774573958956565,0.125,2250,0.5922562313341002,0.0,0.75,0.0
voter,rho_1_over_2pi,0.15915494309189535,16,0,970010,10,3000,0.09335974000860847,0.125,2250,1.0000000000000002,0.0,1.0,0.0
voter,rho_1_over_2pi,0.15915494309189535,16,0,970011,11,3000,0.05298867509902591,0.1875,2250,0.9999999999999999,0.0,1.0,0.0
voter,rho_1_over_2pi,0.15915494309189535,16,0,970012,12,3000,0.045677125959971206,0.125,2250,0.9999999999999997,0.0,1.0,0.0
voter,rho_1_over_2pi,0.15915494309189535,16,0,970013,13,3000,0.31755795391122266,0.125,2250,0.9999999999999999,0.0,1.0,0.0
voter,rho_1_over_2pi,0.15915494309189535,16,0,970014,14,3000,0.3815138012079983,0.125,2250,1.0,0.0,1.0,0.0
voter,rho_1_over_2pi,0.15915494309189535,16,0,970015,15,3000,0.07393937711278903,0.125,2250,0.9999999999999999,0.0,1.0,0.0
voter,rho_1_over_2pi,0.15915494309189535,16,0,970016,16,3000,0.10524409094251609,0.0625,2250,0.9999999999999997,0.0,1.0,0.0
voter,rho_1_over_2pi,0.15915494309189535,16,0,970017,17,3000,0.2435621322287863,0.1875,2250,0.9434622490119838,0.0,0.5625,0.0
voter,rho_1_over_2pi,0.15915494309189535,16,0,970018,18,3000,0.09143035417942588,0.1875,2250,1.0000000000000002,0.0,0.75,0.0
voter,rho_1_over_2pi,0.15915494309189535,16,0,970019,19,3000,0.3245121434376922,0.25,2250,0.9999999999999999,0.0,1.0,0.0
