model,rho_label,eta,realizations,va_mean,va_stdev_between_realizations,va_stderr,S_mean,S_stdev_between_realizations,S_stderr,t_eq_heuristic_estimate
voter,rho_1_over_2pi,0,20,0.9049458307479197,0.2253779854118941,0.050396049601295116,0.934375,0.1397174663194865,0.031241775233440915,1600
voter,rho_1_over_2pi,0.5,20,0.7135023281769408,0.09261543291768505,0.020709440376951545,0.7663869920053298,0.13494742054877157,0.030175160573530518,sin_evidencia
voter,rho_1_over_2pi,1,20,0.47845173620510684,0.073865257961214,0.016516773797683203,0.5977889740173218,0.14365401040784312,0.03212201325123995,5900
voter,rho_1_over_2pi,1.5,20,0.34631008353007153,0.03880318318745696,0.008676655535053071,0.43067538307794806,0.10809561400582753,0.02417091409866087,sin_evidencia
voter,rho_1_over_2pi,2,20,0.2988078753492028,0.024535442594809716,0.005486291750003835,0.3952177714856762,0.10780272068395454,0.024105421160874496,sin_evidencia
voter,rho_1_over_2pi,2.5,20,0.2719544026615694,0.015232723784471618,0.003406140586455639,0.35125957694870086,0.0777088037224503,0.017376216757358755,6000
voter,rho_1_over_2pi,3,20,0.2517501111339906,0.007616153808499567,0.0017030237642898947,0.31277898067954696,0.06218174410150886,0.013904260677047038,sin_evidencia
voter,rho_1_over_2pi,3.5,20,0.23805197673196504,0.004980599246185134,0.001113695848315417,0.27710484676882075,0.06030903565587672,0.013485510338399894,6000
voter,rho_1_over_2pi,4,20,0.22829337458876978,0.004310526714419328,0.0009638630752270439,0.27397776482345104,0.06520683304307488,0.014580691128179491,5900
voter,rho_1_over_2pi,5,20,0.22352623800374172,0.0037809917942689016,0.0008454554674354163,0.2213420219853431,0.0564940730461448,0.012632458765701838,6000
voter,rho_1_over_2pi,6,20,0.2228896835403078,0.002795896399041419,0.000625181440630349,0.17201240839440374,0.02568236357667298,0.005742751078030541,5850
voter,rho_1_over_3pi,0,20,0.8135927729483752,0.313359028258729,0.07006920885497957,0.9771939918841983,0.06511244475444092,0.014559585265212949,1500
voter,rho_1_over_3pi,0.5,20,0.7377265633049654,0.123451059378088,0.027604496066376764,0.7346465992368724,0.1850437473940143,0.041377039798431554,sin_evidencia
voter,rho_1_over_3pi,1,20,0.5222986536762882,0.06773539272975523,0.015146094262637773,0.5914087577978318,0.14887865740472656,0.0332902798355871,sin_evidencia
voter,rho_1_over_3pi,1.5,20,0.4286790530404879,0.05442806876670295,0.012170486164638093,0.5592695778571861,0.14567578388744593,0.032574095544789766,5950
voter,rho_1_over_3pi,2,20,0.3519573443437456,0.03009996881532895,0.006730557639169935,0.4723245109321058,0.11880268249887314,0.02656508739768049,sin_evidencia
voter,rho_1_over_3pi,2.5,20,0.32080822787563046,0.02137692643905446,0.004780026066773828,0.4165404881594089,0.09683695613648755,0.021653401665535154,6000
voter,rho_1_over_3pi,3,20,0.2932203354976778,0.01292874738402177,0.0028909558014595257,0.3500454242626128,0.08852995854192255,0.019795900534497698,sin_evidencia
voter,rho_1_over_3pi,3.5,20,0.28398071096740213,0.0065804402122909295,0.0014714311636555666,0.3342468657258797,0.07474402779650471,0.016713272706511836,6000
voter,rho_1_over_3pi,4,20,0.27602920137010184,0.00538027229183845,0.001203065458200936,0.28375325540548724,0.05946566623493852,0.013296927202863651,6000
voter,rho_1_over_3pi,5,20,0.2683185013622643,0.0036150167628134153,0.000808342322145203,0.22139785597480466,0.04805794637601764,0.01074608349558151,6000
voter,rho_1_over_3pi,6,20,0.2674780063353564,0.0034086410090965317,0.0007621953007233323,0.22087699109684453,0.050863070554922465,0.011373328330517457,sin_evidencia
voter,rho_1_over_pi,0,20,1.0,4.409740418015121e-16,9.860479337810148e-17,0.8609375,0.18514835578885325,0.04140043094661926,650
voter,rho_1_over_pi,0.5,20,0.625212145808459,0.06851573786063529,0.015320584738493652,0.7411694287141906,0.10483806226937592,0.02344250338636804,sin_evidencia
voter,rho_1_over_pi,1,20,0.3976944545464562,0.030130796138393846,0.00673745083816368,0.5905136159227182,0.10223857343105666,0.02286124001144466,sin_evidencia
voter,rho_1_over_pi,1.5,20,0.2909132417918894,0.020412148179826485,0.004564295089689062,0.46728743337774814,0.11836753818786123,0.026467786171735997,sin_evidencia
voter,rho_1_over_pi,2,20,0.2385647894497212,0.010992389071658566,0.002457972919935436,0.41800570453031316,0.07974979127460688,0.017832595448144056,6000
voter,rho_1_over_pi,2.5,20,0.2052741602787817,0.007241028855332344,0.0016191432747560612,0.33151544803464356,0.05738703004687257,0.012832130021162999,5650
voter,rho_1_over_pi,3,20,0.1877827231491173,0.006280954272477198,0.001404464071682675,0.32050820286475684,0.06726220937124937,0.015040287247093697,5700
voter,rho_1_over_pi,3.5,20,0.17287386780935501,0.004070689058765702,0.0009102337450664745,0.28503393570952695,0.07863957800495465,0.01758434421409759,sin_evidencia
voter,rho_1_over_pi,4,20,0.16519286842259906,0.0031848878042050697,0.0007121625630912576,0.23650795303131247,0.05052295662279536,0.011297276543284362,5800
voter,rho_1_over_pi,5,20,0.15845904578270684,0.0029710428609756026,0.0006643453801206905,0.18864506995336444,0.0393719125400107,0.008803827284364033,4950
voter,rho_1_over_pi,6,20,0.15696454933585197,0.0019500090205494044,0.00043603527266862524,0.16965668720852764,0.028626539224278744,0.006401088766605137,sin_evidencia
