model,rho_nominal,rho_label,N,eta,eta_index,steps,base_seed,realization,returncode,elapsed_s
voter,0.3183098861837907,rho_1_over_pi,32,0.0,0,6000,950000,0,0,0.3537
voter,0.3183098861837907,rho_1_over_pi,32,0.0,0,6000,950001,1,0,0.3697
voter,0.3183098861837907,rho_1_over_pi,32,0.0,0,6000,950002,2,0,0.3689
voter,0.3183098861837907,rho_1_over_pi,32,0.0,0,6000,950003,3,0,0.3567
voter,0.3183098861837907,rho_1_over_pi,32,0.0,0,6000,950004,4,0,0.3559
voter,0.3183098861837907,rho_1_over_pi,32,0.0,0,6000,950005,5,0,0.3653
voter,0.3183098861837907,rho_1_over_pi,32,0.0,0,6000,950006,6,0,0.3655
voter,0.3183098861837907,rho_1_over_pi,32,0.0,0,6000,950007,7,0,0.3619
voter,0.3183098861837907,rho_1_over_pi,32,0.0,0,6000,950008,8,0,0.3303
voter,0.3183098861837907,rho_1_over_pi,32,0.0,0,6000,950009,9,0,0.3422
voter,0.3183098861837907,rho_1_over_pi,32,0.0,0,6000,950010,10,0,0.3392
voter,0.3183098861837907,rho_1_over_pi,32,0.0,0,6000,950011,11,0,0.3435
voter,0.3183098861837907,rho_1_over_pi,32,0.0,0,6000,950012,12,0,0.3362
voter,0.3183098861837907,rho_1_over_pi,32,0.0,0,6000,950013,13,0,0.3463
voter,0.3183098861837907,rho_1_over_pi,32,0.0,0,6000,950014,14,0,0.3385
voter,0.3183098861837907,rho_1_over_pi,32,0.0,0,6000,950015,15,0,0.3441
voter,0.3183098861837907,rho_1_over_pi,32,0.0,0,6000,950016,16,0,0.3704
voter,0.3183098861837907,rho_1_over_pi,32,0.0,0,6000,950017,17,0,0.3643
voter,0.3183098861837907,rho_1_over_pi,32,0.0,0,6000,950018,18,0,0.3639
voter,0.3183098861837907,rho_1_over_pi,32,0.0,0,6000,950019,19,0,0.3423
voter,0.3183098861837907,rho_1_over_pi,32,0.5,1,6000,950100,0,0,0.3607
voter,0.3183098861837907,rho_1_over_pi,32,0.5,1,6000,950101,1,0,0.3692
voter,0.3183098861837907,rho_1_over_pi,32,0.5,1,6000,950102,2,0,0.3869
voter,0.3183098861837907,rho_1_over_pi,32,0.5,1,6000,950103,3,0,0.3601
voter,0.3183098861837907,rho_1_over_pi,32,0.5,1,6000,950104,4,0,0.3536
voter,0.3183098861837907,rho_1_over_pi,32,0.5,1,6000,950105,5,0,0.3494
voter,0.3183098861837907,rho_1_over_pi,32,0.5,1,6000,950106,6,0,0.3528
voter,0.3183098861837907,rho_1_over_pi,32,0.5,1,6000,950107,7,0,0.3532
voter,0.3183098861837907,rho_1_over_pi,32,0.5,1,6000,950108,8,0,0.3313
voter,0.3183098861837907,rho_1_over_pi,32,0.5,1,6000,950109,9,0,0.3388
voter,0.3183098861837907,rho_1_over_pi,32,0.5,1,6000,950110,10,0,0.3575
voter,0.3183098861837907,rho_1_over_pi,32,0.5,1,6000,950111,11,0,0.3513
voter,0.3183098861837907,rho_1_over_pi,32,0.5,1,6000,950112,12,0,0.3439
voter,0.3183098861837907,rho_1_over_pi,32,0.5,1,6000,950113,13,0,0.3507
voter,0.3183098861837907,rho_1_over_pi,32,0.5,1,6000,950114,14,0,0.3491
voter,0.3183098861837907,rho_1_over_pi,32,0.5,1,6000,950115,15,0,0.3447
voter,0.3183098861837907,rho_1_over_pi,32,0.5,1,6000,950116,16,0,0.3352
voter,0.3183098861837907,rho_1_over_pi,32,0.5,1,6000,950117,17,0,0.3587
voter,0.3183098861837907,rho_1_over_pi,32,0.5,1,6000,950118,18,0,0.3491
voter,0.3183098861837907,rho_1_over_pi,32,0.5,1,6000,950119,19,0,0.3489
voter,0.3183098861837907,rho_1_over_pi,32,1.0,2,6000,950200,0,0,0.3424
voter,0.3183098861837907,rho_1_over_pi,32,1.0,2,6000,950201,1,0,0.3434
voter,0.3183098861837907,rho_1_over_pi,32,1.0,2,6000,950202,2,0,0.3493
voter,0.3183098861837907,rho_1_over_pi,32,1.0,2,6000,950203,3,0,0.3461
voter,0.3183098861837907,rho_1_over_pi,32,1.0,2,6000,950204,4,0,0.3439
voter,0.3183098861837907,rho_1_over_pi,32,1.0,2,6000,950205,5,0,0.3504
voter,0.3183098861837907,rho_1_over_pi,32,1.0,2,6000,950206,6,0,0.3439
voter,0.3183098861837907,rho_1_over_pi,32,1.0,2,6000,950207,7,0,0.354
voter,0.3183098861837907,rho_1_over_pi,32,1.0,2,6000,950208,8,0,0.3455
voter,0.3183098861837907,rho_1_over_pi,32,1.0,2,6000,950209,9,0,0.3494
voter,0.3183098861837907,rho_1_over_pi,32,1.0,2,6000,950210,10,0,0.3422
voter,0.3183098861837907,rho_1_over_pi,32,1.0,2,6000,950211,11,0,0.3368
voter,0.3183098861837907,rho_1_over_pi,32,1.0,2,6000,950212,12,0,0.3394
voter,0.3183098861837907,rho_1_over_pi,32,1.0,2,6000,950213,13,0,0.3483
voter,0.3183098861837907,rho_1_over_pi,32,1.0,2,6000,950214,14,0,0.3473
voter,0.3183098861837907,rho_1_over_pi,32,1.0,2,6000,950215,15,0,0.3393
voter,0.3183098861837907,rho_1_over_pi,32,1.0,2,6000,950216,16,0,0.3432
voter,0.3183098861837907,rho_1_over_pi,32,1.0,2,6000,950217,17,0,0.343
voter,0.3183098861837907,rho_1_over_pi,32,1.0,2,6000,950218,18,0,0.3435
voter,0.3183098861837907,rho_1_over_pi,32,1.0,2,6000,950219,19,0,0.3394
voter,0.3183098861837907,rho_1_over_pi,32,1.5,3,6000,950300,0,0,0.3488
voter,0.3183098861837907,rho_1_over_pi,32,1.5,3,6000,950301,1,0,0.3339
voter,0.3183098861837907,rho_1_over_pi,32,1.5,3,6000,950302,2,0,0.3357
voter,0.3183098861837907,rho_1_over_pi,32,1.5,3,6000,950303,3,0,0.3446
voter,0.3183098861837907,rho_1_over_pi,32,1.5,3,6000,950304,4,0,0.3434
voter,0.3183098861837907,rho_1_over_pi,32,1.5,3,6000,950305,5,0,0.331
voter,0.3183098861837907,rho_1_over_pi,32,1.5,3,6000,950306,6,0,0.3399
voter,0.3183098861837907,rho_1_over_pi,32,1.5,3,6000,950307,7,0,0.3385
voter,0.3183098861837907,rho_1_over_pi,32,1.5,3,6000,950308,8,0,0.3418
voter,0.3183098861837907,rho_1_over_pi,32,1.5,3,6000,950309,9,0,0.3477
voter,0.3183098861837907,rho_1_over_pi,32,1.5,3,6000,950310,10,0,0.3418
voter,0.3183098861837907,rho_1_over_pi,32,1.5,3,6000,950311,11,0,0.3364
voter,0.3183098861837907,rho_1_over_pi,32,1.5,3,6000,950312,12,0,0.3428
