model,rho_nominal,rho_label,N,eta,eta_index,steps,base_seed,realization,returncode,elapsed_s
voter,0.3183098861837907,rho_1_over_pi,32,0.6,0,3000,2200000,0,0,0.1783
voter,0.3183098861837907,rho_1_over_pi,32,0.6,0,3000,2200001,1,0,0.1726
voter,0.3183098861837907,rho_1_over_pi,32,0.6,0,3000,2200002,2,0,0.1915
voter,0.3183098861837907,rho_1_over_pi,32,0.6,0,3000,2200003,3,0,0.1811
voter,0.3183098861837907,rho_1_over_pi,32,0.6,0,3000,2200004,4,0,0.1953
voter,0.3183098861837907,rho_1_over_pi,32,0.6,0,3000,2200005,5,0,0.1887
voter,0.3183098861837907,rho_1_over_pi,32,0.6,0,3000,2200006,6,0,0.1753
voter,0.3183098861837907,rho_1_over_pi,32,0.6,0,3000,2200007,7,0,0.1786
voter,0.3183098861837907,rho_1_over_pi,32,0.6,0,3000,2200008,8,0,0.1761
voter,0.3183098861837907,rho_1_over_pi,32,0.6,0,3000,2200009,9,0,0.181
voter,0.3183098861837907,rho_1_over_pi,32,0.6,0,3000,2200010,10,0,0.1957
voter,0.3183098861837907,rho_1_over_pi,32,0.6,0,3000,2200011,11,0,0.1879
voter,0.3183098861837907,rho_1_over_pi,32,0.6,0,3000,2200012,12,0,0.1947
voter,0.3183098861837907,rho_1_over_pi,32,0.6,0,3000,2200013,13,0,0.1739
voter,0.3183098861837907,rho_1_over_pi,32,0.6,0,3000,2200014,14,0,0.1952
voter,0.3183098861837907,rho_1_over_pi,32,0.6,0,3000,2200015,15,0,0.176
voter,0.3183098861837907,rho_1_over_pi,32,0.6,0,3000,2200016,16,0,0.1951
voter,0.3183098861837907,rho_1_over_pi,32,0.6,0,3000,2200017,17,0,0.1808
voter,0.3183098861837907,rho_1_over_pi,32,0.6,0,3000,2200018,18,0,0.1862
voter,0.3183098861837907,rho_1_over_pi,32,0.6,0,3000,2200019,19,0,0.2162
voter,0.3183098861837907,rho_1_over_pi,32,0.8,1,3000,2200100,0,0,0.1794
voter,0.3183098861837907,rho_1_over_pi,32,0.8,1,3000,2200101,1,0,0.2002
voter,0.3183098861837907,rho_1_over_pi,32,0.8,1,3000,2200102,2,0,0.1918
voter,0.3183098861837907,rho_1_over_pi,32,0.8,1,3000,2200103,3,0,0.2274
voter,0.3183098861837907,rho_1_over_pi,32,0.8,1,3000,2200104,4,0,0.1668
voter,0.3183098861837907,rho_1_over_pi,32,0.8,1,3000,2200105,5,0,0.1884
voter,0.3183098861837907,rho_1_over_pi,32,0.8,1,3000,2200106,6,0,0.1713
voter,0.3183098861837907,rho_1_over_pi,32,0.8,1,3000,2200107,7,0,0.1905
voter,0.3183098861837907,rho_1_over_pi,32,0.8,1,3000,2200108,8,0,0.2069
voter,0.3183098861837907,rho_1_over_pi,32,0.8,1,3000,2200109,9,0,0.2066
voter,0.3183098861837907,rho_1_over_pi,32,0.8,1,3000,2200110,10,0,0.1853
voter,0.3183098861837907,rho_1_over_pi,32,0.8,1,3000,2200111,11,0,0.2031
voter,0.3183098861837907,rho_1_over_pi,32,0.8,1,3000,2200112,12,0,0.1981
voter,0.3183098861837907,rho_1_over_pi,32,0.8,1,3000,2200113,13,0,0.1952
voter,0.3183098861837907,rho_1_over_pi,32,0.8,1,3000,2200114,14,0,0.2035
voter,0.3183098861837907,rho_1_over_pi,32,0.8,1,3000,2200115,15,0,0.1994
voter,0.3183098861837907,rho_1_over_pi,32,0.8,1,3000,2200116,16,0,0.1896
voter,0.3183098861837907,rho_1_over_pi,32,0.8,1,3000,2200117,17,0,0.1897
voter,0.3183098861837907,rho_1_over_pi,32,0.8,1,3000,2200118,18,0,0.2037
voter,0.3183098861837907,rho_1_over_pi,32,0.8,1,3000,2200119,19,0,0.1978
voter,0.3183098861837907,rho_1_over_pi,32,1.2,2,3000,2200200,0,0,0.1881
voter,0.3183098861837907,rho_1_over_pi,32,1.2,2,3000,2200201,1,0,0.1869
voter,0.3183098861837907,rho_1_over_pi,32,1.2,2,3000,2200202,2,0,0.1967
voter,0.3183098861837907,rho_1_over_pi,32,1.2,2,3000,2200203,3,0,0.1913
voter,0.3183098861837907,rho_1_over_pi,32,1.2,2,3000,2200204,4,0,0.1888
voter,0.3183098861837907,rho_1_over_pi,32,1.2,2,3000,2200205,5,0,0.1781
voter,0.3183098861837907,rho_1_over_pi,32,1.2,2,3000,2200206,6,0,0.1739
voter,0.3183098861837907,rho_1_over_pi,32,1.2,2,3000,2200207,7,0,0.1913
voter,0.3183098861837907,rho_1_over_pi,32,1.2,2,3000,2200208,8,0,0.1808
voter,0.3183098861837907,rho_1_over_pi,32,1.2,2,3000,2200209,9,0,0.2097
voter,0.3183098861837907,rho_1_over_pi,32,1.2,2,3000,2200210,10,0,0.2
voter,0.3183098861837907,rho_1_over_pi,32,1.2,2,3000,2200211,11,0,0.2067
voter,0.3183098861837907,rho_1_over_pi,32,1.2,2,3000,2200212,12,0,0.1791
voter,0.3183098861837907,rho_1_over_pi,32,1.2,2,3000,2200213,13,0,0.1925
voter,0.3183098861837907,rho_1_over_pi,32,1.2,2,3000,2200214,14,0,0.2013
voter,0.3183098861837907,rho_1_over_pi,32,1.2,2,3000,2200215,15,0,0.1976
voter,0.3183098861837907,rho_1_over_pi,32,1.2,2,3000,2200216,16,0,0.1684
voter,0.3183098861837907,rho_1_over_pi,32,1.2,2,3000,2200217,17,0,0.1767
voter,0.3183098861837907,rho_1_over_pi,32,1.2,2,3000,2200218,18,0,0.1917
voter,0.3183098861837907,rho_1_over_pi,32,1.2,2,3000,2200219,19,0,0.1865
voter,0.3183098861837907,rho_1_over_pi,32,1.4,3,3000,2200300,0,0,0.1799
voter,0.3183098861837907,rho_1_over_pi,32,1.4,3,3000,2200301,1,0,0.1874
voter,0.3183098861837907,rho_1_over_pi,32,1.4,3,3000,2200302,2,0,0.1803
voter,0.3183098861837907,rho_1_over_pi,32,1.4,3,3000,2200303,3,0,0.1887
voter,0.3183098861837907,rho_1_over_pi,32,1.4,3,3000,2200304,4,0,0.1921
voter,0.3183098861837907,rho_1_over_pi,32,1.4,3,3000,2200305,5,0,0.1829
voter,0.3183098861837907,rho_1_over_pi,32,1.4,3,3000,2200306,6,0,0.1857
voter,0.3183098861837907,rho_1_over_pi,32,1.4,3,3000,2200307,7,0,0.1891
voter,0.3183098861837907,rho_1_over_pi,32,1.4,3,3000,2200308,8,0,0.1877
voter,0.3183098861837907,rho_1_over_pi,32,1.4,3,3000,2200309,9,0,0.1781
voter,0.3183098861837907,rho_1_over_pi,32,1.4,3,3000,2200310,10,0,0.1885
voter,0.3183098861837907,rho_1_over_pi,32,1.4,3,3000,2200311,11,0,0.1863
voter,0.3183098861837907,rho_1_over_pi,32,1.4,3,3000,2200312,12,0,0.1923
voter,0.3183098861837907,rho_1_over_pi,32,1.4,3,3000,2200313,13,0,0.1864
voter,0.3183098861837907,rho_1_over_pi,32,1.4,3,3000,2200314,14,0,0.1863
voter,0.3183098861837907,rho_1_over_pi,32,1.4,3,3000,2200315,15,0,0.1931
voter,0.3183098861837907,rho_1_over_pi,32,1.4,3,3000,2200316,16,0,0.1818
voter,0.3183098861837907,rho_1_over_pi,32,1.4,3,3000,2200317,17,0,0.1782
voter,0.3183098861837907,rho_1_over_pi,32,1.4,3,3000,2200318,18,0,0.1815
voter,0.3183098861837907,rho_1_over_pi,32,1.4,3,3000,2200319,19,0,0.1689
voter,0.3183098861837907,rho_1_over_pi,32,1.6,4,3000,2200400,0,0,0.183
voter,0.3183098861837907,rho_1_over_pi,32,1.6,4,3000,2200401,1,0,0.1811
voter,0.3183098861837907,rho_1_over_pi,32,1.6,4,3000,2200402,2,0,0.1894
voter,0.3183098861837907,rho_1_over_pi,32,1.6,4,3000,2200403,3,0,0.1748
voter,0.3183098861837907,rho_1_over_pi,32,1.6,4,3000,2200404,4,0,0.1768
voter,0.3183098861837907,rho_1_over_pi,32,1.6,4,3000,2200405,5,0,0.175
voter,0.3183098861837907,rho_1_over_pi,32,1.6,4,3000,2200406,6,0,0.1826
voter,0.3183098861837907,rho_1_over_pi,32,1.6,4,3000,2200407,7,0,0.1837
voter,0.3183098861837907,rho_1_over_pi,32,1.6,4,3000,2200408,8,0,0.1783
voter,0.3183098861837907,rho_1_over_pi,32,1.6,4,3000,2200409,9,0,0.1666
voter,0.3183098861837907,rho_1_over_pi,32,1.6,4,3000,2200410,10,0,0.1821
voter,0.3183098861837907,rho_1_over_pi,32,1.6,4,3000,2200411,11,0,0.1753
voter,0.3183098861837907,rho_1_over_pi,32,1.6,4,3000,2200412,12,0,0.1808
voter,0.3183098861837907,rho_1_over_pi,32,1.6,4,3000,2200413,13,0,0.1821
voter,0.3183098861837907,rho_1_over_pi,32,1.6,4,3000,2200414,14,0,0.1961
voter,0.3183098861837907,rho_1_over_pi,32,1.6,4,3000,2200415,15,0,0.1948
voter,0.3183098861837907,rho_1_over_pi,32,1.6,4,3000,2200416,16,0,0.182
voter,0.3183098861837907,rho_1_over_pi,32,1.6,4,3000,2200417,17,0,0.1695
voter,0.3183098861837907,rho_1_over_pi,32,1.6,4,3000,2200418,18,0,0.1719
voter,0.3183098861837907,rho_1_over_pi,32,1.6,4,3000,2200419,19,0,0.178
voter,0.3183098861837907,rho_1_over_pi,32,1.8,5,3000,2200500,0,0,0.1713
voter,0.3183098861837907,rho_1_over_pi,32,1.8,5,3000,2200501,1,0,0.1748
voter,0.3183098861837907,rho_1_over_pi,32,1.8,5,3000,2200502,2,0,0.1707
voter,0.3183098861837907,rho_1_over_pi,32,1.8,5,3000,2200503,3,0,0.1961
voter,0.3183098861837907,rho_1_over_pi,32,1.8,5,3000,2200504,4,0,0.1807
voter,0.3183098861837907,rho_1_over_pi,32,1.8,5,3000,2200505,5,0,0.1856
voter,0.3183098861837907,rho_1_over_pi,32,1.8,5,3000,2200506,6,0,0.1778
voter,0.3183098861837907,rho_1_over_pi,32,1.8,5,3000,2200507,7,0,0.1789
voter,0.3183098861837907,rho_1_over_pi,32,1.8,5,3000,2200508,8,0,0.1769
voter,0.3183098861837907,rho_1_over_pi,32,1.8,5,3000,2200509,9,0,0.179
voter,0.3183098861837907,rho_1_over_pi,32,1.8,5,3000,2200510,10,0,0.1898
voter,0.3183098861837907,rho_1_over_pi,32,1.8,5,3000,2200511,11,0,0.1935
voter,0.3183098861837907,rho_1_over_pi,32,1.8,5,3000,2200512,12,0,0.1719
voter,0.3183098861837907,rho_1_over_pi,32,1.8,5,3000,2200513,13,0,0.1825
voter,0.3183098861837907,rho_1_over_pi,32,1.8,5,3000,2200514,14,0,0.1756
voter,0.3183098861837907,rho_1_over_pi,32,1.8,5,3000,2200515,15,0,0.1834
voter,0.3183098861837907,rho_1_over_pi,32,1.8,5,3000,2200516,16,0,0.1791
voter,0.3183098861837907,rho_1_over_pi,32,1.8,5,3000,2200517,17,0,0.1772
voter,0.3183098861837907,rho_1_over_pi,32,1.8,5,3000,2200518,18,0,0.1808
voter,0.3183098861837907,rho_1_over_pi,32,1.8,5,3000,2200519,19,0,0.1958
voter,0.3183098861837907,rho_1_over_pi,32,2.2,6,3000,2200600,0,0,0.1895
voter,0.3183098861837907,rho_1_over_pi,32,2.2,6,3000,2200601,1,0,0.1772
voter,0.3183098861837907,rho_1_over_pi,32,2.2,6,3000,2200602,2,0,0.1824
voter,0.3183098861837907,rho_1_over_pi,32,2.2,6,3000,2200603,3,0,0.1655
voter,0.3183098861837907,rho_1_over_pi,32,2.2,6,3000,2200604,4,0,0.1816
voter,0.3183098861837907,rho_1_over_pi,32,2.2,6,3000,2200605,5,0,0.1722
voter,0.3183098861837907,rho_1_over_pi,32,2.2,6,3000,2200606,6,0,0.1841
voter,0.3183098861837907,rho_1_over_pi,32,2.2,6,3000,2200607,7,0,0.1702
voter,0.3183098861837907,rho_1_over_pi,32,2.2,6,3000,2200608,8,0,0.1938
voter,0.3183098861837907,rho_1_over_pi,32,2.2,6,3000,2200609,9,0,0.1946
voter,0.3183098861837907,rho_1_over_pi,32,2.2,6,3000,2200610,10,0,0.1824
voter,0.3183098861837907,rho_1_over_pi,32,2.2,6,3000,2200611,11,0,0.1874
voter,0.3183098861837907,rho_1_over_pi,32,2.2,6,3000,2200612,12,0,0.1829
voter,0.3183098861837907,rho_1_over_pi,32,2.2,6,3000,2200613,13,0,0.1848
voter,0.3183098861837907,rho_1_over_pi,32,2.2,6,3000,2200614,14,0,0.1707
voter,0.3183098861837907,rho_1_over_pi,32,2.2,6,3000,2200615,15,0,0.1781
voter,0.3183098861837907,rho_1_over_pi,32,2.2,6,3000,2200616,16,0,0.1934
voter,0.3183098861837907,rho_1_over_pi,32,2.2,6,3000,2200617,17,0,0.1724
voter,0.3183098861837907,rho_1_over_pi,32,2.2,6,3000,2200618,18,0,0.1966
voter,0.3183098861837907,rho_1_over_pi,32,2.2,6,3000,2200619,19,0,0.1829
voter,0.3183098861837907,rho_1_over_pi,32,2.4,7,3000,2200700,0,0,0.164
voter,0.3183098861837907,rho_1_over_pi,32,2.4,7,3000,2200701,1,0,0.1767
voter,0.3183098861837907,rho_1_over_pi,32,2.4,7,3000,2200702,2,0,0.1805
voter,0.3183098861837907,rho_1_over_pi,32,2.4,7,3000,2200703,3,0,0.1881
voter,0.3183098861837907,rho_1_over_pi,32,2.4,7,3000,2200704,4,0,0.1742
voter,0.3183098861837907,rho_1_over_pi,32,2.4,7,3000,2200705,5,0,0.1849
voter,0.3183098861837907,rho_1_over_pi,32,2.4,7,3000,2200706,6,0,0.1647
voter,0.3183098861837907,rho_1_over_pi,32,2.4,7,3000,2200707,7,0,0.1817
voter,0.3183098861837907,rho_1_over_pi,32,2.4,7,3000,2200708,8,0,0.1922
voter,0.3183098861837907,rho_1_over_pi,32,2.4,7,3000,2200709,9,0,0.1794
voter,0.3183098861837907,rho_1_over_pi,32,2.4,7,3000,2200710,10,0,0.1917
voter,0.3183098861837907,rho_1_over_pi,32,2.4,7,3000,2200711,11,0,0.1841
voter,0.3183098861837907,rho_1_over_pi,32,2.4,7,3000,2200712,12,0,0.1685
voter,0.3183098861837907,rho_1_over_pi,32,2.4,7,3000,2200713,13,0,0.1872
voter,0.3183098861837907,rho_1_over_pi,32,2.4,7,3000,2200714,14,0,0.1744
voter,0.3183098861837907,rho_1_over_pi,32,2.4,7,3000,2200715,15,0,0.173
voter,0.3183098861837907,rho_1_over_pi,32,2.4,7,3000,2200716,16,0,0.1774
voter,0.3183098861837907,rho_1_over_pi,32,2.4,7,3000,2200717,17,0,0.1729
voter,0.3183098861837907,rho_1_over_pi,32,2.4,7,3000,2200718,18,0,0.1718
voter,0.3183098861837907,rho_1_over_pi,32,2.4,7,3000,2200719,19,0,0.178
voter,0.3183098861837907,rho_1_over_pi,32,2.6,8,3000,2200800,0,0,0.1795
voter,0.3183098861837907,rho_1_over_pi,32,2.6,8,3000,2200801,1,0,0.1813
voter,0.3183098861837907,rho_1_over_pi,32,2.6,8,3000,2200802,2,0,0.1766
voter,0.3183098861837907,rho_1_over_pi,32,2.6,8,3000,2200803,3,0,0.1762
voter,0.3183098861837907,rho_1_over_pi,32,2.6,8,3000,2200804,4,0,0.179
voter,0.3183098861837907,rho_1_over_pi,32,2.6,8,3000,2200805,5,0,0.1833
voter,0.3183098861837907,rho_1_over_pi,32,2.6,8,3000,2200806,6,0,0.1781
voter,0.3183098861837907,rho_1_over_pi,32,2.6,8,3000,2200807,7,0,0.1869
voter,0.3183098861837907,rho_1_over_pi,32,2.6,8,3000,2200808,8,0,0.1758
voter,0.3183098861837907,rho_1_over_pi,32,2.6,8,3000,2200809,9,0,0.1788
voter,0.3183098861837907,rho_1_over_pi,32,2.6,8,3000,2200810,10,0,0.1781
voter,0.3183098861837907,rho_1_over_pi,32,2.6,8,3000,2200811,11,0,0.1748
voter,0.3183098861837907,rho_1_over_pi,32,2.6,8,3000,2200812,12,0,0.1677
voter,0.3183098861837907,rho_1_over_pi,32,2.6,8,3000,2200813,13,0,0.1707
voter,0.3183098861837907,rho_1_over_pi,32,2.6,8,3000,2200814,14,0,0.1786
voter,0.3183098861837907,rho_1_over_pi,32,2.6,8,3000,2200815,15,0,0.1757
voter,0.3183098861837907,rho_1_over_pi,32,2.6,8,3000,2200816,16,0,0.1789
voter,0.3183098861837907,rho_1_over_pi,32,2.6,8,3000,2200817,17,0,0.1936
voter,0.3183098861837907,rho_1_over_pi,32,2.6,8,3000,2200818,18,0,0.1775
voter,0.3183098861837907,rho_1_over_pi,32,2.6,8,3000,2200819,19,0,0.1852
voter,0.3183098861837907,rho_1_over_pi,32,2.8,9,3000,2200900,0,0,0.1766
voter,0.3183098861837907,rho_1_over_pi,32,2.8,9,3000,2200901,1,0,0.1782
voter,0.3183098861837907,rho_1_over_pi,32,2.8,9,3000,2200902,2,0,0.1762
voter,0.3183098861837907,rho_1_over_pi,32,2.8,9,3000,2200903,3,0,0.1714
voter,0.3183098861837907,rho_1_over_pi,32,2.8,9,3000,2200904,4,0,0.178
voter,0.3183098861837907,rho_1_over_pi,32,2.8,9,3000,2200905,5,0,0.1798
voter,0.3183098861837907,rho_1_over_pi,32,2.8,9,3000,2200906,6,0,0.1848
voter,0.3183098861837907,rho_1_over_pi,32,2.8,9,3000,2200907,7,0,0.1738
voter,0.3183098861837907,rho_1_over_pi,32,2.8,9,3000,2200908,8,0,0.1734
voter,0.3183098861837907,rho_1_over_pi,32,2.8,9,3000,2200909,9,0,0.1699
