model,rho_label,eta,t,realizations,va_mean,va_stdev,va_stderr,S_mean,S_stdev,S_stderr
voter,rho_2,0.05,0,20,0.06804402714524846,0.04075896892879347,0.009113982521758398,0.99275,0.021649191670822257,0.004840906423388081
voter,rho_2,0.05,10,20,0.15807342741874825,0.09622134258340159,0.021515746290278116,0.9952500000000001,0.011669940016983817,0.0026094779171320867
voter,rho_2,0.05,20,20,0.1997003108948931,0.10169853709711928,0.02274048421614428,0.9977499999999999,0.007154544010627099,0.0015998046755776169
voter,rho_2,0.05,30,20,0.23696585601152473,0.1460471128940333,0.03265712723486445,1.0,0.0,0.0
voter,rho_2,0.05,40,20,0.2930112764124757,0.14562119728517664,0.03256188960945628,0.9994999999999999,0.002179449471770339,0.00048733971724044866
voter,rho_2,0.05,50,20,0.36484975826411664,0.16851135570876502,0.037680284634544585,0.9967499999999999,0.009120718173477357,0.0020394545839513088
voter,rho_2,0.05,60,20,0.39722986617654027,0.1866294526885603,0.04173161428152017,0.9962500000000001,0.008347903928532007,0.0018666480653835112
voter,rho_2,0.05,70,20,0.426836710644978,0.19533108633314025,0.04367735871597817,0.9967499999999999,0.008407585860400127,0.0018799933510520739
voter,rho_2,0.05,80,20,0.4112650595847861,0.200075808325874,0.04473831080698726,0.9967499999999999,0.008407585860400127,0.0018799933510520739
voter,rho_2,0.05,90,20,0.4231044397275247,0.21141656832872885,0.04727418183527668,0.998,0.005787918451395118,0.0012942179105544795
voter,rho_2,0.05,100,20,0.4746040152317884,0.21277124347065648,0.04757709640575462,0.9977499999999999,0.007822243923581015,0.001749106914971182
voter,rho_2,0.05,110,20,0.49565817498726916,0.2192791924142226,0.049032318028945795,0.9964999999999999,0.009233092656309703,0.00206458228220626
voter,rho_2,0.05,120,20,0.5028524564609993,0.22760275241643327,0.05089352262691993,0.9952500000000001,0.01298797520786055,0.002904199545485815
voter,rho_2,0.05,130,20,0.5461450820623877,0.21580430999889144,0.04825531069949588,0.9964999999999999,0.009233092656309703,0.00206458228220626
voter,rho_2,0.05,140,20,0.5348005684257562,0.2196631954034102,0.049118183707684455,0.9977499999999999,0.007822243923581015,0.001749106914971182
voter,rho_2,0.05,150,20,0.5637390363214669,0.25101191247776206,0.05612796994625036,0.9970000000000001,0.008276472678623432,0.0018506755523321763
voter,rho_2,0.05,160,20,0.5284545667563011,0.2885247587742995,0.06451609738110625,0.9945,0.0097339611669659,0.0021765798859678933
voter,rho_2,0.05,170,20,0.5684571900715022,0.27452271895899655,0.06138514609603866,0.99175,0.01622305458290762,0.003627585285007093
voter,rho_2,0.05,180,20,0.5838890572700138,0.27688365243650376,0.06191306687064477,0.99475,0.015039531242695024,0.003362941420839796
voter,rho_2,0.05,190,20,0.599543578773184,0.26219412381974655,0.058628388416195006,0.9955,0.014908051515875565,0.003333541660156655
voter,rho_2,0.05,200,20,0.6175515048439892,0.25399916620316393,0.05679594018585417,0.9955,0.014908051515875565,0.003333541660156655
voter,rho_2,0.05,210,20,0.6705785073265776,0.23640796769537253,0.052862428618942726,0.9845,0.06206649659840646,0.01387849055192963
voter,rho_2,0.05,220,20,0.649366953132983,0.23637231327042346,0.05285445604715425,0.984,0.06197983543056565,0.013859112525699473
