model,rho_label,pearson_va_S,va_min,va_max,S_min,S_max,n_eta
vicsek,rho_8,0.25014791314,0.0321752047667,1,0.999290473018,1,14
vicsek,rho_4,0.360238179246,0.045198159525,1,0.991468854097,1,14
vicsek,rho_2,0.579476921782,0.0629686654712,0.999999999996,0.912405562958,1,14
vicsek,rho_1_over_pi,0.982305163435,0.157471564856,0.999971196419,0.158912808128,0.94073742505,14
vicsek,rho_1_over_2pi,0.986682429122,0.223562419424,0.999461273456,0.173829946702,0.930910642905,14
vicsek,rho_1_over_3pi,0.992167552249,0.26822026875,0.998772298062,0.22478953425,0.888377445339,14
voter,rho_8,-0.491939732137,0.0314319650917,0.983786626602,0.999469395403,1,14
voter,rho_4,-0.298651624964,0.0445251964134,0.999334784958,0.995906895403,0.999999167222,14
voter,rho_2,0.142269636925,0.0624887500162,1,0.940841938708,0.994069786809,14
voter,rho_1_over_pi,0.966780613161,0.156683768044,0.999949365228,0.148492671552,0.940883161226,14
voter,rho_1_over_2pi,0.962920248316,0.222291938639,0.981103852974,0.172818121252,0.873034643571,14
voter,rho_1_over_3pi,0.979831360896,0.26682807067,0.853125193295,0.188465265581,0.891981103507,14
